target,best_model_name,feature_set_name,target_transform,n_features,robustness_score,group_shuffle_mae_mean,leave_one_treatment_out_mae_mean,leave_one_campaign_out_mae_mean,group_shuffle_spearman_mean
wire_area_loss_frac,CatBoost,metadata_only,none,8,5.45,0.12379748384959213,0.11606314689934814,0.12082805576868438,0.2887911081296786
ultimate_load_kn,RandomForest,metadata_only,none,8,2.65,0.17438016594516573,0.2034040248033369,0.5642465512014999,0.7782648431785568
