feature,importance_kind,importance,importance_abs,direction
img_hsv_v_mean_mean,feature_importance,8.829388983028625,8.829388983028625,positive
img_hsv_v_mean_slope,feature_importance,6.371725490590749,6.371725490590749,positive
img_strip_rust_max_pct_terminal,feature_importance,6.136788842584011,6.136788842584011,positive
img_hsv_s_mean_slope,feature_importance,6.091570440130147,6.091570440130147,positive
img_hsv_v_mean_terminal,feature_importance,4.908716010843831,4.908716010843831,positive
img_hsv_v_mean_max,feature_importance,4.364500943902703,4.364500943902703,positive
peak_rust_pct_max,feature_importance,4.260916282720666,4.260916282720666,positive
img_strip_rust_max_pct_max,feature_importance,3.8047470471594886,3.8047470471594886,positive
img_strip_rust_max_pct_slope,feature_importance,3.7637294749986068,3.7637294749986068,positive
peak_rust_pct_terminal,feature_importance,3.7507686357204775,3.7507686357204775,positive
img_rust_area_ratio_pct_terminal,feature_importance,3.541718483755467,3.541718483755467,positive
img_strip_rust_max_pct_mean,feature_importance,3.4901311649967326,3.4901311649967326,positive
img_rust_area_ratio_pct_mean,feature_importance,3.366970189247538,3.366970189247538,positive
img_hsv_s_mean_mean,feature_importance,3.1003210389910576,3.1003210389910576,positive
n_rows_post_onset,feature_importance,3.000874559582601,3.000874559582601,positive
surface_total_rust_pct_terminal,feature_importance,2.8543106944996253,2.8543106944996253,positive
img_hsv_s_mean_terminal,feature_importance,2.780316324243741,2.780316324243741,positive
surface_total_rust_pct_mean,feature_importance,2.6785608114481696,2.6785608114481696,positive
peak_rust_pct_slope,feature_importance,2.6459973622417676,2.6459973622417676,positive
visible_corrosion_onset_week,feature_importance,2.578733765624362,2.578733765624362,positive
img_hsv_s_mean_max,feature_importance,2.5705284863165327,2.5705284863165327,positive
img_rust_area_ratio_pct_max,feature_importance,2.5669733985569536,2.5669733985569536,positive
surface_total_rust_pct_max,feature_importance,2.526096369825325,2.526096369825325,positive
weeks_after_onset_at_terminal,feature_importance,2.4693895612100776,2.4693895612100776,positive
img_rust_area_ratio_pct_slope,feature_importance,2.45435999659409,2.45435999659409,positive
surface_total_rust_pct_slope,feature_importance,2.4221778200706523,2.4221778200706523,positive
peak_rust_pct_mean,feature_importance,2.3259860498276135,2.3259860498276135,positive
has_visible_corrosion_onset,feature_importance,0.34370177128838486,0.34370177128838486,positive
