split_name,repeat_id,fold_id,split_id,train_specimens,test_specimens,baseline_test_mae,baseline_test_rmse,baseline_test_r2,baseline_test_spearman,test_mae,test_rmse,test_r2,test_spearman,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline
grouped_cv,0,0,grouped_cv_repeat0_fold0,38,10,0.24976791732665604,0.3182733999163486,0.5590295970053807,0.7538028741632801,0.2775257103343443,0.34470316359645725,0.48275143658514885,0.6930123197952737,0.02775779300768827,0.02642976368010863,-0.0607905543680064
grouped_cv,0,1,grouped_cv_repeat0_fold1,38,10,0.10682371153535719,0.13643973528585376,0.8156869598828342,0.8753839828992931,0.14394952384126442,0.16151054685235613,0.7417287279873751,0.9118583155200968,0.037125812305907224,0.02507081156650237,0.036474332620803684
grouped_cv,0,2,grouped_cv_repeat0_fold2,38,10,0.18940875448208885,0.229704041168147,0.6799877091418794,0.8181818181818182,0.18507518919869556,0.22084522811287924,0.7041950571610454,0.8303030303030302,-0.0043335652833932925,-0.008858813055267756,0.012121212121211977
grouped_cv,0,3,grouped_cv_repeat0_fold3,39,9,0.11282408092578027,0.15430599766100775,0.7846204616569279,0.8333333333333333,0.18769128162134177,0.2136434151539927,0.5871256989780043,0.75,0.0748672006955615,0.05933741749298496,-0.08333333333333326
grouped_cv,0,4,grouped_cv_repeat0_fold4,39,9,0.20984760634855715,0.24833746485474892,0.3564133045828064,0.6108840083916779,0.1990926891287255,0.24299007888890126,0.38383126935592404,0.6778302010921357,-0.010754917219831656,-0.005347385965847662,0.06694619270045776
grouped_cv,1,0,grouped_cv_repeat1_fold0,38,10,0.13787524157425737,0.17933297139814983,0.827406863781075,0.9636363636363635,0.1599421474649449,0.18966624850326966,0.8069439838715866,0.8909090909090909,0.02206690589068752,0.010333277105119831,-0.07272727272727264
grouped_cv,1,1,grouped_cv_repeat1_fold1,38,10,0.2117569507775033,0.2597293197731812,0.3586541722140306,0.2621999963272148,0.23002659443806778,0.29357655423058915,0.1806054799788367,0.3719581343246536,0.018269643660564466,0.03384723445740795,0.10975813799743878
grouped_cv,1,2,grouped_cv_repeat1_fold2,38,10,0.14636002977647367,0.20302014531874216,0.7050459106114656,0.6606060606060605,0.19808607608722711,0.22852862042987107,0.6262705265056062,0.7212121212121211,0.05172604631075345,0.025508475111128914,0.06060606060606055
grouped_cv,1,3,grouped_cv_repeat1_fold3,39,9,0.195470602809397,0.22743671854652547,0.6361207218314028,0.8666666666666667,0.23346240284558206,0.25291337731162156,0.5500339316800562,0.9,0.037991800036185075,0.025476658765096083,0.033333333333333326
grouped_cv,1,4,grouped_cv_repeat1_fold4,39,9,0.1658830898224754,0.18192033174974495,0.7350043915165166,0.8499999999999999,0.1775966618352064,0.19493542131602723,0.6957309907892231,0.8166666666666667,0.011713572012730988,0.013015089566282279,-0.033333333333333215
