target,model_name,split_id,mae,rmse,r2,spearman
wire_area_loss_frac,RandomForest,gss_0,0.053469609677248675,0.07675017404005362,-0.627900095173858,0.05454545454545454
wire_area_loss_frac,RandomForest,gss_1,0.08857469975709475,0.12450799401449679,-0.9119668972287294,0.10303030303030303
wire_area_loss_frac,RandomForest,gss_2,0.07688727074386731,0.09621515342615203,0.016778209904551922,0.5151515151515151
wire_area_loss_frac,RandomForest,gss_3,0.14110498152092354,0.1674621740012995,-0.2663972872844038,-0.006060606060606061
wire_area_loss_frac,RandomForest,gss_4,0.13307857463299672,0.15604062986899875,-0.17246700825753658,-0.16363636363636364
wire_area_loss_frac,GradientBoosting,gss_0,0.0893156124414218,0.11217583974617247,-2.477504248977079,-0.28484848484848485
wire_area_loss_frac,GradientBoosting,gss_1,0.0793388892000571,0.11072752451301375,-0.5121576746796248,0.29696969696969694
wire_area_loss_frac,GradientBoosting,gss_2,0.07999934750179247,0.10580843324038824,-0.18906366574582711,0.4787878787878787
wire_area_loss_frac,GradientBoosting,gss_3,0.14485875194393866,0.1908293010805304,-0.6444725974544316,-0.06666666666666665
wire_area_loss_frac,GradientBoosting,gss_4,0.12030019471670647,0.1456144143142198,-0.021019360309707746,0.29696969696969694
wire_area_loss_frac,XGBoost,gss_0,0.0898925744664669,0.10846842847238838,-2.251439718483154,0.01818181818181818
wire_area_loss_frac,XGBoost,gss_1,0.07607069975638388,0.1078440382028402,-0.4344261032004162,0.16363636363636364
wire_area_loss_frac,XGBoost,gss_2,0.06906658340096475,0.08409410146875829,0.24890372096137414,0.29696969696969694
wire_area_loss_frac,XGBoost,gss_3,0.14996613451957705,0.18573841045827538,-0.5579014114881595,-0.0303030303030303
wire_area_loss_frac,XGBoost,gss_4,0.14197321091890336,0.16582605767345632,-0.32413051355072975,-0.17575757575757575
wire_area_loss_frac,CatBoost,gss_0,0.07323295396724307,0.09341545434571598,-1.4116066428970635,-0.04242424242424241
wire_area_loss_frac,CatBoost,gss_1,0.08958369744322145,0.1289618093915931,-1.0512005878402566,-0.10303030303030303
wire_area_loss_frac,CatBoost,gss_2,0.07016133174033627,0.08659466963130567,0.2035713754303503,0.16363636363636364
wire_area_loss_frac,CatBoost,gss_3,0.11463606131307377,0.14827505609789585,0.007174974254676392,0.2121212121212121
wire_area_loss_frac,CatBoost,gss_4,0.12217068982221942,0.14707926530381008,-0.041665175472923144,0.05454545454545454
