split_name,repeat_id,fold_id,split_id,train_specimens,test_specimens,train_rows,test_rows,test_terminal_rows,train_mesh_counts,test_mesh_counts,train_campaign_counts,test_campaign_counts,leakage_safe
leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1,24,24,431,360,24,"{""4"": 24}","{""7"": 24}","{""campaign_2"": 24}","{""campaign_1"": 24}",True
leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2,24,24,360,431,24,"{""7"": 24}","{""4"": 24}","{""campaign_1"": 24}","{""campaign_2"": 24}",True
