sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,baseline_predicted_ultimate_load_kn,baseline_predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,baseline_residual,baseline_abs_error,refined_predicted_ultimate_load_kn,refined_predicted_ultimate_load_kn_std,refined_abs_error,refined_residual,delta_abs_error,delta_prediction,specimen_label,specimen_change_status
D01,D01,campaign_2,D,4,36,252,1.89,1.89,1.7878527810623424,0.004950048501541801,2,True,-0.10214721893765755,0.10214721893765755,1.7878527810623424,0.004950048501541801,0.10214721893765755,-0.10214721893765755,0.0,0.0,D01 | mesh 4 | actual 1.89 kN,no_meaningful_change
D02,D02,campaign_2,D,4,36,252,1.8,1.8,1.8083865910563555,0.003313840020868365,2,True,0.008386591056355419,0.008386591056355419,1.8083865910563555,0.003313840020868365,0.008386591056355419,0.008386591056355419,0.0,0.0,D02 | mesh 4 | actual 1.80 kN,no_meaningful_change
D03,D03,campaign_2,D,4,36,252,1.64,1.64,1.8191562513448483,0.007917002965962977,2,True,0.17915625134484836,0.17915625134484836,1.8191562513448483,0.007917002965962977,0.17915625134484836,0.17915625134484836,0.0,0.0,D03 | mesh 4 | actual 1.64 kN,no_meaningful_change
D04,D04,campaign_2,D,4,36,252,1.87,1.87,1.891878665663124,0.03259614632884421,2,True,0.021878665663123797,0.021878665663123797,1.891878665663124,0.03259614632884421,0.021878665663123797,0.021878665663123797,0.0,0.0,D04 | mesh 4 | actual 1.87 kN,no_meaningful_change
D05,D05,campaign_2,D,4,36,252,2.05,2.05,1.764009818159035,0.0017764490939561012,2,True,-0.2859901818409649,0.2859901818409649,1.764009818159035,0.0017764490939561012,0.2859901818409649,-0.2859901818409649,0.0,0.0,D05 | mesh 4 | actual 2.05 kN,no_meaningful_change
D06,D06,campaign_2,D,4,36,252,1.61,1.61,1.8056093617679094,0.012353125296553422,2,True,0.19560936176790933,0.19560936176790933,1.8056093617679094,0.012353125296553422,0.19560936176790933,0.19560936176790933,0.0,0.0,D06 | mesh 4 | actual 1.61 kN,no_meaningful_change
E01,E01,campaign_2,E,4,36,252,1.7,1.7,1.7774468629598665,0.03466689736230501,2,True,0.07744686295986658,0.07744686295986658,1.7774468629598665,0.03466689736230501,0.07744686295986658,0.07744686295986658,0.0,0.0,E01 | mesh 4 | actual 1.70 kN,no_meaningful_change
E02,E02,campaign_2,E,4,36,252,1.79,1.79,1.8158490244773984,0.03899899399956814,2,True,0.02584902447739834,0.02584902447739834,1.8158490244773984,0.03899899399956814,0.02584902447739834,0.02584902447739834,0.0,0.0,E02 | mesh 4 | actual 1.79 kN,no_meaningful_change
E03,E03,campaign_2,E,4,36,252,1.91,1.91,1.8031031062124618,0.013985244808442644,2,True,-0.10689689378753808,0.10689689378753808,1.8031031062124618,0.013985244808442644,0.10689689378753808,-0.10689689378753808,0.0,0.0,E03 | mesh 4 | actual 1.91 kN,no_meaningful_change
E04,E04,campaign_2,E,4,36,252,1.66,1.66,1.7727515220659593,0.0011156644336897936,2,True,0.1127515220659594,0.1127515220659594,1.7727515220659593,0.0011156644336897936,0.1127515220659594,0.1127515220659594,0.0,0.0,E04 | mesh 4 | actual 1.66 kN,no_meaningful_change
E05,E05,campaign_2,E,4,36,252,1.64,1.64,1.8358933081011624,0.00487239651570089,2,True,0.19589330810116246,0.19589330810116246,1.8358933081011624,0.00487239651570089,0.19589330810116246,0.19589330810116246,0.0,0.0,E05 | mesh 4 | actual 1.64 kN,no_meaningful_change
