feature,feature_value,feature_value_label,prediction_mean,feature_kind
img_strip_rust_p90_pct,0.030013037809647983,0.03001,2.2492115089109155,numeric
img_strip_rust_p90_pct,0.1881914695474015,0.1882,2.246722667901932,numeric
img_strip_rust_p90_pct,0.40039113428943895,0.4004,2.243383835787462,numeric
img_strip_rust_p90_pct,0.8605736636245109,0.8606,2.236143144765024,numeric
img_strip_rust_p90_pct,3.0595008381449005,3.06,2.201544368765095,numeric
img_strip_rust_p90_pct,8.177154032408268,8.177,2.1210212215843525,numeric
img_strip_rust_p90_pct,14.07450176941702,14.07,2.0282300570061267,numeric
img_strip_rust_p90_pct,30.110039113428925,30.11,1.7759206713053584,numeric
img_strip_rust_std_pct,0.010935244194800043,0.01094,2.040855638552244,numeric
img_strip_rust_std_pct,0.10401528697611408,0.104,2.0450489114776365,numeric
img_strip_rust_std_pct,0.184983943466486,0.185,2.0486965642388646,numeric
img_strip_rust_std_pct,0.41527695459856345,0.4153,2.0590713064460213,numeric
img_strip_rust_std_pct,1.3278717107619502,1.328,2.100183866867441,numeric
img_strip_rust_std_pct,3.357285367086821,3.357,2.1916093226924054,numeric
img_strip_rust_std_pct,5.551010627313677,5.551,2.290437046279417,numeric
img_strip_rust_std_pct,10.940038337416823,10.94,2.533213728753202,numeric
img_r_std,3.762124414735036,3.762,1.8826051334690042,numeric
img_r_std,15.44285552717277,15.44,2.045166472344703,numeric
img_r_std,19.22014214910899,19.22,2.097735165577046,numeric
img_r_std,22.037342797997436,22.04,2.1369422926786314,numeric
img_r_std,24.581966529961353,24.58,2.1723559527330494,numeric
img_r_std,28.010440030968176,28.01,2.2200701957250883,numeric
img_r_std,31.725545130839144,31.73,2.2717735054995845,numeric
img_r_std,37.80189227279754,37.8,2.356338342868239,numeric
