sample_name,specimen_id,campaign_id,series_id,split_group_treatment,treatment_protocol,treatment_coarse,treatment_label_coarse,n_steel_mesh,nacl_pct,cover_mm,week,ageing_days,terminal_week,terminal_days,visible_corrosion_onset_week,has_visible_corrosion_onset,weeks_after_onset_at_terminal,n_rows_all_weeks,n_rows_post_onset,ultimate_load_kn,terminal_ultimate_load_kn_target,is_measured_ultimate_load,surface_total_rust_pct_terminal,surface_total_rust_pct_max,surface_total_rust_pct_mean,surface_total_rust_pct_slope,peak_rust_pct_terminal,peak_rust_pct_max,peak_rust_pct_mean,peak_rust_pct_slope,img_rust_area_ratio_pct_terminal,img_rust_area_ratio_pct_max,img_rust_area_ratio_pct_mean,img_rust_area_ratio_pct_slope,img_strip_rust_max_pct_terminal,img_strip_rust_max_pct_max,img_strip_rust_max_pct_mean,img_strip_rust_max_pct_slope,img_hsv_s_mean_terminal,img_hsv_s_mean_max,img_hsv_s_mean_mean,img_hsv_s_mean_slope,img_hsv_v_mean_terminal,img_hsv_v_mean_max,img_hsv_v_mean_mean,img_hsv_v_mean_slope
D01,D01,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,7.16,36,252,36,252,10.0,1,26.0,18,13,1.89,1.89,True,0.943,2.063,0.747611111111111,0.0480191682910981,2.94,6.289,2.6394444444444445,0.1352428525016244,0.9433184099850768,2.0625152625152623,0.7476476883884291,0.048020053651416,7.026075619295959,12.559322033898304,6.472620599739244,0.3266485967199616,0.3255845904350281,0.3255845904350281,0.1572841585924228,0.0069284609448142,0.8340924382209778,0.969628095626831,0.8853483200073242,-0.0038953783684074
D02,D02,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,5.61,36,252,36,252,8.0,1,28.0,18,14,1.8,1.8,True,1.455,4.682,1.9675555555555553,0.0736319038336582,5.501,14.71,6.2762777777777785,0.224064489928525,1.4550535883869218,4.682186948853616,1.967626886145405,0.0736257741889104,7.745762711864407,17.402868318122554,8.786831812255542,0.2927426671851291,0.3502074480056762,0.3661208748817444,0.199188232421875,0.0070887398896974,0.8232875466346741,0.9766511917114258,0.8524601889981164,-0.0040377310590359
D03,D03,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,5.9,36,252,36,252,,0,,18,0,1.64,1.64,True,0.044,0.09,0.0405,0.0016125730994152,0.177,0.562,0.2063888888888888,0.0064598765432098,0.0443359110025776,0.0900827567494234,0.0405070923589442,0.0016169825569868,0.3585397653194263,1.645371577574967,0.5164421266116181,0.0127934036646495,0.3248683214187622,0.3420511484146118,0.1747713360107607,0.006589723252307,0.806067943572998,0.978923499584198,0.8561417857805887,-0.0038335719536154
D04,D04,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,2.28,36,252,36,252,4.0,1,32.0,18,16,1.87,1.87,True,31.395,53.412,24.01705555555555,1.231961338531514,57.293,80.172,41.74011111111111,1.938347628330085,31.395414462081128,53.411531678198344,24.017139239361462,1.2319587879691842,61.48761408083442,84.30378096479791,46.94683470954657,2.027510074863628,0.543772280216217,0.6334667801856995,0.428913615230057,0.0111097553993022,0.6405966877937317,0.8958151340484619,0.692830976512697,-0.0076422170724397
D05,D05,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,4.27,36,252,36,252,8.0,1,28.0,18,14,2.05,2.05,True,10.999,20.139,10.272888888888888,0.4721401884340481,28.079,37.744,21.838944444444447,1.020624431448993,10.998941798941798,20.138760005426672,10.272934472934471,0.4721398039786603,34.91786179921773,47.80182529335072,26.62219324931189,1.2862432470669165,0.5266302227973938,0.5434783101081848,0.3136791185372405,0.0146390445738585,0.8043484091758728,0.9675477147102356,0.8488641215695275,-0.0053142480954014
D06,D06,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,6.58,36,252,36,252,8.0,1,28.0,18,14,1.61,1.61,True,8.499,15.507,5.2123333333333335,0.3299566276803118,23.086,32.292,13.498722222222224,0.7697654320987655,8.498602631935965,15.507366707366709,5.21239693091545,0.329957804010219,26.70013037809648,33.72359843546284,16.01825293350717,0.8315943233427622,0.4888071417808532,0.5607947111129761,0.3039523603187667,0.0126341277027842,0.7301627993583679,0.9239389300346376,0.7776411639319526,-0.0056968607768522
E01,E01,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,6.22,36,252,36,252,8.0,1,28.0,17,13,1.7,1.7,True,2.707,4.921,1.8958823529411768,0.127709420331403,8.301,16.553,6.843470588235295,0.3092858494352389,2.7072039072039074,4.921448921448921,1.8959547351704216,0.1277061130204107,11.173402868318124,20.78096479791395,10.279929442441906,0.4525419916369939,0.4068960547447204,0.4475984275341034,0.2799074895241681,0.0073751672161711,0.7745320200920105,0.8912937641143799,0.7541629076004028,-0.004759951762107
E02,E02,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,4.35,36,252,36,252,8.0,1,28.0,18,14,1.79,1.79,True,3.178,9.456,3.775499999999999,0.2035423976608187,6.874,18.882,8.343666666666666,0.4250501949317739,3.177696377696378,9.456084656084656,3.775417175417175,0.2035425431786706,11.747066492829203,28.3767926988266,14.157829929016367,0.6561631395113404,0.4134173691272735,0.4718573689460754,0.2661596946418285,0.0102832230211001,0.839156985282898,0.9375890493392944,0.8283529414070977,-0.0032763378119763
E03,E03,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,3.56,36,252,36,252,8.0,1,28.0,18,14,1.91,1.91,True,7.367,13.177,5.629333333333333,0.3199420077972709,13.262,24.916,10.869555555555555,0.5846879467186485,7.3672500339167,13.176719576719575,5.629243732947437,0.3199507332927302,18.34550195567145,31.61147327249022,14.423004490801098,0.7580376529231718,0.4448100626468658,0.5411780476570129,0.268895315627257,0.0128200954628734,0.8427740931510925,0.9553314447402954,0.8459568851523929,-0.0030682756867479
E04,E04,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,6.13,36,252,36,252,10.0,1,26.0,18,13,1.66,1.66,True,3.274,6.776,2.1344444444444446,0.177522579597141,6.458,14.999,6.0022777777777785,0.3782906107862248,3.2735314068647403,6.775959842626509,2.134481978926423,0.1775231314542555,11.73663624511082,26.213820078226856,9.3266695639577,0.6478169081499442,0.3662382066249847,0.3706323206424713,0.1880255269093645,0.0092591368850463,0.8616774678230286,0.9617533683776855,0.844538946946462,-0.0024301735629812
