sample_name,specimen_id,n_steel_mesh_raw,treatment_raw,treatment_label_raw,ageing_days,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_mm_raw,wire_area_loss_raw,ultimate_load_kn
D04-20240807-30W,D04,4,NO,D,210,16.467,3,27.742,4,16.49,2.28,,
D04-20240902-33W,D04,4,NO,D,231,35.013,4,58.943,4,16.49,2.28,,
D04-20240918-36W,D04,4,NO,D,252,31.395,4,57.293,4,16.49,2.28,0.2165,1.87
D05-20240110-0W,D05,4,NO,D,0,0.0,1,0.0,1,1.51,4.27,,
D05-20240124-2W,D05,4,NO,D,14,0.0,1,0.0,1,1.51,4.27,,
D05-20240207-4W,D05,4,NO,D,28,0.108,1,0.863,1,4.0,4.27,,
D05-20240221-6W,D05,4,NO,D,42,0.057,1,0.44,1,4.0,4.27,,
D05-20240306-8W,D05,4,NO,D,56,5.28,2,13.594,3,6.5,4.27,,
D05-20240320-10W,D05,4,NO,D,70,10.883,2,21.944,3,4.0,4.27,,
D05-20240405-12W,D05,4,NO,D,84,10.806,2,23.553,4,4.0,4.27,,
D05-20240417-14W,D05,4,NO,D,98,14.166,2,26.627,4,4.0,4.27,,
D05-20240508-17W,D05,4,NO,D,119,12.551,2,30.585,4,4.0,4.27,,
D05-20240522-19W,D05,4,NO,D,133,13.28,2,27.274,4,9.0,4.27,,
D05-20240529-20W,D05,4,NO,D,140,9.236,2,17.67,3,4.0,4.27,,
D05-20240619-23W,D05,4,NO,D,161,20.139,3,37.744,4,4.0,4.27,,
D05-20240626-24W,D05,4,NO,D,168,15.98,3,33.569,4,4.0,4.27,,
D05-20240710-26W,D05,4,NO,D,182,13.515,2,31.381,4,4.0,4.27,,
D05-20240724-28W,D05,4,NO,D,196,19.174,3,37.567,4,6.5,4.27,,
D05-20240807-30W,D05,4,NO,D,210,11.857,2,26.178,4,4.0,4.27,,
D05-20240902-33W,D05,4,NO,D,231,16.881,3,36.033,4,6.5,4.27,,
D05-20240918-36W,D05,4,NO,D,252,10.999,2,28.079,4,4.0,4.27,0.2281,2.05
D06-20240110-0W,D06,4,NO,D,0,0.004,1,0.026,1,16.49,6.58,,
D06-20240124-2W,D06,4,NO,D,14,0.0,1,0.003,1,16.49,6.58,,
D06-20240207-4W,D06,4,NO,D,28,0.308,1,1.59,1,18.99,6.58,,
D06-20240221-6W,D06,4,NO,D,42,0.182,1,0.831,1,18.99,6.58,,
D06-20240306-8W,D06,4,NO,D,56,1.602,1,6.553,2,1.51,6.58,,
D06-20240320-10W,D06,4,NO,D,70,2.993,1,10.263,2,1.51,6.58,,
D06-20240405-12W,D06,4,NO,D,84,3.156,1,11.282,2,1.51,6.58,,
D06-20240417-14W,D06,4,NO,D,98,5.402,2,14.223,3,4.0,6.58,,
D06-20240508-17W,D06,4,NO,D,119,4.748,1,16.56,3,1.51,6.58,,
D06-20240522-19W,D06,4,NO,D,133,6.472,2,16.37,3,4.0,6.58,,
D06-20240529-20W,D06,4,NO,D,140,1.673,1,3.887,1,1.51,6.58,,
D06-20240619-23W,D06,4,NO,D,161,7.835,2,18.332,3,4.0,6.58,,
D06-20240626-24W,D06,4,NO,D,168,10.224,2,24.66,4,4.0,6.58,,
D06-20240710-26W,D06,4,NO,D,182,9.993,2,21.637,3,4.0,6.58,,
D06-20240724-28W,D06,4,NO,D,196,15.507,3,32.292,4,6.5,6.58,,
D06-20240807-30W,D06,4,NO,D,210,6.782,2,18.986,3,4.0,6.58,,
