sample_name,specimen_id,n_steel_mesh_raw,treatment_raw,treatment_label_raw,ageing_days,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_mm_raw,wire_area_loss_raw,ultimate_load_kn
F05-20240626-24W,F05,4,SA,SA,168,6.125,2,14.179,3,13.99,6.41,,
F05-20240710-26W,F05,4,SA,SA,182,5.226,2,11.987,2,13.99,6.41,,
F05-20240724-28W,F05,4,SA,SA,196,7.526,2,14.855,3,13.99,6.41,,
F05-20240807-30W,F05,4,SA,SA,210,3.756,1,7.139,2,13.99,6.41,,
F05-20240902-33W,F05,4,SA,SA,231,5.633,2,11.525,2,13.99,6.41,,
F05-20240918-36W,F05,4,SA,SA,252,3.594,1,7.186,2,13.99,6.41,0.172,1.6
F06-20240110-0W,F06,4,SA,SA,0,0.007,1,0.02,1,11.5,6.37,,
F06-20240124-2W,F06,4,SA,SA,14,0.005,1,0.037,1,4.0,6.37,,
F06-20240207-4W,F06,4,SA,SA,28,0.031,1,0.121,1,4.0,6.37,,
F06-20240221-6W,F06,4,SA,SA,42,0.035,1,0.263,1,4.0,6.37,,
F06-20240306-8W,F06,4,SA,SA,56,1.166,1,6.2,2,4.0,6.37,,
F06-20240320-10W,F06,4,SA,SA,70,1.864,1,8.97,2,4.0,6.37,,
F06-20240405-12W,F06,4,SA,SA,84,2.895,1,13.217,3,4.0,6.37,,
F06-20240417-14W,F06,4,SA,SA,98,3.484,1,14.959,3,4.0,6.37,,
F06-20240508-17W,F06,4,SA,SA,119,3.729,1,14.212,3,4.0,6.37,,
F06-20240522-19W,F06,4,SA,SA,133,5.066,2,17.491,3,4.0,6.37,,
F06-20240529-20W,F06,4,SA,SA,140,2.732,1,7.732,2,4.0,6.37,,
F06-20240619-23W,F06,4,SA,SA,161,4.807,1,13.993,3,4.0,6.37,,
F06-20240626-24W,F06,4,SA,SA,168,7.124,2,18.752,3,1.51,6.37,,
F06-20240710-26W,F06,4,SA,SA,182,5.973,2,15.823,3,1.51,6.37,,
F06-20240724-28W,F06,4,SA,SA,196,8.616,2,20.289,3,21.49,6.37,,
F06-20240807-30W,F06,4,SA,SA,210,4.412,1,12.266,3,21.49,6.37,,
F06-20240902-33W,F06,4,SA,SA,231,7.047,2,18.044,3,1.51,6.37,,
F06-20240918-36W,F06,4,SA,SA,252,5.557,2,17.059,3,1.51,6.37,0.5698,1.68
G01-20240110-0W,G01,4,PA,G,0,0.0,1,0.0,1,1.51,5.94,,
G01-20240124-2W,G01,4,PA,G,14,0.0,1,0.0,1,1.51,5.94,,
G01-20240207-4W,G01,4,PA,G,28,0.0,1,0.0,1,1.51,5.94,,
G01-20240221-6W,G01,4,PA,G,42,0.0,1,0.0,1,1.51,5.94,,
G01-20240306-8W,G01,4,PA,G,56,0.0,1,0.0,1,1.51,5.94,,
G01-20240320-10W,G01,4,PA,G,70,0.0,1,0.0,1,1.51,5.94,,
G01-20240405-12W,G01,4,PA,G,84,0.0,1,0.0,1,1.51,5.94,,
G01-20240417-14W,G01,4,PA,G,98,0.0,1,0.0,1,1.51,5.94,,
G01-20240508-17W,G01,4,PA,G,119,0.0,1,0.0,1,1.51,5.94,,
G01-20240522-19W,G01,4,PA,G,133,0.0,1,0.0,1,1.51,5.94,,
G01-20240529-20W,G01,4,PA,G,140,0.0,1,0.0,1,1.51,5.94,,
G01-20240619-23W,G01,4,PA,G,161,0.001,1,0.005,1,18.99,5.94,,
G01-20240626-24W,G01,4,PA,G,168,0.0,1,0.0,1,1.51,5.94,,
G01-20240710-26W,G01,4,PA,G,182,0.0,1,0.002,1,1.51,5.94,,
G01-20240724-28W,G01,4,PA,G,196,0.0,1,0.0,1,1.51,5.94,,
G01-20240807-30W,G01,4,PA,G,210,0.0,1,0.0,1,1.51,5.94,,
G01-20240902-33W,G01,4,PA,G,231,0.0,1,0.0,1,1.51,5.94,,
G01-20240918-36W,G01,4,PA,G,252,0.0,1,0.0,1,1.51,5.94,0.0188,1.91
G02-20240110-0W,G02,4,PA,G,0,0.007,1,0.024,1,6.5,6.66,,
G02-20240124-2W,G02,4,PA,G,14,0.0,1,0.004,1,21.49,6.66,,
G02-20240207-4W,G02,4,PA,G,28,0.041,1,0.101,1,21.49,6.66,,
G02-20240221-6W,G02,4,PA,G,42,0.01,1,0.084,1,21.49,6.66,,
G02-20240306-8W,G02,4,PA,G,56,0.048,1,0.221,1,21.49,6.66,,
G02-20240320-10W,G02,4,PA,G,70,1.18,1,4.159,1,21.49,6.66,,
G02-20240405-12W,G02,4,PA,G,84,2.718,1,7.375,2,16.49,6.66,,
G02-20240417-14W,G02,4,PA,G,98,3.732,1,12.157,3,21.49,6.66,,
G02-20240508-17W,G02,4,PA,G,119,4.949,1,13.608,3,18.99,6.66,,
G02-20240522-19W,G02,4,PA,G,133,5.849,2,20.677,3,21.49,6.66,,
G02-20240529-20W,G02,4,PA,G,140,3.328,1,11.874,2,21.49,6.66,,
G02-20240619-23W,G02,4,PA,G,161,5.01,2,17.608,3,21.49,6.66,,
G02-20240626-24W,G02,4,PA,G,168,4.448,1,15.636,3,21.49,6.66,,
G02-20240710-26W,G02,4,PA,G,182,2.723,1,10.768,2,21.49,6.66,,
G02-20240724-28W,G02,4,PA,G,196,5.212,2,20.039,3,21.49,6.66,,
G02-20240807-30W,G02,4,PA,G,210,3.167,1,12.085,3,21.49,6.66,,
G02-20240902-33W,G02,4,PA,G,231,2.804,1,10.459,2,21.49,6.66,,
G02-20240918-36W,G02,4,PA,G,252,2.513,1,7.1,2,21.49,6.66,0.1463,2.25
G03-20240110-0W,G03,4,PA,G,0,0.0,1,0.0,1,1.51,6.83,,
G03-20240124-2W,G03,4,PA,G,14,0.0,1,0.0,1,1.51,6.83,,
G03-20240207-4W,G03,4,PA,G,28,0.0,1,0.0,1,1.51,6.83,,
G03-20240221-6W,G03,4,PA,G,42,0.0,1,0.0,1,1.51,6.83,,
G03-20240306-8W,G03,4,PA,G,56,0.0,1,0.0,1,1.51,6.83,,
G03-20240320-10W,G03,4,PA,G,70,0.0,1,0.0,1,1.51,6.83,,
G03-20240405-12W,G03,4,PA,G,84,0.0,1,0.0,1,1.51,6.83,,
G03-20240417-14W,G03,4,PA,G,98,0.0,1,0.0,1,1.51,6.83,,
G03-20240508-17W,G03,4,PA,G,119,0.0,1,0.001,1,21.49,6.83,,
G03-20240522-19W,G03,4,PA,G,133,0.0,1,0.0,1,1.51,6.83,,
G03-20240529-20W,G03,4,PA,G,140,0.0,1,0.0,1,1.51,6.83,,
G03-20240619-23W,G03,4,PA,G,161,0.0,1,0.001,1,21.49,6.83,,
G03-20240626-24W,G03,4,PA,G,168,0.0,1,0.002,1,13.99,6.83,,
G03-20240710-26W,G03,4,PA,G,182,0.0,1,0.0,1,1.51,6.83,,
G03-20240724-28W,G03,4,PA,G,196,0.018,1,0.14,1,13.99,6.83,,
G03-20240807-30W,G03,4,PA,G,210,0.003,1,0.02,1,13.99,6.83,,
G03-20240902-33W,G03,4,PA,G,231,0.001,1,0.01,1,13.99,6.83,,
G03-20240918-36W,G03,4,PA,G,252,0.0,1,0.0,1,1.51,6.83,0.0,1.6
G04-20240110-0W,G04,4,PA,G,0,0.0,1,0.0,1,1.51,4.58,,
G04-20240124-2W,G04,4,PA,G,14,0.0,1,0.0,1,1.51,4.58,,
G04-20240207-4W,G04,4,PA,G,28,0.0,1,0.0,1,1.51,4.58,,
G04-20240221-6W,G04,4,PA,G,42,0.0,1,0.0,1,1.51,4.58,,
G04-20240306-8W,G04,4,PA,G,56,0.0,1,0.0,1,1.51,4.58,,
G04-20240320-10W,G04,4,PA,G,70,0.0,1,0.0,1,1.51,4.58,,
G04-20240405-12W,G04,4,PA,G,84,0.0,1,0.0,1,1.51,4.58,,
G04-20240417-14W,G04,4,PA,G,98,0.0,1,0.0,1,1.51,4.58,,
G04-20240508-17W,G04,4,PA,G,119,0.001,1,0.003,1,4.0,4.58,,
G04-20240522-19W,G04,4,PA,G,133,0.0,1,0.0,1,1.51,4.58,,
G04-20240529-20W,G04,4,PA,G,140,0.0,1,0.0,1,1.51,4.58,,
G04-20240619-23W,G04,4,PA,G,161,0.0,1,0.001,1,21.49,4.58,,
G04-20240626-24W,G04,4,PA,G,168,0.0,1,0.0,1,1.51,4.58,,
G04-20240710-26W,G04,4,PA,G,182,0.0,1,0.0,1,1.51,4.58,,
G04-20240724-28W,G04,4,PA,G,196,0.0,1,0.0,1,1.51,4.58,,
G04-20240807-30W,G04,4,PA,G,210,0.0,1,0.0,1,1.51,4.58,,
G04-20240902-33W,G04,4,PA,G,231,0.0,1,0.0,1,1.51,4.58,,
G04-20240918-36W,G04,4,PA,G,252,0.0,1,0.002,1,11.5,4.58,0.2543,2.21
G05-20240110-0W,G05,4,PA,G,0,0.011,1,0.06,1,4.0,5.23,,
G05-20240124-2W,G05,4,PA,G,14,0.0,1,0.0,1,1.51,5.23,,
G05-20240207-4W,G05,4,PA,G,28,0.019,1,0.11,1,4.0,5.23,,
G05-20240221-6W,G05,4,PA,G,42,0.0,1,0.004,1,4.0,5.23,,
G05-20240306-8W,G05,4,PA,G,56,0.0,1,0.0,1,1.51,5.23,,
G05-20240320-10W,G05,4,PA,G,70,0.0,1,0.0,1,1.51,5.23,,
G05-20240405-12W,G05,4,PA,G,84,0.0,1,0.001,1,4.0,5.23,,
G05-20240417-14W,G05,4,PA,G,98,0.026,1,0.142,1,4.0,5.23,,
G05-20240508-17W,G05,4,PA,G,119,0.037,1,0.173,1,4.0,5.23,,
G05-20240522-19W,G05,4,PA,G,133,0.022,1,0.052,1,13.99,5.23,,
G05-20240529-20W,G05,4,PA,G,140,0.011,1,0.035,1,1.51,5.23,,
G05-20240619-23W,G05,4,PA,G,161,0.043,1,0.147,1,6.5,5.23,,
G05-20240626-24W,G05,4,PA,G,168,0.102,1,0.459,1,6.5,5.23,,
G05-20240710-26W,G05,4,PA,G,182,0.026,1,0.137,1,6.5,5.23,,
G05-20240724-28W,G05,4,PA,G,196,0.012,1,0.047,1,4.0,5.23,,
G05-20240807-30W,G05,4,PA,G,210,0.062,1,0.17,1,6.5,5.23,,
G05-20240902-33W,G05,4,PA,G,231,0.041,1,0.224,1,6.5,5.23,,
G05-20240918-36W,G05,4,PA,G,252,0.052,1,0.252,1,6.5,5.23,0.168,2.16
G06-20240110-0W,G06,4,PA,G,0,0.006,1,0.025,1,1.51,4.94,,
G06-20240124-2W,G06,4,PA,G,14,0.0,1,0.0,1,1.51,4.94,,
G06-20240207-4W,G06,4,PA,G,28,0.004,1,0.029,1,11.5,4.94,,
G06-20240221-6W,G06,4,PA,G,42,0.0,1,0.0,1,1.51,4.94,,
G06-20240306-8W,G06,4,PA,G,56,0.0,1,0.0,1,1.51,4.94,,
G06-20240320-10W,G06,4,PA,G,70,0.009,1,0.067,1,16.49,4.94,,
G06-20240405-12W,G06,4,PA,G,84,0.006,1,0.038,1,16.49,4.94,,
G06-20240417-14W,G06,4,PA,G,98,0.051,1,0.148,1,1.51,4.94,,
G06-20240508-17W,G06,4,PA,G,119,0.247,1,1.592,1,4.0,4.94,,
G06-20240522-19W,G06,4,PA,G,133,0.292,1,0.887,1,4.0,4.94,,
G06-20240529-20W,G06,4,PA,G,140,0.164,1,0.507,1,13.99,4.94,,
G06-20240619-23W,G06,4,PA,G,161,0.624,1,1.363,1,13.99,4.94,,
G06-20240626-24W,G06,4,PA,G,168,0.883,1,1.715,1,1.51,4.94,,
G06-20240710-26W,G06,4,PA,G,182,0.153,1,0.401,1,1.51,4.94,,
G06-20240724-28W,G06,4,PA,G,196,0.081,1,0.221,1,4.0,4.94,,
G06-20240807-30W,G06,4,PA,G,210,0.732,1,2.765,1,16.49,4.94,,
G06-20240902-33W,G06,4,PA,G,231,0.493,1,3.273,1,1.51,4.94,,
G06-20240918-36W,G06,4,PA,G,252,0.344,1,0.811,1,16.49,4.94,0.4336,1.97
S1MI01-20220518-0W,S1MI01,7,NO,D,0,0.112,1,0.296,1,21.49,3.74,,
S1MI01-20220603-2W,S1MI01,7,NO,D,14,0.117,1,0.268,1,21.49,3.74,,
S1MI01-20220609-3W,S1MI01,7,NO,D,21,0.28,1,0.503,1,21.49,3.74,,
S1MI01-20220616-4W,S1MI01,7,NO,D,28,0.083,1,0.182,1,21.49,3.74,,
S1MI01-20220623-5W,S1MI01,7,NO,D,35,0.26,1,0.512,1,21.49,3.74,,
S1MI01-20220630-6W,S1MI01,7,NO,D,42,0.47,1,0.793,1,16.49,3.74,,
S1MI01-20220708-7W,S1MI01,7,NO,D,49,0.392,1,0.621,1,16.49,3.74,,
S1MI01-20220714-8W,S1MI01,7,NO,D,56,0.635,1,1.091,1,16.49,3.74,,
S1MI01-20220721-9W,S1MI01,7,NO,D,63,0.626,1,1.465,1,1.51,3.74,,
S1MI01-20220802-10W,S1MI01,7,NO,D,70,0.448,1,1.259,1,1.51,3.74,,
S1MI01-20220822-13W,S1MI01,7,NO,D,91,0.449,1,1.192,1,1.51,3.74,,
S1MI01-20220906-15W,S1MI01,7,NO,D,105,1.023,1,3.062,1,1.51,3.74,,
S1MI01-20221102-24W,S1MI01,7,NO,D,168,4.059,1,10.629,2,1.51,3.74,,
S1MI01-20221110-25W,S1MI01,7,NO,D,175,3.077,1,6.92,2,1.51,3.74,,
S1MI01-20221206-28W,S1MI01,7,NO,D,196,5.111,2,10.873,2,1.51,3.74,0.2125,2.38
S1MI02-20220518-0W,S1MI02,7,MI,MI,0,0.342,1,0.554,1,6.5,3.54,,
S1MI02-20220603-2W,S1MI02,7,MI,MI,14,0.188,1,0.311,1,11.5,3.54,,
S1MI02-20220609-3W,S1MI02,7,MI,MI,21,0.209,1,0.478,1,1.51,3.54,,
S1MI02-20220616-4W,S1MI02,7,MI,MI,28,0.209,1,0.478,1,1.51,3.54,,
S1MI02-20220623-5W,S1MI02,7,MI,MI,35,0.264,1,0.638,1,1.51,3.54,,
S1MI02-20220630-6W,S1MI02,7,MI,MI,42,0.399,1,0.972,1,1.51,3.54,,
S1MI02-20220708-7W,S1MI02,7,MI,MI,49,0.307,1,0.573,1,1.51,3.54,,
S1MI02-20220714-8W,S1MI02,7,MI,MI,56,0.302,1,0.684,1,1.51,3.54,,
S1MI02-20220721-9W,S1MI02,7,MI,MI,63,0.183,1,0.462,1,1.51,3.54,,
S1MI02-20220802-10W,S1MI02,7,MI,MI,70,0.247,1,0.627,1,1.51,3.54,,
S1MI02-20220822-13W,S1MI02,7,MI,MI,91,0.141,1,0.36,1,1.51,3.54,,
S1MI02-20220906-15W,S1MI02,7,MI,MI,105,0.478,1,0.977,1,1.51,3.54,,
S1MI02-20221102-24W,S1MI02,7,MI,MI,168,9.584,2,19.849,3,6.5,3.54,,
S1MI02-20221110-25W,S1MI02,7,MI,MI,175,4.58,1,10.011,2,9.0,3.54,,
S1MI02-20221206-28W,S1MI02,7,MI,MI,196,8.318,2,14.741,3,6.5,3.54,0.1878,2.43
S1MI03-20220518-0W,S1MI03,7,MI,MI,0,0.356,1,0.658,1,1.51,3.8,,
S1MI03-20220603-2W,S1MI03,7,MI,MI,14,0.758,1,2.027,1,9.0,3.8,,
S1MI03-20220609-3W,S1MI03,7,MI,MI,21,0.463,1,1.127,1,9.0,3.8,,
S1MI03-20220616-4W,S1MI03,7,MI,MI,28,0.303,1,0.852,1,9.0,3.8,,
S1MI03-20220623-5W,S1MI03,7,MI,MI,35,0.471,1,0.797,1,9.0,3.8,,
S1MI03-20220630-6W,S1MI03,7,MI,MI,42,0.686,1,1.878,1,9.0,3.8,,
S1MI03-20220708-7W,S1MI03,7,MI,MI,49,0.282,1,0.825,1,9.0,3.8,,
S1MI03-20220714-8W,S1MI03,7,MI,MI,56,0.344,1,0.841,1,1.51,3.8,,
S1MI03-20220721-9W,S1MI03,7,MI,MI,63,0.528,1,1.477,1,6.5,3.8,,
S1MI03-20220802-10W,S1MI03,7,MI,MI,70,0.783,1,2.037,1,6.5,3.8,,
S1MI03-20220822-13W,S1MI03,7,MI,MI,91,0.371,1,1.344,1,6.5,3.8,,
S1MI03-20220906-15W,S1MI03,7,MI,MI,105,1.399,1,3.478,1,6.5,3.8,,
S1MI03-20221102-24W,S1MI03,7,MI,MI,168,8.146,2,20.312,3,6.5,3.8,,
S1MI03-20221110-25W,S1MI03,7,MI,MI,175,8.899,2,18.75,3,6.5,3.8,,
S1MI03-20221206-28W,S1MI03,7,MI,MI,196,12.772,2,26.097,4,6.5,3.8,0.166,2.54
S1MI04-20220518-0W,S1MI04,7,MI,MI,0,0.296,1,0.511,1,18.99,1.63,,
S1MI04-20220603-2W,S1MI04,7,MI,MI,14,0.636,1,1.424,1,18.99,1.63,,
S1MI04-20220609-3W,S1MI04,7,MI,MI,21,0.629,1,1.643,1,18.99,1.63,,
S1MI04-20220616-4W,S1MI04,7,MI,MI,28,0.396,1,1.382,1,18.99,1.63,,
S1MI04-20220623-5W,S1MI04,7,MI,MI,35,0.854,1,2.154,1,18.99,1.63,,
S1MI04-20220630-6W,S1MI04,7,MI,MI,42,0.994,1,2.512,1,18.99,1.63,,
S1MI04-20220708-7W,S1MI04,7,MI,MI,49,0.954,1,2.307,1,18.99,1.63,,
S1MI04-20220714-8W,S1MI04,7,MI,MI,56,1.231,1,3.081,1,18.99,1.63,,
S1MI04-20220721-9W,S1MI04,7,MI,MI,63,1.234,1,2.96,1,18.99,1.63,,
S1MI04-20220802-10W,S1MI04,7,MI,MI,70,2.278,1,5.508,2,21.49,1.63,,
S1MI04-20220822-13W,S1MI04,7,MI,MI,91,1.17,1,3.413,1,21.49,1.63,,
S1MI04-20220906-15W,S1MI04,7,MI,MI,105,4.25,1,10.809,2,21.49,1.63,,
S1MI04-20221102-24W,S1MI04,7,MI,MI,168,24.223,3,35.34,4,18.99,1.63,,
S1MI04-20221110-25W,S1MI04,7,MI,MI,175,16.735,3,23.661,4,21.49,1.63,,
S1MI04-20221206-28W,S1MI04,7,MI,MI,196,32.041,4,44.239,4,18.99,1.63,0.2399,2.38
S1MI05-20220518-0W,S1MI05,7,MI,MI,0,0.241,1,0.442,1,11.5,3.71,,
S1MI05-20220603-2W,S1MI05,7,MI,MI,14,0.529,1,0.843,1,21.49,3.71,,
S1MI05-20220609-3W,S1MI05,7,MI,MI,21,0.415,1,0.529,1,21.49,3.71,,
S1MI05-20220616-4W,S1MI05,7,MI,MI,28,0.415,1,0.475,1,11.5,3.71,,
S1MI05-20220623-5W,S1MI05,7,MI,MI,35,0.833,1,0.854,1,21.49,3.71,,
S1MI05-20220630-6W,S1MI05,7,MI,MI,42,0.795,1,0.899,1,21.49,3.71,,
S1MI05-20220708-7W,S1MI05,7,MI,MI,49,0.365,1,0.418,1,21.49,3.71,,
S1MI05-20220714-8W,S1MI05,7,MI,MI,56,0.695,1,1.33,1,13.99,3.71,,
S1MI05-20220721-9W,S1MI05,7,MI,MI,63,0.716,1,2.266,1,13.99,3.71,,
S1MI05-20220802-10W,S1MI05,7,MI,MI,70,1.155,1,2.887,1,13.99,3.71,,
S1MI05-20220822-13W,S1MI05,7,MI,MI,91,1.067,1,2.979,1,13.99,3.71,,
S1MI05-20220906-15W,S1MI05,7,MI,MI,105,4.938,1,10.276,2,13.99,3.71,,
S1MI05-20221102-24W,S1MI05,7,MI,MI,168,27.656,4,44.859,4,4.0,3.71,,
S1MI05-20221110-25W,S1MI05,7,MI,MI,175,18.451,3,20.826,3,1.51,3.71,,
S1MI05-20221206-28W,S1MI05,7,MI,MI,196,34.269,4,48.059,4,18.99,3.71,0.4152,2.35
S1MI06-20220518-0W,S1MI06,7,MI,MI,0,0.173,1,0.34,1,1.51,4.34,,
S1MI06-20220603-2W,S1MI06,7,MI,MI,14,0.15,1,0.293,1,1.51,4.34,,
S1MI06-20220609-3W,S1MI06,7,MI,MI,21,0.239,1,0.371,1,4.0,4.34,,
S1MI06-20220616-4W,S1MI06,7,MI,MI,28,0.242,1,0.375,1,4.0,4.34,,
S1MI06-20220623-5W,S1MI06,7,MI,MI,35,0.121,1,0.391,1,1.51,4.34,,
S1MI06-20220630-6W,S1MI06,7,MI,MI,42,0.263,1,0.403,1,1.51,4.34,,
S1MI06-20220708-7W,S1MI06,7,MI,MI,49,0.31,1,0.476,1,6.5,4.34,,
S1MI06-20220714-8W,S1MI06,7,MI,MI,56,0.309,1,0.588,1,1.51,4.34,,
S1MI06-20220721-9W,S1MI06,7,MI,MI,63,0.328,1,0.765,1,1.51,4.34,,
S1MI06-20220802-10W,S1MI06,7,MI,MI,70,0.279,1,0.553,1,1.51,4.34,,
S1MI06-20220822-13W,S1MI06,7,MI,MI,91,0.133,1,0.318,1,21.49,4.34,,
S1MI06-20220906-15W,S1MI06,7,MI,MI,105,0.88,1,3.084,1,1.51,4.34,,
S1MI06-20221102-24W,S1MI06,7,MI,MI,168,5.066,2,14.276,3,1.51,4.34,,
S1MI06-20221110-25W,S1MI06,7,MI,MI,175,4.888,1,14.972,3,1.51,4.34,,
S1MI06-20221206-28W,S1MI06,7,MI,MI,196,6.321,2,12.355,3,1.51,4.34,0.2005,2.33
S1MI07-20220518-0W,S1MI07,7,MI,MI,0,0.238,1,0.388,1,4.0,5.34,,
S1MI07-20220603-2W,S1MI07,7,MI,MI,14,0.976,1,1.489,1,4.0,5.34,,
S1MI07-20220609-3W,S1MI07,7,MI,MI,21,0.234,1,0.422,1,9.0,5.34,,
S1MI07-20220616-4W,S1MI07,7,MI,MI,28,0.139,1,0.235,1,1.51,5.34,,
S1MI07-20220623-5W,S1MI07,7,MI,MI,35,0.349,1,0.61,1,1.51,5.34,,
S1MI07-20220630-6W,S1MI07,7,MI,MI,42,0.403,1,0.775,1,9.0,5.34,,
S1MI07-20220708-7W,S1MI07,7,MI,MI,49,0.228,1,0.439,1,1.51,5.34,,
S1MI07-20220714-8W,S1MI07,7,MI,MI,56,0.557,1,0.808,1,9.0,5.34,,
S1MI07-20220721-9W,S1MI07,7,MI,MI,63,0.693,1,1.214,1,9.0,5.34,,
S1MI07-20220802-10W,S1MI07,7,MI,MI,70,0.79,1,1.264,1,9.0,5.34,,
S1MI07-20220822-13W,S1MI07,7,MI,MI,91,0.152,1,0.304,1,1.51,5.34,,
S1MI07-20220906-15W,S1MI07,7,MI,MI,105,1.262,1,2.954,1,11.5,5.34,,
S1MI07-20221102-24W,S1MI07,7,MI,MI,168,1.882,1,2.887,1,1.51,5.34,,
S1MI07-20221110-25W,S1MI07,7,MI,MI,175,1.393,1,2.688,1,16.49,5.34,,
S1MI07-20221206-28W,S1MI07,7,MI,MI,196,2.019,1,3.683,1,16.49,5.34,0.2505,2.1
S2SA01-20220518-0W,S2SA01,7,NO,D,0,0.098,1,0.147,1,18.99,4.42,,
S2SA01-20220603-2W,S2SA01,7,NO,D,14,0.23,1,0.28,1,18.99,4.42,,
S2SA01-20220609-3W,S2SA01,7,NO,D,21,0.154,1,0.236,1,1.51,4.42,,
S2SA01-20220616-4W,S2SA01,7,NO,D,28,0.066,1,0.119,1,1.51,4.42,,
S2SA01-20220623-5W,S2SA01,7,NO,D,35,0.126,1,0.475,1,1.51,4.42,,
S2SA01-20220630-6W,S2SA01,7,NO,D,42,0.314,1,1.117,1,1.51,4.42,,
S2SA01-20220708-7W,S2SA01,7,NO,D,49,0.219,1,0.478,1,1.51,4.42,,
S2SA01-20220714-8W,S2SA01,7,NO,D,56,0.535,1,1.711,1,1.51,4.42,,
S2SA01-20220721-9W,S2SA01,7,NO,D,63,0.146,1,0.595,1,1.51,4.42,,
S2SA01-20220802-10W,S2SA01,7,NO,D,70,0.369,1,1.008,1,1.51,4.42,,
S2SA01-20220822-13W,S2SA01,7,NO,D,91,0.414,1,1.223,1,6.5,4.42,,
S2SA01-20220906-15W,S2SA01,7,NO,D,105,1.651,1,5.738,2,6.5,4.42,,
S2SA01-20221102-24W,S2SA01,7,NO,D,168,11.932,2,24.595,4,1.51,4.42,,
S2SA01-20221110-25W,S2SA01,7,NO,D,175,6.52,2,11.918,2,1.51,4.42,,
S2SA01-20221206-28W,S2SA01,7,NO,D,196,11.093,2,23.504,4,1.51,4.42,0.2982,2.35
S2SA02-20220518-0W,S2SA02,7,SA,SA,0,0.085,1,0.212,1,1.51,4.39,,
S2SA02-20220603-2W,S2SA02,7,SA,SA,14,0.188,1,0.349,1,1.51,4.39,,
S2SA02-20220609-3W,S2SA02,7,SA,SA,21,0.087,1,0.17,1,13.99,4.39,,
S2SA02-20220616-4W,S2SA02,7,SA,SA,28,0.119,1,0.213,1,13.99,4.39,,
S2SA02-20220623-5W,S2SA02,7,SA,SA,35,0.164,1,0.312,1,13.99,4.39,,
S2SA02-20220630-6W,S2SA02,7,SA,SA,42,0.162,1,0.405,1,1.51,4.39,,
S2SA02-20220708-7W,S2SA02,7,SA,SA,49,0.145,1,0.671,1,1.51,4.39,,
S2SA02-20220714-8W,S2SA02,7,SA,SA,56,0.239,1,0.702,1,1.51,4.39,,
S2SA02-20220721-9W,S2SA02,7,SA,SA,63,0.186,1,0.606,1,1.51,4.39,,
S2SA02-20220802-10W,S2SA02,7,SA,SA,70,0.261,1,1.473,1,1.51,4.39,,
S2SA02-20220822-13W,S2SA02,7,SA,SA,91,0.185,1,0.417,1,13.99,4.39,,
S2SA02-20220906-15W,S2SA02,7,SA,SA,105,0.646,1,3.229,1,1.51,4.39,,
S2SA02-20221102-24W,S2SA02,7,SA,SA,168,4.474,1,13.706,3,13.99,4.39,,
S2SA02-20221110-25W,S2SA02,7,SA,SA,175,2.247,1,7.973,2,1.51,4.39,,
S2SA02-20221206-28W,S2SA02,7,SA,SA,196,3.601,1,13.214,3,1.51,4.39,0.0183,2.87
S2SA03-20220518-0W,S2SA03,7,SA,SA,0,0.144,1,0.424,1,18.99,2.02,,
S2SA03-20220603-2W,S2SA03,7,SA,SA,14,0.404,1,1.006,1,18.99,2.02,,
S2SA03-20220609-3W,S2SA03,7,SA,SA,21,0.277,1,0.654,1,18.99,2.02,,
S2SA03-20220616-4W,S2SA03,7,SA,SA,28,0.32,1,0.685,1,18.99,2.02,,
S2SA03-20220623-5W,S2SA03,7,SA,SA,35,0.481,1,1.013,1,9.0,2.02,,
S2SA03-20220630-6W,S2SA03,7,SA,SA,42,0.729,1,1.331,1,9.0,2.02,,
S2SA03-20220708-7W,S2SA03,7,SA,SA,49,0.615,1,1.236,1,9.0,2.02,,
S2SA03-20220714-8W,S2SA03,7,SA,SA,56,0.997,1,1.782,1,9.0,2.02,,
S2SA03-20220721-9W,S2SA03,7,SA,SA,63,0.993,1,1.828,1,9.0,2.02,,
S2SA03-20220802-10W,S2SA03,7,SA,SA,70,1.048,1,1.857,1,9.0,2.02,,
S2SA03-20220822-13W,S2SA03,7,SA,SA,91,1.165,1,2.217,1,9.0,2.02,,
S2SA03-20220906-15W,S2SA03,7,SA,SA,105,3.124,1,6.634,2,9.0,2.02,,
S2SA03-20221102-24W,S2SA03,7,SA,SA,168,21.699,3,39.557,4,13.99,2.02,,
S2SA03-20221110-25W,S2SA03,7,SA,SA,175,15.149,3,26.457,4,13.99,2.02,,
S2SA03-20221206-28W,S2SA03,7,SA,SA,196,43.177,4,69.24,4,16.49,2.02,0.111,2.25
S2SA04-20220518-0W,S2SA04,7,SA,SA,0,0.217,1,0.544,1,11.5,5.24,,
S2SA04-20220603-2W,S2SA04,7,SA,SA,14,0.162,1,0.371,1,11.5,5.24,,
S2SA04-20220609-3W,S2SA04,7,SA,SA,21,0.132,1,0.251,1,11.5,5.24,,
S2SA04-20220616-4W,S2SA04,7,SA,SA,28,0.051,1,0.099,1,16.49,5.24,,
S2SA04-20220623-5W,S2SA04,7,SA,SA,35,0.199,1,0.467,1,11.5,5.24,,
