feature,feature_value,feature_value_label,prediction_mean,feature_kind
img_hsv_v_hist_bin_0,6.446886446886447e-05,6.447e-05,2.0938079210961362,numeric
img_hsv_v_hist_bin_0,0.0002519526329050138,0.000252,2.224235664125339,numeric
img_hsv_v_hist_bin_0,0.000506479058860011,0.0005065,2.1948186671537937,numeric
img_hsv_v_hist_bin_0,0.0008500959358102215,0.0008501,2.205861906788292,numeric
img_hsv_v_hist_bin_0,0.0015575789290075003,0.001558,2.212228806823605,numeric
img_hsv_v_hist_bin_0,0.0026038723181580317,0.002604,2.3258444064787756,numeric
img_hsv_v_hist_bin_0,0.005047890381223713,0.005048,2.350460373044165,numeric
img_hsv_v_hist_bin_0,0.014355284221950886,0.01436,2.378210214537706,numeric
img_hsv_v_hist_bin_7,0.03208812915479584,0.03209,2.1464965741341997,numeric
img_hsv_v_hist_bin_7,0.3232984863461049,0.3233,2.129033047541053,numeric
img_hsv_v_hist_bin_7,1.0309475667189945,1.031,2.134056564227368,numeric
img_hsv_v_hist_bin_7,2.201577114948542,2.202,2.134056564227368,numeric
img_hsv_v_hist_bin_7,3.5187423764947567,3.519,2.1358747937435147,numeric
img_hsv_v_hist_bin_7,5.206014489214489,5.206,2.1378871868594107,numeric
img_hsv_v_hist_bin_7,7.163626412388316,7.164,2.2526304197371685,numeric
img_hsv_v_hist_bin_7,7.987224311490978,7.987,2.2526457632236023,numeric
img_hsv_v_std,0.014636836433783175,0.01464,2.2125661552479836,numeric
img_hsv_v_std,0.06055813189595938,0.06056,2.2190684337832987,numeric
img_hsv_v_std,0.07531211067523275,0.07531,2.2139020906537583,numeric
img_hsv_v_std,0.08642040086644036,0.08642,2.1937434031297225,numeric
img_hsv_v_std,0.09639986774751119,0.0964,2.1583896664391578,numeric
img_hsv_v_std,0.10984474734536238,0.1098,2.113041678361133,numeric
img_hsv_v_std,0.12440170241253716,0.1244,2.0625404250606727,numeric
img_hsv_v_std,0.14824271276593207,0.1482,2.0629499990931053,numeric
img_hsv_v_hist_bin_3,0.0004884004884004884,0.0004884,2.112502573865705,numeric
img_hsv_v_hist_bin_3,0.004021784212260402,0.004022,2.1578518596822787,numeric
img_hsv_v_hist_bin_3,0.016130085082466022,0.01613,2.2240183817601835,numeric
img_hsv_v_hist_bin_3,0.035121731883636646,0.03512,2.2060525990014734,numeric
img_hsv_v_hist_bin_3,0.07253444967730682,0.07253,2.20427558259325,numeric
img_hsv_v_hist_bin_3,0.13758520844235128,0.1376,2.1915709681516953,numeric
img_hsv_v_hist_bin_3,0.2727017462255556,0.2727,2.173579701129465,numeric
img_hsv_v_hist_bin_3,0.7653029439696106,0.7653,2.182775118257544,numeric
img_hsv_v_hist_bin_2,0.00019926739926739927,0.0001993,2.099450217939056,numeric
img_hsv_v_hist_bin_2,0.0019188712522045853,0.001919,2.122733330153937,numeric
img_hsv_v_hist_bin_2,0.005739682539682538,0.00574,2.226325339372782,numeric
img_hsv_v_hist_bin_2,0.011729426129426129,0.01173,2.201340351032397,numeric
img_hsv_v_hist_bin_2,0.019742233075566412,0.01974,2.1916035725705694,numeric
img_hsv_v_hist_bin_2,0.037881644281644276,0.03788,2.187355331615009,numeric
img_hsv_v_hist_bin_2,0.07637064170397503,0.07637,2.1326823510352035,numeric
img_hsv_v_hist_bin_2,0.20290717677384357,0.2029,2.103089020466232,numeric
img_hsv_h_hist_bin_1,0.03400461267127934,0.034,2.1654779475497836,numeric
img_hsv_h_hist_bin_1,0.13938236719189098,0.1394,2.162050054588752,numeric
img_hsv_h_hist_bin_1,0.2700192646859311,0.27,2.160412282316784,numeric
img_hsv_h_hist_bin_1,0.6461258135162897,0.6461,2.156697532169135,numeric
img_hsv_h_hist_bin_1,1.4891144213810883,1.489,2.1516427351762313,numeric
img_hsv_h_hist_bin_1,3.024859894955133,3.025,2.1468953573899685,numeric
img_hsv_h_hist_bin_1,5.056029769172626,5.056,2.1497810112992974,numeric
img_hsv_h_hist_bin_1,7.196345244878578,7.196,2.119860506992123,numeric
