split_name,repeat_id,fold_id,split_id,fraction,n_train_specimens,n_train_rows,train_mae,test_mae,train_rmse,test_rmse,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.2,8,132,0.0005229765176773538,0.3994432134628296,0.0006135712381533466,0.4459819721754511,1.0,0.5714312110592608
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.4,15,249,0.007076729456583664,0.3368119163513184,0.00934054333929094,0.4001586911658734,1.0,0.6079055436800646
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.6,23,378,0.015383950731028698,0.33200190496444704,0.021276057631020362,0.3879129757132375,0.9985171758730649,0.6626170426112704
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.8,30,491,0.018395202636718767,0.31695710849761966,0.02374289950201762,0.36795037526839514,0.9968841406075933,0.735565707852878
grouped_cv,0,0,grouped_cv_repeat0_fold0,1.0,38,626,0.034539575200331844,0.3337118592262268,0.046093897394159505,0.3886368315615837,0.9909151147200205,0.6747751534848716
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.2,8,132,0.0037713247537613515,0.26770711469650266,0.004661234067751985,0.3184430256262026,1.0,0.33434804902403553
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.4,15,246,0.00932082049051921,0.18403433179855347,0.014671861791858204,0.23568932234989567,1.0,0.6139845991168652
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.6,23,378,0.020774208359096404,0.14786190891265866,0.029101256802900263,0.17942334124335368,0.9933253658984609,0.6626170426112704
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.8,30,497,0.029349938074747735,0.19507114791870114,0.04469841259388472,0.21874608806662718,0.9924327713706763,0.6686960980480711
grouped_cv,0,1,grouped_cv_repeat0_fold1,1.0,38,626,0.0367298416087502,0.2287513456344604,0.05527484645305805,0.2744306773789059,0.9925569712008336,0.5288778230016562
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.2,8,135,0.0022328865528106756,0.2710997276306152,0.0032757262592660995,0.31248901864048767,1.0,0.7818181818181817
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.4,15,240,0.009653620084126801,0.2609823994636535,0.012367303921660178,0.3190566819140446,0.9982126884730385,0.8181818181818182
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.6,23,378,0.01489196632219397,0.25209638309478755,0.02081380721099834,0.3043066304511393,0.9960455987050624,0.7454545454545454
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.8,30,489,0.02491868432362876,0.2486926980018616,0.03768703969963532,0.28737769195304474,0.9855331490534546,0.7333333333333332
grouped_cv,0,2,grouped_cv_repeat0_fold2,1.0,38,627,0.031241618708560365,0.257444529056549,0.04734992180499542,0.29205694411316063,0.9877408588571155,0.6727272727272726
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.2,8,131,0.0013399261236191062,0.1946905665927463,0.0017641314112809244,0.2209605083103461,1.0,0.7166666666666667
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.4,16,261,0.009526347815990432,0.1811630450354682,0.011514131068171484,0.226986652220395,0.997791679306917,0.7666666666666667
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.6,23,374,0.017540791552999722,0.14400479952494305,0.024276628118535815,0.17332846975405486,0.9928342284810947,0.8499999999999999
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.8,31,506,0.032746614333121996,0.18063375684950095,0.047958720356390414,0.22134359964864184,0.9849723894877069,0.8666666666666667
grouped_cv,0,3,grouped_cv_repeat0_fold3,1.0,39,641,0.036230018933614085,0.15098294258117678,0.05549653340897403,0.2057275158054994,0.9852182291049211,0.8666666666666667
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.2,8,135,0.0016058337688446,0.23461263656616213,0.0019058439331794185,0.2656669725072016,1.0,0.5272012675161055
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.4,16,261,0.007410884499549866,0.20400643613603386,0.009232112197904839,0.2315279487664154,1.0,0.6945667492672501
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.6,23,381,0.014822446988976525,0.23338697751363124,0.019483972402147234,0.2731808085240517,0.9972819676828518,0.4100454302903043
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.8,31,512,0.02192275893303654,0.2011809078852335,0.028803408545613727,0.27176194193978015,0.9935458654265744,0.6610936529170212
grouped_cv,0,4,grouped_cv_repeat0_fold4,1.0,39,644,0.030844789529458065,0.17296762996249732,0.042019531812488874,0.23380123076670828,0.9895717779541157,0.6778302010921357
grouped_cv,1,0,grouped_cv_repeat1_fold0,0.2,8,132,0.0016898316144943193,0.24727745294570927,0.0020464302744809134,0.33333895794459467,1.0,0.7454545454545454
grouped_cv,1,0,grouped_cv_repeat1_fold0,0.4,15,246,0.0059654099146525304,0.27384703779220587,0.008821494213462596,0.3420564348650224,0.9937448114679381,0.6121212121212121
grouped_cv,1,0,grouped_cv_repeat1_fold0,0.6,23,384,0.022531300834987455,0.2119757394790649,0.029287317222740503,0.2971774864176683,0.9930738303808767,0.8060606060606059
grouped_cv,1,0,grouped_cv_repeat1_fold0,0.8,30,495,0.02713522402445474,0.23610490846633905,0.03641502066262568,0.3178470913384378,0.9948810244509807,0.7696969696969697
grouped_cv,1,0,grouped_cv_repeat1_fold0,1.0,38,626,0.038477148382287274,0.25672260284423826,0.049360301746602386,0.3426493925776822,0.9813366162715049,0.6606060606060605
grouped_cv,1,1,grouped_cv_repeat1_fold1,0.2,8,138,0.0010497850179672918,0.283965690612793,0.0017265501340882345,0.3259081400499469,1.0,0.28049301932678794
grouped_cv,1,1,grouped_cv_repeat1_fold1,0.4,15,249,0.0047488505045572595,0.23173064279556282,0.005575152536409481,0.3100858683901913,0.9982126884730385,0.5243999926544296
grouped_cv,1,1,grouped_cv_repeat1_fold1,0.6,23,372,0.015664476933686677,0.2875836997032166,0.02213179227176336,0.3513600076941852,0.9972808676043781,0.2378092989944506
grouped_cv,1,1,grouped_cv_repeat1_fold1,0.8,30,492,0.02311965926488242,0.2857708363533021,0.030806148301001552,0.35342683305474853,0.9975518459931311,0.298786042326361
grouped_cv,1,1,grouped_cv_repeat1_fold1,1.0,38,627,0.037658035127740165,0.27800830173492436,0.0528248269528482,0.3392457597037912,0.9905325166963822,0.2500046476608327
grouped_cv,1,2,grouped_cv_repeat1_fold2,0.2,8,129,0.0009523898363113514,0.1558841781616211,0.00122135112468219,0.22346317382328873,1.0,0.7818181818181817
