feature_set_name,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,n_splits,n_terminal_specimens,analysis_name,split_name,feature_set_label,model_name,n_features
metadata_only,0.1727105041907488,0.0460258296190881,0.2143371153983319,0.0539083132865419,0.6447950969796944,0.170749321493311,0.7579543589054193,0.2054833302071547,10,48,pooled_all_weeks,grouped_cv,metadata-only,Ridge,11
metadata_hsv,0.173003429090032,0.0390661866562717,0.21533238040476,0.0490322182813334,0.6347608206721228,0.1920534758186784,0.7712669211267557,0.1146687456487389,10,48,pooled_all_weeks,grouped_cv,metadata+HSV,Ridge,47
metadata_rgb_hsv,0.1829143302497428,0.0567276829384893,0.2258420569892734,0.0620389280951681,0.607459439235045,0.1849871743172147,0.753150617571104,0.1802855615401543,10,48,pooled_all_weeks,grouped_cv,metadata+RGB+HSV,CatBoost,88
metadata_rgb,0.1837144338617003,0.0465403133430552,0.2273307625964645,0.0554587811844056,0.5839132740739217,0.2404196256069425,0.7476293773331208,0.1686090897200949,10,48,pooled_all_weeks,grouped_cv,metadata+RGB,Ridge,52
hsv_only,0.2102633948448345,0.0539785291521182,0.2622269773886607,0.0596780625915554,0.4813005752882757,0.203476012078628,0.7048467453220687,0.1923756662827465,10,48,pooled_all_weeks,grouped_cv,HSV-only,CatBoost,36
rgb_hsv,0.2338505451444947,0.0558546461560291,0.2770882569577638,0.0666651085917224,0.4112433812159203,0.252174487305341,0.6677403929039796,0.1871946937953489,10,48,pooled_all_weeks,grouped_cv,RGB+HSV,CatBoost,77
rgb_only,0.2534780202874215,0.0592475942375724,0.3075192580032405,0.072802393594927,0.26931666790394,0.3359595057646094,0.5008269133411908,0.259244731972243,10,48,pooled_all_weeks,grouped_cv,RGB-only,CatBoost,41
