ID,img_r_mean,img_g_mean,img_b_mean,img_r_std,img_g_std,img_h_mean,img_s_mean,img_b_std,img_v_mean,img_h_std,img_s_std,img_v_std,img_rg_diff_mean,img_red_dominance_pct,img_rust_mask_pct,img_black_mask_pct,img_gray_mask_pct,img_rust_to_black_ratio,image_corrupted,image_error
D01-20240110-0W,0.9551145434379578,0.9161152243614197,0.832094669342041,0.04357464239001274,0.05104256793856621,0.11281809955835342,0.1280689835548401,0.056350529193878174,0.9551145434379578,0.013189156539738178,0.024401219561696053,0.04357464239001274,0.03899931162595749,0.1337826617826618,3.2017365350698685e-05,0.0,8.357075023741691e-05,32.01736535069869,False,
D01-20240124-2W,0.9609573483467102,0.9395114779472351,0.914212703704834,0.06273261457681656,0.07239677757024765,0.08815029263496399,0.04882458224892616,0.07841115444898605,0.9609573483467102,0.04732310399413109,0.0317050963640213,0.06273261457681656,0.021445829421281815,0.04798317731651065,0.0,0.0,1.1396011396011395e-05,0.0,False,
D01-20240207-4W,0.8917017579078674,0.8529611825942993,0.7995657324790955,0.07921471446752548,0.08593384176492691,0.09530757367610931,0.10355597734451294,0.09303697198629379,0.8917017579078674,0.014522851444780827,0.03570320084691048,0.07921472191810608,0.038740452378988266,0.1515533848867182,6.240672907339574e-05,0.0,0.00012806946140279474,62.406729073395745,False,
D01-20240221-6W,0.9620113968849182,0.9493312835693359,0.9324949383735657,0.0635918453335762,0.0754774883389473,0.0676703229546547,0.03160069137811661,0.087473064661026,0.9620286226272583,0.07470155507326126,0.03910554572939873,0.06358304619789124,0.01268002949655056,0.019863790530457198,4.884004884004884e-06,0.0,3.798670465337132e-05,4.8840048840048835,False,
D01-20240306-8W,0.9696100950241089,0.9531882405281067,0.9134053587913513,0.0538179986178875,0.07678952068090439,0.1142226830124855,0.05939408764243126,0.10243367403745651,0.969628095626831,0.0520351380109787,0.07831086218357086,0.05381553992629051,0.01642191782593727,0.036288156288156286,0.0008107448107448108,0.0,2.1164021164021164e-05,810.7448107448108,False,
D01-20240320-10W,0.9356224536895752,0.9085817337036133,0.8450291752815247,0.07986266165971756,0.1064172089099884,0.12015166133642197,0.10023807734251022,0.13666267693042755,0.9356224536895752,0.0351351723074913,0.10211464762687683,0.07986266165971756,0.027040677145123482,0.04675349342016009,0.005650250983584317,0.0,3.0389363722697055e-05,5650.2509835843175,False,
D01-20240405-12W,0.9458960890769958,0.9428543448448181,0.9186902046203613,0.07643953710794449,0.09213884174823761,0.12242723256349564,0.035027358680963516,0.1172424852848053,0.9503058195114136,0.10999240726232529,0.0813543051481247,0.07421553134918213,0.0030417367815971375,0.02997964997964998,0.0019373219373219374,0.0,5.20960520960521e-05,1937.3219373219374,False,
D01-20240417-14W,0.8769257664680481,0.8342475891113281,0.7300519347190857,0.09387685358524323,0.1066402792930603,0.11822250485420227,0.16954916715621948,0.11416970193386078,0.8769257664680481,0.011518658138811588,0.07333485037088394,0.09387685358524323,0.042678192257881165,0.1354567901234568,0.00675674942341609,0.0,0.0002306335639668973,6756.74942341609,False,
D01-20240508-17W,0.8038489818572998,0.7782039046287537,0.6944678425788879,0.149921715259552,0.15697862207889557,0.13160978257656097,0.1408691257238388,0.16355827450752258,0.8039546608924866,0.02278914861381054,0.08671106398105621,0.1498214453458786,0.02564510703086853,0.04981305114638448,0.009595984262650929,0.0,0.0032348392348392346,9595.984262650929,False,
D01-20240522-19W,0.8434578776359558,0.8220089673995972,0.714480996131897,0.08967454731464386,0.10048425197601318,0.15036436915397644,0.15715362131595612,0.11153513193130493,0.8472414612770081,0.03364432603120804,0.09757868200540543,0.08721329271793365,0.021448902785778046,0.0586303079636413,0.008930674264007597,0.0,0.00029683896350563016,8930.674264007597,False,
