model,cv_mae,cv_rmse,cv_r2,holdout_mae,holdout_rmse,holdout_r2
RandomForest,2.653530496656328,3.463064107033375,0.8023027668258059,2.2114222697563877,3.094661466779055,0.7820367161339525
XGBoost,2.648337858356907,3.564858565023782,0.7905455240045539,2.2404930914149563,2.8240137756466956,0.8184941322477252
GradientBoosting,2.5840125330717165,3.450413357179791,0.8013108863384237,2.7565365081845723,3.5561755171407405,0.7121783734637506
ElasticNet,2.6754632520530324,3.216925677914214,0.8181560551966063,3.7918111624195583,4.925660361579607,0.44781326040017133
