feature,importance_kind,importance,importance_abs,analysis_name,split_name,feature_set_name,model_name
cover_mm,feature_importance,0.6388205784159166,0.6388205784159166,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
series_id,feature_importance,0.1094259207529559,0.1094259207529559,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
treatment_label_coarse,feature_importance,0.09094242892131231,0.09094242892131231,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
split_group_treatment,feature_importance,0.09058239372316151,0.09058239372316151,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
treatment_protocol,feature_importance,0.038310275341670995,0.038310275341670995,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
treatment_coarse,feature_importance,0.0318491043925646,0.0318491043925646,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
ageing_days,feature_importance,4.9336914834097375e-05,4.9336914834097375e-05,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
week,feature_importance,1.996153758409832e-05,1.996153758409832e-05,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
campaign_id,feature_importance,0.0,0.0,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
n_steel_mesh,feature_importance,0.0,0.0,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
nacl_pct,feature_importance,0.0,0.0,pooled_all_weeks,leave_one_campaign_out,metadata_only,RandomForest
cover_mm,feature_importance,56.9362749472981,56.9362749472981,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
split_group_treatment,feature_importance,13.1322442133327,13.1322442133327,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
series_id,feature_importance,12.26017898520878,12.26017898520878,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
treatment_label_coarse,feature_importance,7.367286000216882,7.367286000216882,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
treatment_protocol,feature_importance,5.288557234864259,5.288557234864259,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
treatment_coarse,feature_importance,4.859719248798598,4.859719248798598,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
ageing_days,feature_importance,0.09389944958363089,0.09389944958363089,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
week,feature_importance,0.061839920697043055,0.061839920697043055,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
campaign_id,feature_importance,0.0,0.0,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
n_steel_mesh,feature_importance,0.0,0.0,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
nacl_pct,feature_importance,0.0,0.0,pooled_all_weeks,leave_one_campaign_out,metadata_only,CatBoost
series_id,feature_importance,0.4395663478644565,0.4395663478644565,pooled_all_weeks,leave_one_campaign_out,metadata_only,XGBoost
split_group_treatment,feature_importance,0.3423674616351491,0.3423674616351491,pooled_all_weeks,leave_one_campaign_out,metadata_only,XGBoost
treatment_protocol,feature_importance,0.12836602750758175,0.12836602750758175,pooled_all_weeks,leave_one_campaign_out,metadata_only,XGBoost
cover_mm,feature_importance,0.040446269325912,0.040446269325912,pooled_all_weeks,leave_one_campaign_out,metadata_only,XGBoost
treatment_label_coarse,feature_importance,0.03195491179940291,0.03195491179940291,pooled_all_weeks,leave_one_campaign_out,metadata_only,XGBoost
