analysis_name,feature_set_name,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,n_splits,n_terminal_specimens,split_name,feature_set_label,model_name,n_features,pipeline_name,stage1_model_name,stage2_model_name,baseline_mae_mean,baseline_rmse_mean,baseline_spearman_mean,delta_mae_vs_baseline_mean,delta_rmse_vs_baseline_mean,delta_spearman_vs_baseline_mean,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,baseline_status_threshold_kN,baseline_comparison_status
mesh_4,metadata_rgb_hsv,0.19442179580065888,0.09201619402464126,0.23808458476159813,0.10397959369068767,-0.9983347590763657,1.2269729881714275,0.08077935056255461,0.5943702369672161,10,24,grouped_cv,metadata+RGB+HSV,CatBoost,88,,,,,,,,,,,,,,
mesh_4,rgb_only,0.2028544342731934,0.07874638161054627,0.23627003584842762,0.09039110882712433,-0.9062286394406707,1.017964986583689,0.09668859288553504,0.4831896340595499,10,24,grouped_cv,RGB-only,CatBoost,41,,,,,,,,,,,,,,
mesh_4,metadata_only,0.20811623128964193,0.09039909033820946,0.23937148727904747,0.09775095195447694,-1.476469562942673,2.375611835145052,0.30077935056255456,0.531251631616521,10,24,grouped_cv,metadata-only,Ridge,11,,,,,,,,,,,,,,
mesh_4,hsv_only,0.21012706968212064,0.0890174158345554,0.23803113303762444,0.09666836195052625,-0.8064319147082287,0.6623425146722113,0.05668859288553503,0.6130616134045621,10,24,grouped_cv,HSV-only,CatBoost,36,,,,,,,,,,,,,,
mesh_4,rgb_hsv,0.21409908328808464,0.07715125950352013,0.24403840057497533,0.0859769566642304,-1.0498618633527013,1.006985543824287,0.18668859288553502,0.5513831633033273,10,24,grouped_cv,RGB+HSV,CatBoost,77,,,,,,,,,,,,,,
mesh_4,metadata_hsv,0.22774748508113837,0.06898319420005711,0.26704686633483626,0.0653879544166138,-1.9313348413548224,2.2203672841137143,-0.025129891760425783,0.6070252112967212,10,24,grouped_cv,metadata+HSV,Ridge,47,,,,,,,,,,,,,,
mesh_4,metadata_rgb,0.2611669247221816,0.09514196344169419,0.30585020397552043,0.10844681065215724,-3.557319114286763,4.550978399460797,0.08487010823957422,0.48540958950164476,10,24,grouped_cv,metadata+RGB,Ridge,52,,,,,,,,,,,,,,
mesh_7,hsv_only,0.13692289523061016,0.04640640333645717,0.174026778767772,0.06252311373055724,-0.3863563247832091,1.2245534906342643,0.45999999999999996,0.3373096170846271,10,24,grouped_cv,HSV-only,CatBoost,36,,,,,,,,,,,,,,
mesh_7,rgb_hsv,0.1382131750798929,0.04296303971674087,0.17214933272688807,0.06265192990696003,-0.29798914229927576,1.213276339057833,0.32999999999999996,0.5034326612809744,10,24,grouped_cv,RGB+HSV,CatBoost,77,,,,,,,,,,,,,,
mesh_7,rgb_only,0.1402818409003805,0.052544977227265255,0.17894458087386417,0.07531050401934856,-0.4073685848259017,1.2998956533310648,0.2899999999999999,0.4532597979574677,10,24,grouped_cv,RGB-only,CatBoost,41,,,,,,,,,,,,,,
mesh_7,metadata_rgb_hsv,0.20387790210463566,0.07495908903301947,0.23748655471705354,0.08807267971162057,-1.9800076103803783,2.96379771748849,0.009999999999999998,0.5801340841181076,10,24,grouped_cv,metadata+RGB+HSV,CatBoost,88,,,,,,,,,,,,,,
mesh_7,metadata_rgb,0.21383546037921372,0.12114054549887146,0.2564553661529724,0.14646481470660022,-4.653712237339063,9.125833985554886,0.030000000000000016,0.6532823109328598,10,24,grouped_cv,metadata+RGB,Ridge,52,,,,,,,,,,,,,,
mesh_7,metadata_only,0.21614133345292424,0.08750434645376089,0.26074003792602707,0.09714403572838419,-3.0928827688309797,4.937497283179105,-0.04999999999999997,0.6328945848682508,10,24,grouped_cv,metadata-only,Ridge,11,,,,,,,,,,,,,,
mesh_7,metadata_hsv,0.2450630058681628,0.08221737041496908,0.2896098409876461,0.08875688177281793,-3.63939169875173,5.242378922548492,-4.4408920985006264e-17,0.7086763875156432,10,24,grouped_cv,metadata+HSV,Ridge,47,,,,,,,,,,,,,,
pooled_all_weeks,metadata_only,0.1727105041907488,0.046025829619088104,0.21433711539833195,0.05390831328654198,0.6447950969796944,0.170749321493311,0.7579543589054193,0.20548333020715476,10,48,grouped_cv,metadata-only,Ridge,11,,,,,,,,,,,,,,
pooled_all_weeks,metadata_hsv,0.17300342909003205,0.03906618665627177,0.21533238040476005,0.04903221828133344,0.6347608206721228,0.19205347581867846,0.7712669211267557,0.11466874564873897,10,48,grouped_cv,metadata+HSV,Ridge,47,,,,,,,,,,,,,,
pooled_all_weeks,metadata_rgb_hsv,0.18291433024974288,0.05672768293848933,0.22584205698927345,0.06203892809516812,0.607459439235045,0.1849871743172147,0.753150617571104,0.18028556154015432,10,48,grouped_cv,metadata+RGB+HSV,CatBoost,88,,,,,,,,,,,,,,
pooled_all_weeks,metadata_rgb,0.1837144338617003,0.046540313343055285,0.22733076259646454,0.05545878118440565,0.5839132740739217,0.24041962560694258,0.7476293773331208,0.16860908972009492,10,48,grouped_cv,metadata+RGB,Ridge,52,,,,,,,,,,,,,,
pooled_all_weeks,hsv_only,0.21026339484483456,0.05397852915211827,0.26222697738866074,0.05967806259155547,0.48130057528827574,0.20347601207862806,0.7048467453220687,0.1923756662827465,10,48,grouped_cv,HSV-only,CatBoost,36,,,,,,,,,,,,,,
pooled_all_weeks,rgb_hsv,0.23385054514449471,0.0558546461560291,0.2770882569577638,0.06666510859172241,0.4112433812159203,0.25217448730534103,0.6677403929039796,0.18719469379534898,10,48,grouped_cv,RGB+HSV,CatBoost,77,,,,,,,,,,,,,,
pooled_all_weeks,rgb_only,0.2534780202874215,0.05924759423757248,0.3075192580032405,0.07280239359492706,0.26931666790394004,0.3359595057646094,0.5008269133411908,0.259244731972243,10,48,grouped_cv,RGB-only,CatBoost,41,,,,,,,,,,,,,,
