strategy,split_id,train_rows,test_rows,train_specimens,test_specimens,leakage_detected
leave_one_campaign_out,leave_one_campaign_out_0,24,24,24,24,False
leave_one_campaign_out,leave_one_campaign_out_1,24,24,24,24,False
