column_name,feature_family,is_candidate_feature,dtype,missing_count,n_unique
ageing_days,metadata,True,int64,0,25
calendar_date,excluded,False,datetime64[us],0,33
campaign_id,metadata,True,str,0,2
cover_mm,metadata,True,float64,0,48
cover_mm_raw,excluded,False,float64,0,48
date,excluded,False,int64,0,33
has_structural_label,excluded,False,bool,0,2
image_error,excluded,False,float64,791,0
image_filename,excluded,False,str,0,791
image_height,excluded,False,float64,0,3
image_path,excluded,False,str,0,791
image_readable,excluded,False,bool,0,1
image_width,excluded,False,float64,0,1
img_b_mean,rgb,True,float64,0,790
img_b_std,rgb,True,float64,0,790
img_black_mask_ratio_pct,rgb,True,float64,0,73
img_brightness_mean,rgb,True,float64,0,790
img_brightness_p10,rgb,True,float64,0,169
img_brightness_p90,rgb,True,float64,0,101
img_brightness_std,rgb,True,float64,0,790
img_contrast,rgb,True,float64,0,790
img_edge_to_center_rust_ratio,rgb,True,float64,0,715
img_g_mean,rgb,True,float64,0,790
img_g_std,rgb,True,float64,0,790
img_glcm_contrast,rgb,True,float64,0,790
img_glcm_energy,rgb,True,float64,0,790
img_glcm_homogeneity,rgb,True,float64,0,790
img_gray_hist_bin_0,rgb,True,float64,0,450
img_gray_hist_bin_1,rgb,True,float64,0,626
img_gray_hist_bin_2,rgb,True,float64,0,701
img_gray_hist_bin_3,rgb,True,float64,0,753
img_gray_hist_bin_4,rgb,True,float64,0,773
img_gray_hist_bin_5,rgb,True,float64,0,781
img_gray_hist_bin_6,rgb,True,float64,0,789
img_gray_hist_bin_7,rgb,True,float64,0,787
img_gray_mask_ratio_pct,rgb,True,float64,0,693
img_hsv_h_hist_bin_0,hsv,True,float64,0,790
img_hsv_h_hist_bin_1,hsv,True,float64,0,790
img_hsv_h_hist_bin_2,hsv,True,float64,0,110
img_hsv_h_hist_bin_3,hsv,True,float64,0,44
img_hsv_h_hist_bin_4,hsv,True,float64,0,50
img_hsv_h_hist_bin_5,hsv,True,float64,0,45
img_hsv_h_hist_bin_6,hsv,True,float64,0,46
img_hsv_h_hist_bin_7,hsv,True,float64,0,131
