specimen,n,mae,rmse,mean_true,mean_pred
S1MI01,15,1.334128631536166,1.786233299498141,3.7372666666666663,4.624907989303271
S1MI03,15,2.6423147744814557,3.4100439347925238,7.090066666666667,8.803896566232046
S4SAVF02,15,3.621690886243185,5.069773248068292,3.279733333333333,5.007616178194682
S3PA03,15,4.001444422415892,6.7643815741108915,7.504133333333334,4.574517781039079
S1MI02,15,4.391448311960698,8.719555956634025,4.861133333333333,8.746398431559404
F01,18,5.584780010902219,7.3224386769229515,4.359666666666667,9.891120883739656
S1MI04,15,5.983917382558188,8.20050856337936,12.4982,12.462148761749267
G02,18,6.44218168841468,8.1050504315975,12.515944444444445,7.208230210675134
S2SA07,15,6.5510405581425255,14.922117843068428,9.754866666666665,3.9259551758179443
D05,18,13.893367965625393,16.183532454280524,26.622333333333334,12.810167099866602
