specimen_id,n_steel_mesh,ultimate_load_kn,mean_abs_error,min_abs_error,max_abs_error,error_range_kN,n_feature_sets_over_hard_threshold,best_feature_set_label,best_model_name,best_abs_error,best_prediction,worst_feature_set_label,worst_model_name,worst_abs_error,worst_prediction,gap_class,specimen_label
F03,4,2.39,0.5970978407608161,0.5286897557152856,0.654010423097215,0.12532066738192937,7,metadata+HSV,Ridge,0.5286897557152856,1.8613102442847145,HSV-only,CatBoost,0.654010423097215,1.735989576902785,persistent_hard,F03 | mesh 4 | actual 2.39 kN
S3PA03,7,2.66,0.2246603982345104,0.0348735529361672,0.4060133389816225,0.3711397860454553,3,metadata+RGB+HSV,CatBoost,0.0348735529361672,2.625126447063833,HSV-only,CatBoost,0.4060133389816225,2.2539866610183776,approach_sensitive,S3PA03 | mesh 7 | actual 2.66 kN
S2SA03,7,2.25,0.1972102951710967,0.0263121650939206,0.3789692533374067,0.3526570882434861,3,RGB+HSV,CatBoost,0.0263121650939206,2.2763121650939206,metadata+HSV,Ridge,0.3789692533374067,2.6289692533374067,approach_sensitive,S2SA03 | mesh 7 | actual 2.25 kN
G06,4,1.97,0.2251306647031313,0.0297689879943587,0.479115306938177,0.4493463189438183,2,metadata-only,Ridge,0.0297689879943587,1.9997689879943588,RGB-only,CatBoost,0.479115306938177,2.449115306938177,approach_sensitive,G06 | mesh 4 | actual 1.97 kN
S2SA01,7,2.35,0.1990443292161351,0.0848259512150826,0.2925570803869584,0.20773112917187578,2,HSV-only,CatBoost,0.0848259512150826,2.4348259512150827,metadata+RGB,Ridge,0.2925570803869584,2.6425570803869585,approach_sensitive,S2SA01 | mesh 7 | actual 2.35 kN
S5VF02,7,2.45,0.17966648006130095,0.012506133019035,0.4648437363095103,0.4523376032904753,2,metadata+HSV,Ridge,0.012506133019035,2.462506133019035,RGB-only,CatBoost,0.4648437363095103,1.9851562636904896,approach_sensitive,S5VF02 | mesh 7 | actual 2.45 kN
F04,4,2.01,0.1755432185824548,0.0610795849617935,0.3255905250597122,0.2645109400979187,2,metadata+HSV,Ridge,0.0610795849617935,1.9489204150382065,metadata+RGB+HSV,CatBoost,0.3255905250597122,1.6844094749402876,approach_sensitive,F04 | mesh 4 | actual 2.01 kN
S1MI01,7,2.38,0.1353787094540989,0.0052919302051921,0.3505083666215074,0.34521643641631533,2,metadata+HSV,Ridge,0.0052919302051921,2.385291930205192,HSV-only,CatBoost,0.3505083666215074,2.0294916333784925,approach_sensitive,S1MI01 | mesh 7 | actual 2.38 kN
E02,4,1.79,0.13138499316538566,0.0217350881579925,0.3155291215924123,0.2937940334344198,2,metadata+HSV,Ridge,0.0217350881579925,1.8117350881579928,RGB+HSV,CatBoost,0.3155291215924123,2.1055291215924123,approach_sensitive,E02 | mesh 4 | actual 1.79 kN
E01,4,1.7,0.13509649860730438,0.0154382443120502,0.25513003604237,0.2396917917303198,1,metadata+HSV,Ridge,0.0154382443120502,1.7154382443120502,RGB-only,CatBoost,0.25513003604237,1.95513003604237,approach_sensitive,E01 | mesh 4 | actual 1.70 kN
D01,4,1.89,0.1282494348334578,0.0484790360056879,0.3214303761486172,0.2729513401429293,1,metadata+RGB+HSV,CatBoost,0.0484790360056879,1.841520963994312,RGB-only,CatBoost,0.3214303761486172,2.211430376148617,approach_sensitive,D01 | mesh 4 | actual 1.89 kN
D02,4,1.8,0.10036780122445688,0.0068625607149146,0.3442808812361961,0.3374183205212815,1,metadata-only,Ridge,0.0068625607149146,1.8068625607149147,RGB-only,CatBoost,0.3442808812361961,2.144280881236196,approach_sensitive,D02 | mesh 4 | actual 1.80 kN
F02,4,1.71,0.14418862017291165,0.0027822778751787,0.2227460928052229,0.2199638149300442,0,HSV-only,CatBoost,0.0027822778751787,1.712782277875179,metadata+RGB+HSV,CatBoost,0.2227460928052229,1.932746092805223,approach_sensitive,F02 | mesh 4 | actual 1.71 kN
F06,4,1.68,0.09017207013460068,0.0178438552717088,0.2469236681459889,0.2290798128742801,0,HSV-only,CatBoost,0.0178438552717088,1.6978438552717088,metadata-only,Ridge,0.2469236681459889,1.926923668145989,approach_sensitive,F06 | mesh 4 | actual 1.68 kN
