sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,predicted_ultimate_load_kn,predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,residual,abs_error,feature_set_name,feature_set_label,model_name,feature_set_model_label
D02-20240918-36W,D02,campaign_2,D,4,36,252,1.8,1.8,1.8719039462357527,0.0183348769848061,2,True,0.0719039462357526,0.0719039462357526,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
D02-20240918-36W,D02,campaign_2,D,4,36,252,1.8,1.8,1.7926977760774954,0.0238619264727422,2,True,-0.0073022239225046,0.0073022239225046,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
D02-20240918-36W,D02,campaign_2,D,4,36,252,1.8,1.8,1.8068625607149147,0.0028822878631019,2,True,0.0068625607149146,0.0068625607149146,metadata_only,metadata-only,Ridge,metadata-only | Ridge
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,2.187809765667108,0.0841500967704658,2,True,0.5478097656671082,0.5478097656671082,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,2.3176065004885595,0.0784709537763412,2,True,0.6776065004885596,0.6776065004885596,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,2.5304693089991908,0.1020270714169275,2,True,0.8904693089991909,0.8904693089991909,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,1.8252445039145375,0.0199896342238019,2,True,0.1852445039145376,0.1852445039145376,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,1.8897527203021247,0.0334363138206795,2,True,0.2497527203021248,0.2497527203021248,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,1.8310522776539624,0.02896483715717,2,True,0.1910522776539622,0.1910522776539622,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
D03-20240918-36W,D03,campaign_2,D,4,36,252,1.64,1.64,1.8154350299138688,0.010109869334759,2,True,0.1754350299138687,0.1754350299138687,metadata_only,metadata-only,Ridge,metadata-only | Ridge
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.8546323739802777,0.0238600695542494,2,True,-0.0153676260197224,0.0153676260197224,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.960819988553049,0.0477309164695647,2,True,0.0908199885530489,0.0908199885530489,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.9616454738430944,0.0624563920933258,2,True,0.0916454738430943,0.0916454738430943,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.8771646443361547,0.0493862772797638,2,True,0.0071646443361546,0.0071646443361546,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.7999497037484526,0.141577034137786,2,True,-0.0700502962515474,0.0700502962515474,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.9895473823136296,0.0258455217016052,2,True,0.1195473823136297,0.1195473823136297,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
D04-20240918-36W,D04,campaign_2,D,4,36,252,1.87,1.87,1.891048849574187,0.0289183309220499,2,True,0.0210488495741869,0.0210488495741869,metadata_only,metadata-only,Ridge,metadata-only | Ridge
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.9441929953622643,0.0272305947434701,2,True,-0.1058070046377355,0.1058070046377355,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.9454719715968296,0.0839677897993505,2,True,-0.1045280284031704,0.1045280284031704,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.9016969338895595,0.0294334911943601,2,True,-0.14830306611044,0.14830306611044,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.820090139932521,0.0248659558539289,2,True,-0.2299098600674789,0.2299098600674789,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.7515546140914893,0.0199774773827907,2,True,-0.2984453859085105,0.2984453859085105,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.7683681951841306,0.0198283929692164,2,True,-0.2816318048158692,0.2816318048158692,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
D05-20240918-36W,D05,campaign_2,D,4,36,252,2.05,2.05,1.7636347233951104,0.0006457055381255,2,True,-0.2863652766048894,0.2863652766048894,metadata_only,metadata-only,Ridge,metadata-only | Ridge
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.7993748342238485,0.0130660552676354,2,True,0.1893748342238481,0.1893748342238481,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.8354745308924905,0.0366709286585617,2,True,0.2254745308924901,0.2254745308924901,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.945281105920568,0.0233842939186128,2,True,0.3352811059205678,0.3352811059205678,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.856711044096003,0.0098050303455461,2,True,0.2467110440960029,0.2467110440960029,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.803231388705837,0.0035200782788321,2,True,0.193231388705837,0.193231388705837,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.766649474269705,0.0153635120629214,2,True,0.1566494742697048,0.1566494742697048,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
D06-20240918-36W,D06,campaign_2,D,4,36,252,1.61,1.61,1.8016870154974256,0.0128084266653155,2,True,0.1916870154974252,0.1916870154974252,metadata_only,metadata-only,Ridge,metadata-only | Ridge
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.932172838027608,0.0006352236522981,2,True,0.2321728380276082,0.2321728380276082,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.8868881800031132,0.0424450639643394,2,True,0.1868881800031132,0.1868881800031132,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.95513003604237,0.0240144474150506,2,True,0.25513003604237,0.25513003604237,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.7154382443120502,0.0902725837413082,2,True,0.0154382443120502,0.0154382443120502,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.8463106033428809,0.0404819428289906,2,True,0.1463106033428809,0.1463106033428809,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.6646642922664112,0.0369019325474436,2,True,-0.0353357077335887,0.0353357077335887,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
E01-20240918-36W,E01,campaign_2,E,4,36,252,1.7,1.7,1.7743998807895194,0.036426683289162,2,True,0.0743998807895194,0.0743998807895194,metadata_only,metadata-only,Ridge,metadata-only | Ridge
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,1.944675658140857,0.0048256959437405,2,True,0.154675658140857,0.154675658140857,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,2.1055291215924123,0.098412518198677,2,True,0.3155291215924123,0.3155291215924123,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,2.0464961682628404,0.1576155359706847,2,True,0.2564961682628404,0.2564961682628404,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,1.8117350881579928,0.0146280168750754,2,True,0.0217350881579925,0.0217350881579925,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,1.8340209032835368,0.0580073965856716,2,True,0.0440209032835365,0.0440209032835365,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,1.8918013684449568,0.0716879055376242,2,True,0.1018013684449568,0.1018013684449568,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
E02-20240918-36W,E02,campaign_2,E,4,36,252,1.79,1.79,1.815436644275104,0.0418790176059477,2,True,0.0254366442751041,0.0254366442751041,metadata_only,metadata-only,Ridge,metadata-only | Ridge
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,1.974752489857676,0.085835215859876,2,True,0.0647524898576761,0.0647524898576761,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,2.025991529138298,0.0164830128530553,2,True,0.115991529138298,0.115991529138298,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,2.08132451417276,0.1106137238382617,2,True,0.1713245141727599,0.1713245141727599,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,1.8776856706538885,0.0428756202683949,2,True,-0.0323143293461114,0.0323143293461114,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,1.9274048236766563,0.0320543871081214,2,True,0.0174048236766564,0.0174048236766564,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,1.9388433364679931,0.088175413745498,2,True,0.0288433364679934,0.0288433364679934,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
E03-20240918-36W,E03,campaign_2,E,4,36,252,1.91,1.91,1.8007931365018957,0.0132515952367014,2,True,-0.1092068634981042,0.1092068634981042,metadata_only,metadata-only,Ridge,metadata-only | Ridge
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.86409847049627,0.0429707919106549,2,True,0.20409847049627,0.20409847049627,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.8866481050637487,0.0165888568961285,2,True,0.2266481050637487,0.2266481050637487,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.8778456488462985,0.027450018683543,2,True,0.2178456488462983,0.2178456488462983,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.8826421570777936,0.0061573564228245,2,True,0.2226421570777936,0.2226421570777936,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.7713138856244286,0.0102130719182319,2,True,0.1113138856244286,0.1113138856244286,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
