stage,feature_name,source_family,missing_count,missing_fraction
hidden_damage,img_brightness_std,image_color,0,0.0
hidden_damage,img_brightness_p10,image_color,0,0.0
hidden_damage,img_brightness_p90,image_color,0,0.0
hidden_damage,img_contrast,image_color,0,0.0
hidden_damage,img_r_mean,image_color,0,0.0
hidden_damage,img_g_mean,image_color,0,0.0
hidden_damage,img_b_mean,image_color,0,0.0
hidden_damage,img_r_std,image_color,0,0.0
hidden_damage,img_g_std,image_color,0,0.0
hidden_damage,img_b_std,image_color,0,0.0
hidden_damage,img_gray_hist_bin_0,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_1,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_2,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_3,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_4,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_5,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_6,image_histogram,0,0.0
hidden_damage,img_gray_hist_bin_7,image_histogram,0,0.0
hidden_damage,img_glcm_contrast,image_texture,0,0.0
hidden_damage,img_glcm_homogeneity,image_texture,0,0.0
hidden_damage,img_glcm_energy,image_texture,0,0.0
hidden_damage,img_lbp_mean,image_texture,0,0.0
hidden_damage,img_lbp_std,image_texture,0,0.0
hidden_damage,img_rust_blob_count,image_morphology,0,0.0
hidden_damage,img_rust_blob_largest_ratio_pct,image_morphology,0,0.0
hidden_damage,img_rust_blob_mean_ratio_pct,image_morphology,0,0.0
hidden_damage,img_rust_blob_eccentricity_mean,image_morphology,0,0.0
hidden_damage,img_rust_blob_eccentricity_max,image_morphology,0,0.0
hidden_damage,img_strip_count,image_spatial,0,0.0
hidden_damage,img_strip_rust_mean_pct,image_spatial,0,0.0
hidden_damage,img_strip_rust_std_pct,image_spatial,0,0.0
hidden_damage,img_strip_rust_max_pct,image_spatial,0,0.0
hidden_damage,img_strip_rust_p90_pct,image_spatial,0,0.0
hidden_damage,img_strip_high_count,image_spatial,0,0.0
hidden_damage,img_strip_peak_location_cm,image_spatial,0,0.0
hidden_damage,img_rust_center_of_mass_cm,image_spatial,0,0.0
hidden_damage,img_edge_to_center_rust_ratio,image_spatial,0,0.0
