exposure_band,surface_total_rust_pct_median,surface_total_rust_pct_mean,surface_total_rust_pct_count,peak_rust_pct_median,peak_rust_pct_mean,peak_rust_pct_count,img_rust_area_ratio_pct_median,img_rust_area_ratio_pct_mean,img_rust_area_ratio_pct_count
early_exposure,0.073,0.14614772727272726,264,0.2175,0.35693560606060604,264,0.07290733957400615,0.14616626069883365,264
mid_exposure,0.478,1.9780874524714827,263,1.542,5.06880608365019,263,0.4782526115859449,1.9780766574175952,263
late_exposure,4.1835,6.429912878787879,264,11.6805,14.156363636363636,264,4.183475783475783,6.4299172347673235,264
