sample_name,specimen_id,campaign_id,split_group_treatment,ageing_days,predicted_wire_area_loss_frac,fitted_wire_area_loss_frac,best_family,residual
D01-20240110-0W,D01,campaign_2,D_NO,0,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240124-2W,D01,campaign_2,D_NO,14,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240207-4W,D01,campaign_2,D_NO,28,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240221-6W,D01,campaign_2,D_NO,42,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240306-8W,D01,campaign_2,D_NO,56,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240320-10W,D01,campaign_2,D_NO,70,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240405-12W,D01,campaign_2,D_NO,84,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240417-14W,D01,campaign_2,D_NO,98,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240508-17W,D01,campaign_2,D_NO,119,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240522-19W,D01,campaign_2,D_NO,133,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240529-20W,D01,campaign_2,D_NO,140,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240619-23W,D01,campaign_2,D_NO,161,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240626-24W,D01,campaign_2,D_NO,168,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240710-26W,D01,campaign_2,D_NO,182,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
D01-20240724-28W,D01,campaign_2,D_NO,196,0.2478929749743116,0.2478929749743117,monotone_isotonic,-1.1102230246251565e-16
