feature_set_name,feature_set_label,model_name,mae_mean,rmse_mean,spearman_mean,delta_mae_vs_metadata_only,delta_rmse_vs_metadata_only,delta_spearman_vs_metadata_only,baseline_comparison_status,baseline_status_threshold_kN
metadata_only,metadata-only,Ridge,0.1727105041907488,0.21433711539833195,0.7579543589054193,0.0,0.0,0.0,no_meaningful_change,0.023012914809544052
metadata_hsv,metadata+HSV,Ridge,0.17300342909003205,0.21533238040476005,0.7712669211267557,0.00029292489928325893,0.0009952650064281032,0.013312562221336366,no_meaningful_change,0.023012914809544052
metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,0.18291433024974288,0.22584205698927345,0.753150617571104,0.010203826058994087,0.011504941590941509,-0.00480374133431527,no_meaningful_change,0.023012914809544052
metadata_rgb,metadata+RGB,Ridge,0.1837144338617003,0.22733076259646454,0.7476293773331208,0.011003929670951512,0.01299364719813259,-0.010324981572298442,no_meaningful_change,0.023012914809544052
hsv_only,HSV-only,CatBoost,0.21026339484483456,0.26222697738866074,0.7048467453220687,0.03755289065408576,0.0478898619903288,-0.05310761358335059,worsened,0.023012914809544052
rgb_hsv,RGB+HSV,CatBoost,0.23385054514449471,0.2770882569577638,0.6677403929039796,0.06114004095374592,0.06275114155943184,-0.09021396600143972,worsened,0.023012914809544052
rgb_only,RGB-only,CatBoost,0.2534780202874215,0.3075192580032405,0.5008269133411908,0.08076751609667271,0.09318214260490854,-0.2571274455642285,worsened,0.023012914809544052
