feature,importance_kind,importance,importance_abs,analysis_name,split_name,feature_set_name,model_name
campaign_id,feature_importance,0.34490464101918517,0.34490464101918517,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
n_steel_mesh,feature_importance,0.21360884557511778,0.21360884557511778,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
cover_mm,feature_importance,0.1990361279313404,0.1990361279313404,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
nacl_pct,feature_importance,0.12194235972033099,0.12194235972033099,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
series_id,feature_importance,0.03182225856236763,0.03182225856236763,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
split_group_treatment,feature_importance,0.03114567684062338,0.03114567684062338,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
treatment_label_coarse,feature_importance,0.026973524598137393,0.026973524598137393,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
treatment_protocol,feature_importance,0.016649405632387083,0.016649405632387083,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
treatment_coarse,feature_importance,0.013908034756299337,0.013908034756299337,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
ageing_days,feature_importance,6.027232286954742e-06,6.027232286954742e-06,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
week,feature_importance,3.0981319238514035e-06,3.0981319238514035e-06,pooled_all_weeks,grouped_cv,metadata_only,RandomForest
cover_mm,feature_importance,31.14484073990733,31.14484073990733,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
campaign_id,feature_importance,21.774060749090758,21.774060749090758,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
n_steel_mesh,feature_importance,13.84407333668313,13.84407333668313,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
nacl_pct,feature_importance,10.078602456350769,10.078602456350769,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
treatment_label_coarse,feature_importance,9.07579630643378,9.07579630643378,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
series_id,feature_importance,4.04385059707316,4.04385059707316,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
split_group_treatment,feature_importance,3.956772542742437,3.956772542742437,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
treatment_protocol,feature_importance,3.111608290961511,3.111608290961511,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
treatment_coarse,feature_importance,2.8449355436782158,2.8449355436782158,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
week,feature_importance,0.06477345862270109,0.06477345862270109,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
ageing_days,feature_importance,0.060685978456209176,0.060685978456209176,pooled_all_weeks,grouped_cv,metadata_only,CatBoost
nacl_pct,feature_importance,0.3834430813789368,0.3834430813789368,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
n_steel_mesh,feature_importance,0.2653590954840183,0.2653590954840183,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
campaign_id,feature_importance,0.12466478787828236,0.12466478787828236,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
series_id,feature_importance,0.11722430595000333,0.11722430595000333,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
split_group_treatment,feature_importance,0.07247899109188438,0.07247899109188438,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
treatment_protocol,feature_importance,0.011496711404291204,0.011496711404291204,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
treatment_coarse,feature_importance,0.009250558737812753,0.009250558737812753,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
treatment_label_coarse,feature_importance,0.008412142406328371,0.008412142406328371,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
cover_mm,feature_importance,0.007624995638616383,0.007624995638616383,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
week,feature_importance,3.3019309830706335e-05,3.3019309830706335e-05,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
ageing_days,feature_importance,1.2309740048976891e-05,1.2309740048976891e-05,pooled_all_weeks,grouped_cv,metadata_only,XGBoost
campaign_id,feature_importance,0.31595526183516165,0.31595526183516165,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
cover_mm,feature_importance,0.22156094169013407,0.22156094169013407,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
nacl_pct,feature_importance,0.18477077464139852,0.18477077464139852,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
n_steel_mesh,feature_importance,0.16126851627602143,0.16126851627602143,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
series_id,feature_importance,0.031161946476962177,0.031161946476962177,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
split_group_treatment,feature_importance,0.03098304093010439,0.03098304093010439,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
treatment_label_coarse,feature_importance,0.025842162357862408,0.025842162357862408,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
treatment_protocol,feature_importance,0.01975880687759166,0.01975880687759166,pooled_all_weeks,grouped_cv,metadata_only,GradientBoosting
