mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,n_splits,n_terminal_specimens,analysis_name,split_name,feature_set_name,feature_set_label,model_name,n_features
0.1727105041907488,0.046025829619088104,0.21433711539833195,0.05390831328654198,0.6447950969796944,0.170749321493311,0.7579543589054193,0.20548333020715476,10,48,pooled_all_weeks,grouped_cv,metadata_only,metadata-only,Ridge,11
0.17300342909003205,0.03906618665627177,0.21533238040476005,0.04903221828133344,0.6347608206721228,0.19205347581867846,0.7712669211267557,0.11466874564873897,10,48,pooled_all_weeks,grouped_cv,metadata_hsv,metadata+HSV,Ridge,47
0.18291433024974288,0.05672768293848933,0.22584205698927345,0.06203892809516812,0.607459439235045,0.1849871743172147,0.753150617571104,0.18028556154015432,10,48,pooled_all_weeks,grouped_cv,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,88
0.1837144338617003,0.046540313343055285,0.22733076259646454,0.05545878118440565,0.5839132740739217,0.24041962560694258,0.7476293773331208,0.16860908972009492,10,48,pooled_all_weeks,grouped_cv,metadata_rgb,metadata+RGB,Ridge,52
0.1846798407819536,0.06103212600771188,0.2272801179604377,0.07227027983951775,0.5617273706542008,0.3366176260675541,0.7829175406262543,0.1694742562456898,10,48,pooled_all_weeks,grouped_cv,metadata_hsv,metadata+HSV,XGBoost,47
0.18468405420703,0.060062713944230545,0.22393825644832455,0.0684258399528819,0.6051504006898984,0.20872732607737432,0.7571160101573662,0.15893549914210348,10,48,pooled_all_weeks,grouped_cv,metadata_hsv,metadata+HSV,CatBoost,47
0.1857631479122525,0.06097770393588972,0.23187097440389723,0.06785746431021353,0.5606988528475091,0.2838893449115073,0.7570020226861474,0.1414642659172241,10,48,pooled_all_weeks,grouped_cv,metadata_hsv,metadata+HSV,RandomForest,47
0.18687225636148955,0.046120572065852294,0.22809465364882664,0.05165295031731915,0.5848206005614018,0.21069772930137062,0.7505129788367555,0.1219152548723183,10,48,pooled_all_weeks,grouped_cv,metadata_rgb_hsv,metadata+RGB+HSV,Ridge,88
0.18780217713646047,0.05656528267046673,0.23186384528258394,0.06226199484496872,0.584030873599878,0.19766557507333388,0.7411809714574658,0.17985912317123384,10,48,pooled_all_weeks,grouped_cv,metadata_rgb,metadata+RGB,CatBoost,52
0.19187103481207557,0.06707621986751444,0.24471327194798356,0.08201061133241597,0.5155704969526118,0.2809877753802429,0.7286497975209276,0.17164211063110268,10,48,pooled_all_weeks,grouped_cv,metadata_hsv,metadata+HSV,GradientBoosting,47
0.19273573586675855,0.06893448510295913,0.23944529405028567,0.07579283129701563,0.5143671446860318,0.3704996063805834,0.7748891672936685,0.15326647051916545,10,48,pooled_all_weeks,grouped_cv,metadata_rgb_hsv,metadata+RGB+HSV,XGBoost,88
0.1929097608240568,0.07175714153905514,0.2400921831098571,0.07824568381539833,0.5212883020229666,0.347024316635733,0.749050466840078,0.17909695824853003,10,48,pooled_all_weeks,grouped_cv,metadata_rgb_hsv,metadata+RGB+HSV,RandomForest,88
0.1936360232959285,0.06645996965794264,0.2469105764186148,0.07651227393244542,0.5128922932145786,0.27344002967084724,0.7363343993546787,0.1801402696602427,10,48,pooled_all_weeks,grouped_cv,metadata_rgb_hsv,metadata+RGB+HSV,GradientBoosting,88
0.19404916019439697,0.06781897791943273,0.24097554178388497,0.07576412849856759,0.5107028525137643,0.36206661274408425,0.7782188446558022,0.15204834732934522,10,48,pooled_all_weeks,grouped_cv,metadata_rgb,metadata+RGB,XGBoost,52
0.1969595453309403,0.05093547435598572,0.2444687876108432,0.057707142354789014,0.5264534819857207,0.22695661245848073,0.7754049166523005,0.11941062230938007,10,48,pooled_all_weeks,grouped_cv,metadata_only,metadata-only,CatBoost,11
0.2008316300868988,0.07677363638037235,0.24849720486746754,0.09436302545731515,0.46057769372729196,0.4296906422089124,0.7572811423076778,0.1864560908888296,10,48,pooled_all_weeks,grouped_cv,metadata_only,metadata-only,XGBoost,11
0.202812221522722,0.07570589901125369,0.2593487373060815,0.09168590873422296,0.4509800535206631,0.3209153946824681,0.7230628755525517,0.17142280948784266,10,48,pooled_all_weeks,grouped_cv,metadata_only,metadata-only,GradientBoosting,11
0.20322938787261138,0.06624849286101507,0.2551120510319954,0.07448944129922005,0.48298191301991344,0.27281744479315484,0.7387656299297659,0.18028918340046785,10,48,pooled_all_weeks,grouped_cv,metadata_rgb,metadata+RGB,GradientBoosting,52
0.20369924075330603,0.05752712095869471,0.2541827010762733,0.0659143671171086,0.47754603505951587,0.2847336953360976,0.7613112315981005,0.11874963726356418,10,48,pooled_all_weeks,grouped_cv,metadata_only,metadata-only,RandomForest,11
0.20387899271275564,0.06462405609680788,0.2517314120807261,0.07073709981041128,0.4790687081643822,0.34227712497833174,0.7408391296563486,0.17189158223914508,10,48,pooled_all_weeks,grouped_cv,metadata_rgb,metadata+RGB,RandomForest,52
0.21026339484483456,0.05397852915211827,0.26222697738866074,0.05967806259155547,0.48130057528827574,0.20347601207862806,0.7048467453220687,0.1923756662827465,10,48,pooled_all_weeks,grouped_cv,hsv_only,HSV-only,CatBoost,36
0.21098404088339945,0.0630018694454601,0.27010653330357676,0.05837749237809492,0.43435070012986954,0.2562928972431131,0.7112112496450691,0.1882918128836854,10,48,pooled_all_weeks,grouped_cv,hsv_only,HSV-only,GradientBoosting,36
0.2275215742172807,0.06426957243254,0.27999012776209276,0.06960503420501866,0.41253365179484447,0.23052939559198124,0.6717188880357435,0.15350013220055866,10,48,pooled_all_weeks,grouped_cv,hsv_only,HSV-only,RandomForest,36
0.22907485224935745,0.05805457509782279,0.28102416964105414,0.060918794571979996,0.40475235312013014,0.21859735868348273,0.6640578734330405,0.17684182595508324,10,48,pooled_all_weeks,grouped_cv,hsv_only,HSV-only,XGBoost,36
0.23385054514449471,0.0558546461560291,0.2770882569577638,0.06666510859172241,0.4112433812159203,0.25217448730534103,0.6677403929039796,0.18719469379534898,10,48,pooled_all_weeks,grouped_cv,rgb_hsv,RGB+HSV,CatBoost,77
0.2446756726306086,0.06453153252052934,0.3002000458047402,0.06353253299159349,0.2887153543038027,0.3114163562318913,0.5859815300191662,0.2138317929390694,10,48,pooled_all_weeks,grouped_cv,rgb_hsv,RGB+HSV,Ridge,77
0.24838688744989526,0.061537841317136195,0.29209456341648926,0.0575730224458402,0.35511802351053706,0.24041032014028682,0.5770017203787053,0.16210226968073493,10,48,pooled_all_weeks,grouped_cv,rgb_hsv,RGB+HSV,RandomForest,77
0.24930459055904725,0.06207681873381167,0.3069488237864416,0.0623692558138558,0.2564160799994658,0.32573422393864604,0.6136976350118072,0.21071334131525188,10,48,pooled_all_weeks,grouped_cv,hsv_only,HSV-only,Ridge,36
0.2520223083751225,0.06593364438982126,0.2911311774213364,0.07472188742473763,0.3401204521121527,0.3397579030249242,0.6047637797820757,0.2242231673671708,10,48,pooled_all_weeks,grouped_cv,rgb_hsv,RGB+HSV,GradientBoosting,77
