strategy,fold_id,holdout_group,model,target,task,n_train,n_test,mae,rmse,r2
group_shuffle,fold_00,mixed_specimens,random_forest,wire_area_loss_pct,regression,38,10,3.899300292857145,4.99541275926641,0.3103769511894754
group_shuffle,fold_00,mixed_specimens,extra_trees,wire_area_loss_pct,regression,38,10,5.44366113333332,7.137521485942701,-0.40787425672428057
group_shuffle,fold_00,mixed_specimens,hist_gradient_boosting,wire_area_loss_pct,regression,38,10,5.598463157894735,6.952562901967673,-0.33585359677336446
group_shuffle,fold_00,mixed_specimens,mlp_regressor,wire_area_loss_pct,regression,38,10,5.907761718456221,7.000874334205339,-0.35448305077357545
leave_one_treatment_out,fold_00,MI,random_forest,wire_area_loss_pct,regression,42,6,6.1105531047979795,9.37094061042003,-0.3009434951774721
leave_one_treatment_out,fold_01,NO,random_forest,wire_area_loss_pct,regression,38,10,6.369050857142849,10.494891076549633,-0.6362997152093555
leave_one_treatment_out,fold_02,PA,random_forest,wire_area_loss_pct,regression,41,7,13.076886888167385,15.790235160309198,-0.29153305511772265
leave_one_treatment_out,fold_03,SA,random_forest,wire_area_loss_pct,regression,30,18,12.589728588955033,15.619085621684444,-0.036536412981762245
leave_one_treatment_out,fold_04,SA_PA,random_forest,wire_area_loss_pct,regression,45,3,15.224261189153433,16.961103629811674,-13.96118768503285
leave_one_treatment_out,fold_05,SA_VF,random_forest,wire_area_loss_pct,regression,46,2,11.25898174522005,11.392169174303843,-17.834506085581317
leave_one_treatment_out,fold_06,VF,random_forest,wire_area_loss_pct,regression,46,2,11.912771953373014,15.82854129068019,-0.5844035232945406
leave_one_treatment_out,fold_00,MI,extra_trees,wire_area_loss_pct,regression,42,6,12.433085777777771,16.467370807884404,-3.0173585363058377
leave_one_treatment_out,fold_01,NO,extra_trees,wire_area_loss_pct,regression,38,10,6.9973243333333315,10.921779400001967,-0.7721226824921215
leave_one_treatment_out,fold_02,PA,extra_trees,wire_area_loss_pct,regression,41,7,13.319115809523806,16.763250098793407,-0.4556091572055858
leave_one_treatment_out,fold_03,SA,extra_trees,wire_area_loss_pct,regression,30,18,13.76160062962963,16.5532343100677,-0.1642307798350855
leave_one_treatment_out,fold_04,SA_PA,extra_trees,wire_area_loss_pct,regression,45,3,12.541241333333337,13.322755955425187,-8.230941550617118
leave_one_treatment_out,fold_05,SA_VF,extra_trees,wire_area_loss_pct,regression,46,2,14.054832333333287,15.042637816915983,-31.838959091651468
leave_one_treatment_out,fold_06,VF,extra_trees,wire_area_loss_pct,regression,46,2,13.824632666666679,16.990518850580504,-0.8255649771316051
leave_one_treatment_out,fold_00,MI,hist_gradient_boosting,wire_area_loss_pct,regression,42,6,6.385007536079802,10.336915251353968,-0.582974701885481
leave_one_treatment_out,fold_01,NO,hist_gradient_boosting,wire_area_loss_pct,regression,38,10,5.019399999999999,8.22237323421712,-0.0043876338256740866
leave_one_treatment_out,fold_02,PA,hist_gradient_boosting,wire_area_loss_pct,regression,41,7,12.173165951804837,14.340056588553136,-0.06519730831831505
leave_one_treatment_out,fold_03,SA,hist_gradient_boosting,wire_area_loss_pct,regression,30,18,12.87048888888889,17.06690430615803,-0.23760728966197742
leave_one_treatment_out,fold_04,SA_PA,hist_gradient_boosting,wire_area_loss_pct,regression,45,3,17.240841440272938,18.182544307768634,-16.193613699765887
leave_one_treatment_out,fold_05,SA_VF,hist_gradient_boosting,wire_area_loss_pct,regression,46,2,11.463715858616357,12.462472461319516,-21.53978700758601
leave_one_treatment_out,fold_06,VF,hist_gradient_boosting,wire_area_loss_pct,regression,46,2,10.16218682731321,10.84251247393436,0.25656351040526015
leave_one_treatment_out,fold_00,MI,mlp_regressor,wire_area_loss_pct,regression,42,6,7.300422518304636,9.574742396136937,-0.35814537674834424
leave_one_treatment_out,fold_01,NO,mlp_regressor,wire_area_loss_pct,regression,38,10,10.68215802040107,12.03850515877956,-1.153040058328438
