feature,importance,importance_abs,importance_kind,direction,n_steel_mesh,split_name,repeat_id,fold_id,split_id
img_rust_area_ratio_pct_terminal,8.480166875241721,8.480166875241721,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_mean,8.395184238652313,8.395184238652313,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_slope,8.204244344773073,8.204244344773073,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_slope,7.558128865275658,7.558128865275658,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_terminal,6.754197167795247,6.754197167795247,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_slope,5.134607102498011,5.134607102498011,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_max,4.852582384775318,4.852582384775318,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_slope,4.341173368933407,4.341173368933407,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_max,3.859537829120855,3.859537829120855,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_slope,3.3923793826672197,3.3923793826672197,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_mean,3.277956140945303,3.277956140945303,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_terminal,3.1397842881349622,3.1397842881349622,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
weeks_after_onset_at_terminal,3.028634532810416,3.028634532810416,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_terminal,3.012892306196581,3.012892306196581,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_mean,2.7910765677513796,2.7910765677513796,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
visible_corrosion_onset_week,2.680669220100876,2.680669220100876,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_slope,2.6761505347814936,2.6761505347814936,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_mean,2.649785104885808,2.649785104885808,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_mean,2.4400462337687583,2.4400462337687583,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_terminal,2.1707098793485318,2.1707098793485318,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_max,2.1315343211835596,2.1315343211835596,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_max,2.117923963571504,2.117923963571504,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_mean,1.7151370483271358,1.7151370483271358,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_max,1.5770990686727442,1.5770990686727442,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_terminal,1.2585661926398144,1.2585661926398144,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_rows_post_onset,0.8615111944237589,0.8615111944237589,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_max,0.7897233607521257,0.7897233607521257,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
has_visible_corrosion_onset,0.7085984819724196,0.7085984819724196,feature_importance,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
