target,model_name,target_transform,split_id,mae,rmse,r2,spearman
ultimate_load_kn,RandomForest,none,gss_0,0.14830842195767224,0.21045963070528312,0.03603438254142377,0.6079055436800646
ultimate_load_kn,RandomForest,none,gss_1,0.1939985722703223,0.23442893627242603,0.7345076030829895,0.7538028741632801
ultimate_load_kn,RandomForest,none,gss_2,0.15753157407407334,0.18521855695728345,0.7041471433876776,0.8666666666666665
ultimate_load_kn,RandomForest,none,gss_3,0.18643053439153418,0.21586856886263728,0.6641956126886899,0.8909090909090909
ultimate_load_kn,RandomForest,none,gss_4,0.1856317270322265,0.2248430427652011,0.4204139423340322,0.772040040473682
ultimate_load_kn,GradientBoosting,none,gss_0,0.20450117091802333,0.2674535335524854,-0.5567562430022504,0.6626170426112704
ultimate_load_kn,GradientBoosting,none,gss_1,0.18034037303758702,0.22738440685480169,0.7502238237646861,0.8206724839680872
ultimate_load_kn,GradientBoosting,none,gss_2,0.16262787199782097,0.19582475481502348,0.6692940891513672,0.8085143730944859
ultimate_load_kn,GradientBoosting,none,gss_3,0.18651031362213935,0.217525954156259,0.6590193722546758,0.9030303030303028
ultimate_load_kn,GradientBoosting,none,gss_4,0.24682004665236415,0.28938199710257195,0.039931897425360185,0.7841981513472833
ultimate_load_kn,XGBoost,none,gss_0,0.21463298511505124,0.28117103535874405,-0.7205412767352508,0.6990913752320743
ultimate_load_kn,XGBoost,none,gss_1,0.2202647080421448,0.25855731562182516,0.6770440315866468,0.8267515394048879
ultimate_load_kn,XGBoost,none,gss_2,0.15214404296874998,0.1750549142667626,0.7357254216345543,0.8545454545454544
ultimate_load_kn,XGBoost,none,gss_3,0.18851364231109616,0.21888514826657568,0.6547448772299229,0.9030303030303028
ultimate_load_kn,XGBoost,none,gss_4,0.19130008220672606,0.23698331182820506,0.356135395986652,0.8170883606475996
ultimate_load_kn,CatBoost,none,gss_0,0.20125000001674734,0.2581941708689182,-0.45083091842451606,0.6504589317376691
ultimate_load_kn,CatBoost,none,gss_1,0.16782632763053457,0.21734485833013886,0.7717932973789946,0.8024353176576853
ultimate_load_kn,CatBoost,none,gss_2,0.16002230616823127,0.1780517667322064,0.7265994718991682,0.8693049274624923
ultimate_load_kn,CatBoost,none,gss_3,0.21245068217096202,0.2383191167138949,0.590715495598505,0.8666666666666665
ultimate_load_kn,CatBoost,none,gss_4,0.266201550607063,0.3304313432755111,-0.25176122234289067,0.7841981513472833
