specimen_id,best_family,threshold_wire_area_loss_frac,last_observed_day,last_observed_predicted_wire_area_loss_frac,estimated_crossing_day,proxy_rul_days,right_censored,threshold_reached_by_baseline,threshold_reached_by_last_observation,threshold_crossed_during_observation,future_crossing_within_horizon,threshold_status,projection_horizon_days
G01,linear,0.3,252.0,0.109421341805539,,,True,False,False,False,False,not_crossed_within_horizon,365
G01,linear,0.4,252.0,0.109421341805539,,,True,False,False,False,False,not_crossed_within_horizon,365
G02,linear,0.2,252.0,0.1177052073092089,,,True,False,False,False,False,not_crossed_within_horizon,365
G02,linear,0.3,252.0,0.1177052073092089,,,True,False,False,False,False,not_crossed_within_horizon,365
G02,linear,0.4,252.0,0.1177052073092089,,,True,False,False,False,False,not_crossed_within_horizon,365
G03,linear,0.2,252.0,0.0635931073793235,,,True,False,False,False,False,not_crossed_within_horizon,365
G03,linear,0.3,252.0,0.0635931073793235,,,True,False,False,False,False,not_crossed_within_horizon,365
G03,linear,0.4,252.0,0.0635931073793235,,,True,False,False,False,False,not_crossed_within_horizon,365
G04,monotone_isotonic,0.2,252.0,0.2541350708166613,0.0,,False,True,True,False,False,crossed_by_baseline,365
G04,monotone_isotonic,0.3,252.0,0.2541350708166613,,,True,False,False,False,False,not_crossed_within_horizon,365
G04,monotone_isotonic,0.4,252.0,0.2541350708166613,,,True,False,False,False,False,not_crossed_within_horizon,365
G05,monotone_isotonic,0.2,252.0,0.2146109847844021,0.0,,False,True,True,False,False,crossed_by_baseline,365
G05,monotone_isotonic,0.3,252.0,0.2146109847844021,,,True,False,False,False,False,not_crossed_within_horizon,365
G05,monotone_isotonic,0.4,252.0,0.2146109847844021,,,True,False,False,False,False,not_crossed_within_horizon,365
G06,monotone_isotonic,0.2,252.0,0.3195056545798729,0.0,,False,True,True,False,False,crossed_by_baseline,365
G06,monotone_isotonic,0.3,252.0,0.3195056545798729,0.0,,False,True,True,False,False,crossed_by_baseline,365
G06,monotone_isotonic,0.4,252.0,0.3195056545798729,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI01,linear,0.2,196.0,0.2091933511264291,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI01,linear,0.3,196.0,0.2091933511264291,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI01,linear,0.4,196.0,0.2091933511264291,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI02,linear,0.2,196.0,0.2066374854231178,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI02,linear,0.3,196.0,0.2066374854231178,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI02,linear,0.4,196.0,0.2066374854231178,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI03,linear,0.2,196.0,0.205329358670857,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI03,linear,0.3,196.0,0.205329358670857,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI03,linear,0.4,196.0,0.205329358670857,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI04,linear,0.2,196.0,0.2230722662056834,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI04,linear,0.3,196.0,0.2230722662056834,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI04,linear,0.4,196.0,0.2230722662056834,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI05,linear,0.2,196.0,0.3226124522334102,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI05,linear,0.3,196.0,0.3226124522334102,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI05,linear,0.4,196.0,0.3226124522334102,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI06,linear,0.2,196.0,0.2063960927624326,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI06,linear,0.3,196.0,0.2063960927624326,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI06,linear,0.4,196.0,0.2063960927624326,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI07,linear,0.2,196.0,0.2410652307729145,0.0,,False,True,True,False,False,crossed_by_baseline,365
S1MI07,linear,0.3,196.0,0.2410652307729145,,,True,False,False,False,False,not_crossed_within_horizon,365
S1MI07,linear,0.4,196.0,0.2410652307729145,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA01,linear,0.2,196.0,0.24220111981964,0.0,,False,True,True,False,False,crossed_by_baseline,365
S2SA01,linear,0.3,196.0,0.24220111981964,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA01,linear,0.4,196.0,0.24220111981964,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA02,linear,0.2,196.0,0.1263568648145832,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA02,linear,0.3,196.0,0.1263568648145832,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA02,linear,0.4,196.0,0.1263568648145832,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA03,linear,0.2,196.0,0.1403378538433743,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA03,linear,0.3,196.0,0.1403378538433743,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA03,linear,0.4,196.0,0.1403378538433743,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA04,linear,0.2,196.0,0.1977385396857111,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA04,linear,0.3,196.0,0.1977385396857111,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA04,linear,0.4,196.0,0.1977385396857111,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA05,linear,0.2,196.0,0.2060620625293954,0.0,,False,True,True,False,False,crossed_by_baseline,365
S2SA05,linear,0.3,196.0,0.2060620625293954,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA05,linear,0.4,196.0,0.2060620625293954,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA06,linear,0.2,196.0,0.1516879578718363,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA06,linear,0.3,196.0,0.1516879578718363,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA06,linear,0.4,196.0,0.1516879578718363,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA07,linear,0.2,196.0,0.2222713629927057,0.0,,False,True,True,False,False,crossed_by_baseline,365
S2SA07,linear,0.3,196.0,0.2222713629927057,,,True,False,False,False,False,not_crossed_within_horizon,365
S2SA07,linear,0.4,196.0,0.2222713629927057,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA01,linear,0.2,196.0,0.0842193658922195,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA01,linear,0.3,196.0,0.0842193658922195,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA01,linear,0.4,196.0,0.0842193658922195,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA02,linear,0.2,196.0,0.0969811415330979,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA02,linear,0.3,196.0,0.0969811415330979,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA02,linear,0.4,196.0,0.0969811415330979,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA03,linear,0.2,196.0,0.0907876282219159,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA03,linear,0.3,196.0,0.0907876282219159,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA03,linear,0.4,196.0,0.0907876282219159,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA04,linear,0.2,196.0,0.0643716086752332,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA04,linear,0.3,196.0,0.0643716086752332,,,True,False,False,False,False,not_crossed_within_horizon,365
S3PA04,linear,0.4,196.0,0.0643716086752332,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF01,linear,0.2,196.0,0.2034402764272321,0.0,,False,True,True,False,False,crossed_by_baseline,365
S4SAVF01,linear,0.3,196.0,0.2034402764272321,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF01,linear,0.4,196.0,0.2034402764272321,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF02,linear,0.2,196.0,0.1308943473596451,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF02,linear,0.3,196.0,0.1308943473596451,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF02,linear,0.4,196.0,0.1308943473596451,,,True,False,False,False,False,not_crossed_within_horizon,365
