variable,label,count,mean,std,min,q25,median,q75,p95,p99,max
surface_total_rust_pct,Surface total rust (%),791,2.852486725663717,6.139871439260467,0.0,0.051,0.345,3.165,12.974499999999999,34.079100000000004,53.412
peak_rust_pct,Peak rust (%),791,6.529212389380531,11.204721807690936,0.0,0.1935,1.008,9.7455,27.495,57.307900000000004,80.172
peak_rust_location_cm,Peak rust location (cm),791,8.962111251580277,7.38713964395237,1.51,1.51,6.5,16.49,21.49,21.49,21.49
wire_area_loss_frac,Wire area loss (fraction),48,0.22232833333333332,0.13962937896267943,0.0,0.141325,0.21045,0.269775,0.47502999999999995,0.5416470000000001,0.5698
ultimate_load_kn,Ultimate load (kN),48,2.18,0.3831060072172682,1.6,1.87,2.25,2.4225,2.8225,2.8606000000000003,2.87
img_rust_area_ratio_pct,Image rust area ratio (%),791,2.8524907758582714,6.13987355138617,0.0,0.05120065120065115,0.3449192782526116,3.1648080314746982,12.974358974358974,34.07929995929996,53.411531678198344
img_strip_rust_max_pct,Image peak strip rust (%),791,9.583452881242213,14.226593317563207,0.0,0.4634941329856584,2.2320730117340286,13.982398956975228,39.53715775749674,63.429856584093876,84.30378096479791
img_strip_peak_location_cm,Image peak strip location (cm),791,9.535410939203606,8.166439523029354,0.4994708994708994,1.748148148148148,6.493121693121693,16.98201058201058,23.475132275132275,23.475132275132275,23.475132275132275
img_brightness_mean,Brightness mean,791,198.5900363871723,32.21336571873907,99.66708234974902,176.55245719712383,196.9064827024827,225.045092660426,252.3688088454755,254.9668954008954,254.9999945733279
img_rust_blob_count,Rust blob count,791,378.378002528445,574.2466302698332,0.0,28.0,165.0,486.0,1503.0,2839.8000000000025,4533.0
img_edge_to_center_rust_ratio,Edge/center rust ratio,791,6068.914383457145,86211.94313550764,2.1408522247887164e-05,0.7674603089520468,1.248431213809465,2.8748371770595726,69.5716939240917,114364.32029552381,2030965.7979139504
predicted_wire_area_loss_frac,Predicted hidden damage (fraction),791,0.21860944952232195,0.10316276048859631,0.0446464434083968,0.1403378538433743,0.2124306402430568,0.2557548770681015,0.4093145716423696,0.4614326919216795,0.4871428519690592
