family,n_success,rmse_mean,rmse_median,rmse_max,criterion_mean
monotone_isotonic,48,2.5309556968570864e-17,2.5081299817253277e-17,8.326672684688674e-17,-437.5774687674179
gompertz,27,1.5993809130628684e-10,1.2357659542730427e-10,5.5094730185644e-10,-414.5220840070437
logistic,48,0.00207489216942877,3.874501058734633e-10,0.0070571188175902,-315.35480961301647
linear,48,0.0020814333023494065,8.366894614562715e-17,0.0070757876006362,-318.1075198177654
log_time,48,0.002411339957840413,7.237681650870151e-17,0.008184658980489,-315.7957485241269
