split_name,repeat_id,fold_id,split_id,fraction,n_train_specimens,n_train_rows,train_mae,test_mae,train_rmse,test_rmse,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.2,8,132,0.0025920393229886818,0.3413459775940876,0.00278651664649127,0.36959685252940233,1.0,0.8145934285312865
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.4,15,249,0.003826760159652546,0.26469175432605413,0.004792301370978011,0.29776946592226705,1.0,0.6626170426112704
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.6,23,378,0.011216698744244734,0.2660034157382058,0.013504847645307676,0.31853619612677253,0.9995058067402659,0.705170430668875
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.8,30,491,0.013653775815792975,0.2747492827555128,0.016835218161609794,0.3281248974507398,0.9977744144549768,0.5835893219328621
grouped_cv,0,0,grouped_cv_repeat0_fold0,1.0,38,626,0.013217528173107354,0.27246945870200195,0.017911906845952848,0.3241084350964705,0.9975919977419936,0.6443798763008685
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.2,8,132,0.0015117682518332731,0.15803308113682202,0.00177634990105629,0.1848543401308857,1.0,0.8510677611520904
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.4,15,246,0.006756979972357128,0.1704298190332451,0.008147310548677946,0.20841209761024015,1.0,0.7659609850368815
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.6,23,378,0.013833587698708986,0.12855922529721356,0.016555497727116203,0.17415469914690893,0.9992586184573365,0.8693049274624923
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.8,30,497,0.01609791132478219,0.14170981985535838,0.02092224692080488,0.17525742210864828,0.9968841406075933,0.790277206784084
grouped_cv,0,1,grouped_cv_repeat0_fold1,1.0,38,626,0.02196885139090214,0.10400463084332054,0.027439526664756672,0.14160158929314545,0.9966068838535057,0.9057792600832962
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.2,8,135,0.0038005452930300054,0.2653067974151184,0.004168252239377976,0.31424728331608875,1.0,0.7333333333333332
