target,model_name,split_id,mae,rmse,r2,spearman
surface_total_rust_pct,RandomForest,gss_0,0.07715131219318071,0.28969191379845977,0.9969882102496358,0.9998477144648404
surface_total_rust_pct,RandomForest,gss_1,0.015609757007499966,0.03776065401073562,0.9997085901586084,0.9998319836029869
surface_total_rust_pct,RandomForest,gss_2,1.0474705316993227,4.302216808092794,0.8379589499764819,0.9995945871990941
surface_total_rust_pct,RandomForest,gss_3,0.0701038266728625,0.34206101362844005,0.9931827821662254,0.9992323307838165
surface_total_rust_pct,RandomForest,gss_4,0.10158608166562931,0.4252412893565025,0.9939921522206331,0.999645399082633
surface_total_rust_pct,GradientBoosting,gss_0,0.06049633672601882,0.27008742330908136,0.9973820543356345,0.9997074119766911
surface_total_rust_pct,GradientBoosting,gss_1,0.014297649491982064,0.04207799398508697,0.9996381444369877,0.9995969981957298
surface_total_rust_pct,GradientBoosting,gss_2,0.6818484555739186,3.095287945995428,0.9161230603557674,0.9986808971285511
surface_total_rust_pct,GradientBoosting,gss_3,0.05158951827606009,0.315766852252078,0.9941905757875641,0.9962656739530863
surface_total_rust_pct,GradientBoosting,gss_4,0.07849626117048099,0.3815268431706579,0.9951638666650453,0.9994993775408444
surface_total_rust_pct,XGBoost,gss_0,0.06417731669746667,0.19963236128110592,0.9985697439528487,0.9991647768075177
surface_total_rust_pct,XGBoost,gss_1,0.028787660133602355,0.07357677942341306,0.9988936138067236,0.9993909110209747
surface_total_rust_pct,XGBoost,gss_2,0.9009969962372237,3.668914437386382,0.8821537870393868,0.9981060633986666
surface_total_rust_pct,XGBoost,gss_3,0.07181608845859654,0.2434890848852215,0.9965457082951001,0.9977318126011486
surface_total_rust_pct,XGBoost,gss_4,0.10815799172446244,0.2864202640234049,0.9972744412402081,0.9982557093715809
surface_total_rust_pct,CatBoost,gss_0,0.2783613374460989,0.5049642685406228,0.9908489020904442,0.9780080030905698
surface_total_rust_pct,CatBoost,gss_1,0.14021588691340872,0.23164489801819296,0.9890334334648044,0.9572224740360337
surface_total_rust_pct,CatBoost,gss_2,1.3791584214679629,5.041272636250999,0.7775047039801157,0.98263327751226
surface_total_rust_pct,CatBoost,gss_3,0.21586982002322191,0.4099912144316646,0.9902062477023792,0.974769045188473
surface_total_rust_pct,CatBoost,gss_4,0.3196183254606707,0.8795309640770667,0.9742989814637781,0.9798494468981345
