split_name,repeat_id,fold_id,split_id,fraction,n_train_specimens,n_train_rows,train_mae,test_mae,train_rmse,test_rmse,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.2,8,132,0.0028938186837083046,0.3462132155651141,0.004167249943212461,0.3759756547455996,1.0,0.8389096502784892
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.4,15,249,0.00464521366762094,0.2949068939433078,0.005606704535499552,0.33380996981807737,1.0,0.8024353176576853
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.6,23,378,0.013132527489294504,0.28137035858087683,0.01639805259139928,0.33292444944185867,0.9995058067402659,0.6930123197952737
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.8,30,491,0.010551024385909432,0.28274629200576673,0.013942987584790576,0.3361573327152577,0.9988872567642062,0.6322217654272672
grouped_cv,0,0,grouped_cv_repeat0_fold0,1.0,38,626,0.013212077329668278,0.27906063104088147,0.017129482806009712,0.3310825768023643,0.998139283235598,0.6383008208640678
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.2,8,132,0.0019007247123205007,0.16969914275449643,0.002157036692266319,0.18797699701693382,1.0,0.8997002046464956
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.4,15,246,0.006564888949582359,0.17505113295097235,0.007912308697600077,0.22225036670953557,1.0,0.6930123197952737
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.6,23,378,0.01579364690898483,0.134942297292509,0.018784662359561072,0.17886977870674303,0.9992586184573365,0.8693049274624923
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.8,30,497,0.012159194148176825,0.1298983845998357,0.01675947539629586,0.16866022983777315,0.9986646883023602,0.8632258720256917
grouped_cv,0,1,grouped_cv_repeat0_fold1,1.0,38,626,0.020208476189259427,0.11705079300445312,0.026572365270685412,0.1541397454043981,0.9962785125573431,0.8753839828992931
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.2,8,135,0.0034006903410798983,0.2790629382389313,0.0038886991270237438,0.3401029644564602,1.0,0.6606060606060605
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.4,15,240,0.011194456228211995,0.24409662240402374,0.013287366045505981,0.3057447488763625,0.9946348652168627,0.9030303030303028
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.6,23,378,0.009198440325366633,0.2075316015323007,0.01131058435412071,0.2246503404497938,0.997528545005864,0.9393939393939393
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.8,30,489,0.01729253841513278,0.22829147133403538,0.02106679927329867,0.2596854838318912,0.9937681821417513,0.8060606060606059
grouped_cv,0,2,grouped_cv_repeat0_fold2,1.0,38,627,0.01907809910138221,0.23013302014714587,0.02341166638951774,0.26997935594840605,0.9936515421880422,0.8424242424242423
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.2,8,131,0.002489098535930989,0.1959919707812406,0.002940355842156428,0.241794285123532,1.0,0.6666666666666667
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.4,16,261,0.006622492380286393,0.13740599237435905,0.007819024220004122,0.15918773575580256,0.997791679306917,0.8666666666666667
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.6,23,374,0.009953985239363894,0.16358537862610698,0.013020535833649764,0.18878915292423676,0.9987645474167707,0.9166666666666666
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.8,31,506,0.019453577752735974,0.11607833080804945,0.02461866103209378,0.14622224444544346,0.9926375442697125,0.8666666666666667
grouped_cv,0,3,grouped_cv_repeat0_fold3,1.0,39,641,0.021150550454218233,0.0955385860337034,0.027268145588810987,0.1144604546023196,0.9957477426006475,0.8666666666666667
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.2,8,135,0.003897059818015358,0.20956799234583368,0.0050037819607244615,0.25119117958180287,1.0,0.6945667492672501
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.4,16,261,0.00796918713770528,0.23205250816351145,0.009494799886144257,0.25707442936854685,0.9970588235294118,0.6610936529170212
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.6,23,381,0.010426325795839502,0.2475193382296729,0.012868416576005513,0.2790494930250899,0.9987645474167707,0.6778302010921357
grouped_cv,0,4,grouped_cv_repeat0_fold4,0.8,31,512,0.007859447562803015,0.2565245664336997,0.009715527938714474,0.2839544164234948,0.9991933043693157,0.6778302010921357
grouped_cv,0,4,grouped_cv_repeat0_fold4,1.0,39,644,0.016721262382306694,0.20691055218708596,0.022367940463332563,0.23985128860634794,0.9948365347019787,0.6778302010921357
