specimen_id,ageing_days,raw_predicted_wire_area_loss_frac,monotone_proxy_wire_area_loss_frac
D01,0.0,0.24789297497431165,0.24789297497431165
D01,14.0,0.24789297497431165,0.24789297497431165
D01,28.0,0.24789297497431165,0.24789297497431165
D01,42.0,0.24789297497431165,0.24789297497431165
D01,56.0,0.24789297497431165,0.24789297497431165
D01,70.0,0.24789297497431165,0.24789297497431165
D01,84.0,0.24789297497431165,0.24789297497431165
D01,98.0,0.24789297497431165,0.24789297497431165
D01,119.0,0.24789297497431165,0.24789297497431165
D01,133.0,0.24789297497431165,0.24789297497431165
D01,140.0,0.24789297497431165,0.24789297497431165
D01,161.0,0.24789297497431165,0.24789297497431165
D01,168.0,0.24789297497431165,0.24789297497431165
D01,182.0,0.24789297497431165,0.24789297497431165
D01,196.0,0.24789297497431165,0.24789297497431165
D01,210.0,0.24789297497431165,0.24789297497431165
D01,231.0,0.25576617658911927,0.25576617658911927
D01,252.0,0.25576617658911927,0.25576617658911927
D02,0.0,0.2634115719405007,0.2634115719405007
D02,14.0,0.2634115719405007,0.2634115719405007
D02,28.0,0.2634115719405007,0.2634115719405007
D02,42.0,0.2634115719405007,0.2634115719405007
D02,56.0,0.2634115719405007,0.2634115719405007
D02,70.0,0.2634115719405007,0.2634115719405007
D02,84.0,0.2634115719405007,0.2634115719405007
D02,98.0,0.2634115719405007,0.2634115719405007
D02,119.0,0.2634115719405007,0.2634115719405007
D02,133.0,0.2634115719405007,0.2634115719405007
D02,140.0,0.2634115719405007,0.2634115719405007
D02,161.0,0.2634115719405007,0.2634115719405007
D02,168.0,0.2634115719405007,0.2634115719405007
D02,182.0,0.2634115719405007,0.2634115719405007
D02,196.0,0.2634115719405007,0.2634115719405007
D02,210.0,0.2634115719405007,0.2634115719405007
D02,231.0,0.27578751269329427,0.27578751269329427
D02,252.0,0.27578751269329427,0.27578751269329427
D03,0.0,0.21243064024305688,0.21243064024305688
D03,14.0,0.21243064024305688,0.21243064024305688
D03,28.0,0.21243064024305688,0.21243064024305688
D03,42.0,0.21243064024305688,0.21243064024305688
D03,56.0,0.21243064024305688,0.21243064024305688
D03,70.0,0.21243064024305688,0.21243064024305688
D03,84.0,0.21243064024305688,0.21243064024305688
D03,98.0,0.21243064024305688,0.21243064024305688
D03,119.0,0.21243064024305688,0.21243064024305688
D03,133.0,0.21243064024305688,0.21243064024305688
D03,140.0,0.21243064024305688,0.21243064024305688
D03,161.0,0.21243064024305688,0.21243064024305688
D03,168.0,0.21243064024305688,0.21243064024305688
D03,182.0,0.21243064024305688,0.21243064024305688
D03,196.0,0.21243064024305688,0.21243064024305688
D03,210.0,0.21243064024305688,0.21243064024305688
D03,231.0,0.22401361643463089,0.22401361643463089
D03,252.0,0.22401361643463089,0.22401361643463089
D04,0.0,0.18637865124992323,0.18637865124992323
D04,14.0,0.18637865124992323,0.18637865124992323
D04,28.0,0.18637865124992323,0.18637865124992323
D04,42.0,0.18637865124992323,0.18637865124992323
D04,56.0,0.18637865124992323,0.18637865124992323
D04,70.0,0.18637865124992323,0.18637865124992323
D04,84.0,0.18637865124992323,0.18637865124992323
D04,98.0,0.18637865124992323,0.18637865124992323
D04,119.0,0.18637865124992323,0.18637865124992323
D04,133.0,0.18637865124992323,0.18637865124992323
D04,140.0,0.18637865124992323,0.18637865124992323
D04,161.0,0.18637865124992323,0.18637865124992323
D04,168.0,0.18637865124992323,0.18637865124992323
D04,182.0,0.18637865124992323,0.18637865124992323
D04,196.0,0.18637865124992323,0.18637865124992323
D04,210.0,0.18637865124992323,0.18637865124992323
D04,231.0,0.20736733946214617,0.20736733946214617
D04,252.0,0.20736733946214617,0.20736733946214617
D05,0.0,0.2303124499005001,0.2303124499005001
D05,14.0,0.2303124499005001,0.2303124499005001
D05,28.0,0.2303124499005001,0.2303124499005001
D05,42.0,0.2303124499005001,0.2303124499005001
D05,56.0,0.2303124499005001,0.2303124499005001
