specimen_id,best_family,criterion,best_model_name,hidden_damage_feature_set_name,hidden_damage_target_transform,last_observed_day,last_observed_predicted_wire_area_loss_frac,params
E05,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.28451030041516223,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.26330759334232656, 0.28451030041516223, 0.28451030041516223]}"
E06,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.057292416492715714,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.054129822791957376, 0.05412982279195738, 0.05412982279195738, 0.05412982279195738, 0.057292416492715714, 0.057292416492715714]}"
F01,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.24187686200950861,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.21674876061411208, 0.24187686200950861, 0.24187686200950861]}"
F02,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.43379957239838174,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.4086714710029852, 0.40867147100298523, 0.40867147100298523, 0.43379957239838174, 0.43379957239838174]}"
F03,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.38703278347750764,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.3619046820821111, 0.36190468208211113, 0.38703278347750764, 0.38703278347750764]}"
F04,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.22751208511909624,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.20503340563318062, 0.22751208511909624, 0.22751208511909624]}"
F05,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.2447294901455693,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818966, 0.2447294901455693, 0.2447294901455693]}"
F06,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.4871428519690592,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.46143269192167957, 0.4871428519690592, 0.4871428519690592]}"
G01,linear,-490.60442658805664,CatBoost,,none,252.0,0.109421341805539,"{""coeffs"": [-1.3828757822405618e-19, 0.10942134180553903]}"
G02,linear,-490.60442658805664,CatBoost,,none,252.0,0.1177052073092089,"{""coeffs"": [-1.9665927003659518e-19, 0.11770520730920893]}"
G03,linear,-490.60442658805664,CatBoost,,none,252.0,0.06359310737932353,"{""coeffs"": [-3.3654035535992007e-20, 0.06359310737932354]}"
G04,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.2541350708166613,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.2541350708166613, 0.2541350708166613]}"
G05,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.21461098478440213,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259788, 0.21461098478440213, 0.21461098478440213]}"
G06,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.3195056545798729,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.3195056545798729, 0.3195056545798729]}"
S1MI01,linear,-408.08113851966027,CatBoost,,none,196.0,0.2091933511264291,"{""coeffs"": [3.7615524216079886e-19, 0.2091933511264291]}"
S1MI02,linear,-408.08113851966027,CatBoost,,none,196.0,0.2066374854231178,"{""coeffs"": [6.365889182180376e-19, 0.20663748542311774]}"
S1MI03,linear,-408.08113851966027,CatBoost,,none,196.0,0.20532935867085705,"{""coeffs"": [9.92849141641114e-19, 0.20532935867085694]}"
S1MI04,linear,-408.08113851966027,CatBoost,,none,196.0,0.22307226620568343,"{""coeffs"": [1.1189967757198226e-18, 0.22307226620568335]}"
S1MI05,linear,-408.08113851966027,CatBoost,,none,196.0,0.32261245223341023,"{""coeffs"": [1.3925347230696878e-18, 0.32261245223341006]}"
S1MI06,linear,-408.08113851966027,CatBoost,,none,196.0,0.20639609276243268,"{""coeffs"": [8.05019210151873e-19, 0.20639609276243262]}"
S1MI07,linear,-408.08113851966027,CatBoost,,none,196.0,0.24106523077291453,"{""coeffs"": [1.0480799950301458e-18, 0.24106523077291445]}"
S2SA01,linear,-408.08113851966027,CatBoost,,none,196.0,0.24220111981964002,"{""coeffs"": [1.5463570899528296e-18, 0.2422011198196399]}"
S2SA02,linear,-408.08113851966027,CatBoost,,none,196.0,0.1263568648145832,"{""coeffs"": [1.9788059122551e-19, 0.12635686481458316]}"
S2SA03,linear,-408.08113851966027,CatBoost,,none,196.0,0.14033785384337438,"{""coeffs"": [7.827814476227908e-19, 0.14033785384337433]}"
S2SA04,linear,-408.08113851966027,CatBoost,,none,196.0,0.19773853968571117,"{""coeffs"": [6.893564493422449e-19, 0.1977385396857111]}"
S2SA05,linear,-408.08113851966027,CatBoost,,none,196.0,0.20606206252939546,"{""coeffs"": [1.2353069059866478e-18, 0.20606206252939538]}"
S2SA06,linear,-408.08113851966027,CatBoost,,none,196.0,0.15168795787183634,"{""coeffs"": [8.274498948550517e-19, 0.1516879578718363]}"
S2SA07,linear,-408.08113851966027,CatBoost,,none,196.0,0.2222713629927057,"{""coeffs"": [9.259479792673351e-19, 0.22227136299270564]}"
S3PA01,linear,-408.08113851966027,CatBoost,,none,196.0,0.08421936589221951,"{""coeffs"": [2.3810310004035547e-19, 0.08421936589221951]}"
S3PA02,linear,-408.08113851966027,CatBoost,,none,196.0,0.09698114153309798,"{""coeffs"": [4.232460768709203e-19, 0.09698114153309796]}"
S3PA03,linear,-408.08113851966027,CatBoost,,none,196.0,0.09078762822191594,"{""coeffs"": [3.1094071834877263e-19, 0.09078762822191591]}"
S3PA04,linear,-408.08113851966027,CatBoost,,none,196.0,0.0643716086752332,"{""coeffs"": [3.6751360536236116e-19, 0.06437160867523319]}"
S4SAVF01,linear,-408.08113851966027,CatBoost,,none,196.0,0.20344027642723217,"{""coeffs"": [8.694801662958565e-19, 0.2034402764272321]}"
S4SAVF02,linear,-408.08113851966027,CatBoost,,none,196.0,0.13089434735964517,"{""coeffs"": [6.001260868959867e-19, 0.13089434735964514]}"
S4SAVF03,linear,-408.08113851966027,CatBoost,,none,196.0,0.06697909451750289,"{""coeffs"": [4.094274583171947e-19, 0.06697909451750288]}"
S5VF01,linear,-408.08113851966027,CatBoost,,none,196.0,0.04464644340839685,"{""coeffs"": [2.3604259465460495e-19, 0.044646443408396824]}"
S5VF02,linear,-408.08113851966027,CatBoost,,none,196.0,0.4357615119423487,"{""coeffs"": [2.050964176113418e-18, 0.4357615119423486]}"
S5VF03,linear,-408.08113851966027,CatBoost,,none,196.0,0.250971667637326,"{""coeffs"": [1.1413235503062594e-18, 0.25097166763732587]}"
