specimen_id,best_family,criterion,best_model_name,hidden_damage_feature_set_name,hidden_damage_target_transform,last_observed_day,last_observed_predicted_wire_area_loss_frac,params
D01,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.25576617658911927,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.25576617658911927, 0.25576617658911927]}"
D02,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.27578751269329427,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.27578751269329427, 0.27578751269329427]}"
D03,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.22401361643463089,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305688, 0.22401361643463089, 0.22401361643463089]}"
D04,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.20736733946214617,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.20736733946214617, 0.20736733946214617]}"
D05,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.2417746879339206,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.2303124499005001, 0.2303124499005001, 0.2303124499005001, 0.2303124499005001, 0.2417746879339206, 0.2417746879339206]}"
D06,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.22214575259422348,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.2105627764026495, 0.2105627764026495, 0.22214575259422348, 0.22214575259422348]}"
E01,monotone_isotonic,-451.7563858711689,CatBoost,,none,252.0,0.4330490506280732,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.406322279548833, 0.406322279548833, 0.406322279548833, 0.4330490506280732, 0.4330490506280732]}"
E02,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.276987119726002,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.276987119726002, 0.276987119726002]}"
E03,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.3186420126154809,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.2942443029493413, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.29424430294934134, 0.3186420126154809, 0.3186420126154809]}"
E04,monotone_isotonic,-479.042939556472,CatBoost,,none,252.0,0.43604134272160977,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.40931457164236956, 0.4093145716423696, 0.4093145716423696, 0.4093145716423696, 0.43604134272160977, 0.43604134272160977]}"
