split_id,feature_name,importance
gss_0,ageing_days,0.2299362053116469
gss_0,campaign_id,0.5350497161859736
gss_0,cover_mm,0.11588489586624126
gss_0,series_id,0.025191046422499766
gss_0,split_group_treatment,0.03203399062719063
gss_0,treatment_coarse,0.016189514016774296
gss_0,treatment_label_coarse,0.026693988723103454
gss_0,treatment_protocol,0.019020642846570082
gss_1,ageing_days,0.2035546550033208
gss_1,campaign_id,0.5327494815221727
gss_1,cover_mm,0.16320245755469362
gss_1,series_id,0.028536336211246432
gss_1,split_group_treatment,0.02450206325650376
gss_1,treatment_coarse,0.012687518095664159
gss_1,treatment_label_coarse,0.02379146496131289
gss_1,treatment_protocol,0.010976023395085736
gss_2,ageing_days,0.23272179860739653
gss_2,campaign_id,0.5726694815639085
gss_2,cover_mm,0.09982685405260472
gss_2,series_id,0.020593079169340806
gss_2,split_group_treatment,0.023065475330887604
gss_2,treatment_coarse,0.011383223353949607
gss_2,treatment_label_coarse,0.024777860489449865
gss_2,treatment_protocol,0.014962227432462104
gss_3,ageing_days,0.2136521662760506
gss_3,campaign_id,0.5533551131728088
gss_3,cover_mm,0.11169570592848799
gss_3,series_id,0.032492541729138236
gss_3,split_group_treatment,0.03224206770065517
gss_3,treatment_coarse,0.014934954172164266
gss_3,treatment_label_coarse,0.023917490683817457
gss_3,treatment_protocol,0.017709960336877266
gss_4,ageing_days,0.22382295287112677
gss_4,campaign_id,0.4921026181012951
gss_4,cover_mm,0.13193104203162478
gss_4,series_id,0.03166118914690426
gss_4,split_group_treatment,0.04198402208081457
gss_4,treatment_coarse,0.021892607158356295
gss_4,treatment_label_coarse,0.038562681562140454
gss_4,treatment_protocol,0.018042887047737856
