split_id,train_rows,test_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
gss_0,38,10,38,10,0.10288022470950106,0.14830842195767197,0.13771583710619228,0.2104596307052833,0.882827145468927,0.036034382541421994,0.9497017827966064,0.6079055436800646
gss_1,38,10,38,10,0.10028507028303077,0.19399857227032247,0.1428068657221203,0.2344289362724262,0.8279703867904955,0.7345076030829891,0.8979749081996604,0.7538028741632801
gss_2,38,10,38,10,0.11258509502923977,0.15753157407407414,0.15261385674559885,0.18521855695728404,0.8455056294811645,0.7041471433876758,0.9154991737013423,0.8666666666666665
gss_3,38,10,38,10,0.10820752610693404,0.18643053439153437,0.1392590511769459,0.21586856886263756,0.86574966820326,0.6641956126886892,0.9260070551785458,0.8909090909090909
gss_4,38,10,38,10,0.10620699862028814,0.18563172703222708,0.13964688191001295,0.22484304276520153,0.8695810710187748,0.42041394233402984,0.9384270843609158,0.772040040473682
