target,best_model_name,feature_set_name,target_transform,n_features,robustness_score,group_shuffle_mae_mean,leave_one_treatment_out_mae_mean,leave_one_campaign_out_mae_mean,group_shuffle_spearman_mean
wire_area_loss_frac,CatBoost,metadata_only,none,8,5.45,0.1237974838495921,0.1160631468993481,0.1208280557686843,0.2887911081296786
ultimate_load_kn,RandomForest,metadata_only,none,8,2.65,0.1743801659451657,0.2034040248033369,0.5642465512014999,0.7782648431785568
