target,model_name,target_transform,split_id,mae,rmse,r2,spearman
wire_area_loss_frac,RandomForest,none,gss_0,0.054464878423280495,0.07230744209566367,-0.44489073928807343,0.33333333333333326
wire_area_loss_frac,RandomForest,none,gss_1,0.09237978379148626,0.1310927170766926,-1.1195468785821103,-0.0303030303030303
wire_area_loss_frac,RandomForest,none,gss_2,0.08202102129677728,0.1014046094871506,-0.09214407783001355,0.406060606060606
wire_area_loss_frac,RandomForest,none,gss_3,0.1412720968037518,0.17344533424567174,-0.35850663834384733,0.06666666666666665
wire_area_loss_frac,RandomForest,none,gss_4,0.12851104317989423,0.1581000724669125,-0.203619955782399,-0.0303030303030303
wire_area_loss_frac,GradientBoosting,none,gss_0,0.06562856955185169,0.08593927912079254,-1.0410442644222115,-0.13939393939393938
wire_area_loss_frac,GradientBoosting,none,gss_1,0.08611343202852716,0.12124001700322223,-0.8129168011980807,0.10303030303030303
wire_area_loss_frac,GradientBoosting,none,gss_2,0.0763896280274942,0.1038200429618376,-0.14479295953561144,0.3939393939393939
wire_area_loss_frac,GradientBoosting,none,gss_3,0.15046672126062796,0.20507625503250612,-0.8991850273614146,-0.11515151515151514
wire_area_loss_frac,GradientBoosting,none,gss_4,0.12992541690321194,0.1623796582701202,-0.26966307044632587,-0.24848484848484845
wire_area_loss_frac,XGBoost,none,gss_0,0.06927195503950119,0.08480516625301739,-0.9875297150351381,0.32121212121212117
wire_area_loss_frac,XGBoost,none,gss_1,0.08082335767412185,0.1186417577613278,-0.7360452525119134,-0.11515151515151514
wire_area_loss_frac,XGBoost,none,gss_2,0.08233421448469162,0.10239212505742264,-0.11351905769219828,0.22424242424242422
wire_area_loss_frac,XGBoost,none,gss_3,0.1475225780320168,0.19817626110413084,-0.773535078502845,-0.01818181818181818
wire_area_loss_frac,XGBoost,none,gss_4,0.135856460082531,0.17373229797304363,-0.4534040630308187,-0.22424242424242422
wire_area_loss_frac,CatBoost,none,gss_0,0.06955642365904868,0.08368240139594164,-0.9352509064110202,0.33333333333333326
wire_area_loss_frac,CatBoost,none,gss_1,0.09072583523172144,0.13136929684039175,-1.1284999645529359,0.01818181818181818
wire_area_loss_frac,CatBoost,none,gss_2,0.07876615329422772,0.09706680097171724,-0.0007047816934777629,0.1515151515151515
wire_area_loss_frac,CatBoost,none,gss_3,0.11074338534403867,0.14936473682604903,-0.0074712872993503154,0.29696969696969694
wire_area_loss_frac,CatBoost,none,gss_4,0.13175789974817817,0.15749299405876044,-0.19439429500767114,-0.05454545454545454
