stage,target,model_name,target_transform,split_id,fraction,n_train_rows,n_train_groups,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
hidden_damage,ultimate_load_kn,RandomForest,none,gss_0,0.2,8,8,0.11403743055555529,0.14301566666666685,0.15940277672010625,0.1958978924021598,0.8442807504984993,0.16481350524259186,0.9156626506024095,0.9533575600442207
hidden_damage,ultimate_load_kn,RandomForest,none,gss_0,0.4,15,15,0.1179845537918865,0.10403683862433821,0.15574225288462692,0.14355835806675413,0.8278569143986042,0.5514809425488612,0.9507613478845843,0.8206724839680872
hidden_damage,ultimate_load_kn,RandomForest,none,gss_0,0.6,23,23,0.10842750690131042,0.17748581613756648,0.1344770738851928,0.23104941739123336,0.9082431241525165,-0.16180620420092584,0.9495799479466127,0.5957474328064633
hidden_damage,ultimate_load_kn,RandomForest,none,gss_0,0.8,30,30,0.12056453395061713,0.1458817896825396,0.15583767528162168,0.19628184588527792,0.8591603887537429,0.1615364202891909,0.9330069920578326,0.686933264358473
hidden_damage,ultimate_load_kn,RandomForest,none,gss_0,1.0,38,38,0.10288022470950113,0.14830842195767202,0.13771583710619223,0.21045963070528273,0.8828271454689272,0.03603438254142721,0.9497017827966064,0.6079055436800646
hidden_damage,ultimate_load_kn,RandomForest,none,gss_1,0.2,8,8,0.08048840277777825,0.33144472222222343,0.1055161238686193,0.36974560149117247,0.8951741444118426,0.33955647428952207,0.8095238095238096,0.7706458053830448
hidden_damage,ultimate_load_kn,RandomForest,none,gss_1,0.4,15,15,0.09453698765432063,0.2674337182539678,0.13527487832909554,0.30207624577816644,0.8296761401254216,0.5591784624955015,0.9016114605562928,0.7256097560975611
hidden_damage,ultimate_load_kn,RandomForest,none,gss_1,0.6,23,23,0.1254748907292384,0.21985759656084686,0.17115042725763904,0.2574583693426297,0.7218833171981079,0.67978351717601,0.8763296995759713,0.7682926829268294
hidden_damage,ultimate_load_kn,RandomForest,none,gss_1,0.8,30,30,0.09578957275132256,0.27415431481481456,0.13529118674729226,0.32281416092990656,0.7637516913311175,0.49657496378319044,0.896459941416317,0.6930123197952737
hidden_damage,ultimate_load_kn,RandomForest,none,gss_1,1.0,38,38,0.10028507028303074,0.193998572270322,0.14280686572212034,0.23442893627242564,0.8279703867904955,0.7345076030829905,0.8979749081996604,0.7538028741632801
hidden_damage,ultimate_load_kn,RandomForest,none,gss_2,0.2,8,8,0.18416868055555527,0.19200383333333287,0.22456459118730931,0.2608956199005393,0.4909911588045651,0.4129969601979485,0.614502433207647,0.9066928292470474
hidden_damage,ultimate_load_kn,RandomForest,none,gss_2,0.4,15,15,0.11409688977072242,0.20062446693121688,0.15876278796017698,0.24334322881073495,0.7036863674305451,0.4893241659937071,0.8425773768293926,0.7939393939393938
hidden_damage,ultimate_load_kn,RandomForest,none,gss_2,0.6,23,23,0.07561930066712583,0.20323440476190582,0.0908784642124376,0.2370428384490158,0.9479773523397167,0.5154256160960519,0.9426595318762053,0.6848484848484848
hidden_damage,ultimate_load_kn,RandomForest,none,gss_2,0.8,30,30,0.12565789021163992,0.17509406349206352,0.15933092181368494,0.20424927393142636,0.8227019489113218,0.6402276216710231,0.8986314064722006,0.8909090909090909
hidden_damage,ultimate_load_kn,RandomForest,none,gss_2,1.0,38,38,0.11258509502923937,0.1575315740740732,0.15261385674559858,0.18521855695728334,0.845505629481165,0.704147143387678,0.9154991737013423,0.8666666666666665
hidden_damage,ultimate_load_kn,RandomForest,none,gss_3,0.2,8,8,0.12905965277777814,0.17502077777777808,0.17756174356123186,0.1957597210047041,0.8161086452230699,0.7238441700391327,0.9047619047619048,0.963128122549627
hidden_damage,ultimate_load_kn,RandomForest,none,gss_3,0.4,15,15,0.0936537204585537,0.21550912037037095,0.11124213025643641,0.2358900500792805,0.9322438007709817,0.5990162375861651,0.9051892838124685,0.7561116173156892
hidden_damage,ultimate_load_kn,RandomForest,none,gss_3,0.6,23,23,0.09460884230503726,0.19283021560846553,0.11343101212928121,0.22395253259187256,0.9274675724244501,0.6385739116494769,0.9498148471333714,0.8787878787878788
hidden_damage,ultimate_load_kn,RandomForest,none,gss_3,0.8,30,30,0.1244376878306881,0.19767604629629568,0.15441564305645195,0.22474535833095147,0.8336740617250662,0.6360103762994056,0.9321167182104491,0.9030303030303028
hidden_damage,ultimate_load_kn,RandomForest,none,gss_3,1.0,38,38,0.1082075261069337,0.1864305343915341,0.13925905117694592,0.21586856886263725,0.86574966820326,0.6641956126886901,0.9260070551785458,0.8909090909090909
hidden_damage,ultimate_load_kn,RandomForest,none,gss_4,0.2,8,8,0.15141284722222162,0.1726916111111116,0.20834308679650207,0.19796057562459382,0.6506799104433378,0.5507206706606991,0.9047619047619048,0.8970852271450603
hidden_damage,ultimate_load_kn,RandomForest,none,gss_4,0.4,15,15,0.13527401587301544,0.29563833994709066,0.16437627933570179,0.3285025482877064,0.7550860396632122,-0.23719030360007887,0.89544271680834,0.686933264358473
hidden_damage,ultimate_load_kn,RandomForest,none,gss_4,0.6,23,23,0.12650165688980866,0.15797341534391526,0.16503140243230785,0.18822331879071277,0.8391638708683122,0.5938318402225247,0.9058098906550424,0.772040040473682
hidden_damage,ultimate_load_kn,RandomForest,none,gss_4,0.8,30,30,0.10565559616001267,0.19687206337181345,0.13607012426417914,0.2381126283364727,0.8902994338692616,0.3499842502344147,0.9272041248565286,0.772040040473682
hidden_damage,ultimate_load_kn,RandomForest,none,gss_4,1.0,38,38,0.10620699862028801,0.18563172703222658,0.13964688191001298,0.22484304276520123,0.8695810710187748,0.4204139423340315,0.9384270843609158,0.772040040473682
