stage,target,model_name,target_transform,split_id,fraction,n_train_rows,n_train_groups,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_0,0.2,8,8,0.003416097601560475,0.10987502167068004,0.004087995327092445,0.14223387894227277,0.9992859966651889,-4.590814962991391,1.0,-0.26747843921922837
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_0,0.4,15,15,0.010812230187196374,0.06583472315381249,0.01264066184179752,0.08472319793394038,0.993636624925426,-0.9836894834862568,0.9964285714285712,0.20668788485122197
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_0,0.6,23,23,0.018544140048678725,0.11786083482602347,0.023201646567059885,0.13605311391856753,0.9759008312393199,-4.1154751930046505,0.9298418972332017,0.11515151515151514
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_0,0.8,30,30,0.022535382191787117,0.12263023604433218,0.026293174641112225,0.1431313439588818,0.9720174127035683,-4.6615912188730775,0.9741935483870968,0.0303030303030303
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_0,1.0,38,38,0.02582467345209603,0.10662549047933134,0.032465705797590325,0.12876733043666844,0.9539899041888779,-3.5822670399940995,0.9700186015975489,0.2606060606060606
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_1,0.2,8,8,0.002860476349161011,0.16552295832152275,0.0033011838409742512,0.20481139730910966,0.99958381102179,-4.173615363826264,1.0,-0.6200636545536659
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_1,0.4,15,15,0.005343121646769122,0.1423721045202067,0.006159743200936982,0.17451635247797592,0.9981743985400277,-2.756281672373246,0.9928571428571428,0.12158110873601292
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_1,0.6,23,23,0.012790121860209813,0.08947823193168114,0.01509610426299908,0.13138329353468892,0.9877273915043795,-1.1289535492354896,0.9960474308300397,0.13939393939393938
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_1,0.8,30,30,0.021040367472660006,0.1080416121828395,0.026792822698393812,0.13078044526174867,0.9524978519322148,-1.1094610942621093,0.9879866518353726,0.22424242424242422
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_1,1.0,38,38,0.03186875227406886,0.09383693669363814,0.038707696613212716,0.11066963488349556,0.924086693503483,-0.5105769409832572,0.9606083816610131,0.2606060606060606
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_2,0.2,8,8,0.0023610270317666643,0.11014526737382586,0.0035093343928486002,0.13830125394423048,0.9995980565594198,-1.0314997671240498,1.0,-0.04863244349440517
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_2,0.4,15,15,0.004423240412180407,0.08732112988969294,0.005380968493156867,0.11211547526277942,0.9985721468671981,-0.3350442661046409,0.9964285714285712,0.49090909090909085
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_2,0.6,23,23,0.013536812251059327,0.07510153861697247,0.0169113957502716,0.09525454866789917,0.9867093161793655,0.03631302642282086,0.9930830039525691,0.6969696969696969
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_2,0.8,30,30,0.02037704433627922,0.09794154011617542,0.025035979251036154,0.12006918248449412,0.9661984256016747,-0.5311849390033205,0.9853170189098998,0.24316221747202585
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_2,1.0,38,38,0.029363932768469065,0.08761830754993626,0.03608380267908012,0.11151896127334784,0.939604037994363,-0.3208757667708315,0.9667359667359667,0.46200821319684915
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_3,0.2,8,8,0.0019230776523743846,0.1251666382709432,0.002453770674862143,0.1689189557643451,0.9994554147336447,-0.2885263307882171,1.0,0.1702135522304181
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_3,0.4,15,15,0.005492412749806879,0.15803125374254326,0.006334470753203984,0.1951243053858102,0.9979948005118694,-0.7193300818847543,0.9964285714285712,0.35757575757575755
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_3,0.6,23,23,0.015850504933646703,0.1313029376068123,0.019693867760262246,0.15389639502468352,0.9757983807190825,-0.06953109405041191,0.9624505928853755,0.19999999999999998
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_3,0.8,30,30,0.015846133508539344,0.15853333205720904,0.019485527361843925,0.19555201264306554,0.9817017369374623,-0.7268757939150059,0.971078976640712,0.19999999999999998
hidden_damage,wire_area_loss_frac,CatBoost,none,gss_3,1.0,38,38,0.02600198231925966,0.17510764969572173,0.03247827224440199,0.20876774470396617,0.942210651514475,-0.9681732318717504,0.9507604770762664,0.41818181818181815
