series,n,mae,rmse,mean_true,mean_pred
S,105,4.07514070961973,8.037653225429516,6.960771428571428,6.877920126270813
F,18,5.584780010902219,7.3224386769229515,4.359666666666667,9.891120883739656
G,18,6.44218168841468,8.1050504315975,12.515944444444445,7.208230210675134
D,18,13.893367965625393,16.183532454280524,26.622333333333334,12.810167099866602
