model,epoch,train_loss,val_loss,val_mae
image_only_mlp,1,0.2033548904582858,0.6844448645909628,9.188119888305664
image_only_mlp,2,0.11599992541596293,0.3738215317328771,7.914660453796387
image_only_mlp,3,0.11175511684268713,0.1715321217974027,6.759232044219971
image_only_mlp,4,0.0845458353869617,0.14392725564539433,6.570498943328857
image_only_mlp,5,0.07747796224430203,0.13197888930638632,5.533288955688477
image_only_mlp,6,0.06382319517433643,0.11586912783483665,5.629688262939453
image_only_mlp,7,0.06152237695641816,0.17749105393886566,5.215874671936035
image_only_mlp,8,0.061196694849058986,0.1526277040441831,5.237894058227539
image_only_mlp,9,0.041422423208132386,0.10580044556021069,5.380892276763916
image_only_mlp,10,0.04446728830225766,0.1127821843450268,5.353719711303711
image_only_mlp,11,0.04456667508929968,0.14889193326234818,5.5887227058410645
image_only_mlp,12,0.051587407011538744,0.15276595701773962,5.3345627784729
image_only_mlp,13,0.03527602017857134,0.15721640487511954,5.633620738983154
image_only_mlp,14,0.05179675528779626,0.10892647008101146,4.9595417976379395
image_only_mlp,15,0.03355560963973403,0.16099010904630026,5.372044086456299
image_only_mlp,16,0.03959450148977339,0.2855421006679535,5.265669822692871
image_only_mlp,17,0.0401409100741148,0.13831576953331629,5.789988040924072
image_only_mlp,18,0.02875051205046475,0.2918113519748052,5.943421840667725
image_only_mlp,19,0.029062842368148267,0.13785999019940695,5.52655029296875
image_only_mlp,20,0.031358353211544454,0.16127471874157587,5.001542091369629
image_only_mlp,21,0.02922340063378215,0.11747271319230397,5.373018264770508
image_only_mlp,22,0.0313139739446342,0.1526788721481959,4.978023529052734
image_only_mlp,23,0.029923474183306098,0.11252107843756676,5.206635475158691
image_only_mlp,24,0.028933884343132377,0.2138084371884664,5.609133720397949
image_only_mlp,25,0.026233263546600938,0.13343997423847517,5.513627052307129
image_only_mlp,26,0.024775225087068975,0.2186559389034907,5.61243200302124
image_only_mlp,27,0.028128081699833274,0.12854225436846414,5.776397705078125
image_only_mlp,28,0.030672906315885484,0.2204179440935453,5.234581470489502
image_only_mlp,29,0.02711636247113347,0.1631521830956141,5.397878170013428
image_only_mlp,30,0.023659898666664958,0.13618520398934683,5.149209976196289
image_only_mlp,31,0.025718784658238292,0.14005969216426215,5.4539265632629395
image_only_mlp,32,0.025439570425078273,0.23232627411683401,5.382441997528076
multimodal_mlp,1,0.19618381839245558,0.6795919934908549,9.106072425842285
multimodal_mlp,2,0.11324921622872353,0.49094223976135254,7.862152099609375
multimodal_mlp,3,0.09209837904199958,0.36476964751879376,7.064517498016357
