split_name,repeat_id,fold_id,split_id,fraction,n_train_specimens,n_train_rows,train_mae,test_mae,train_rmse,test_rmse,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.2,8,132,1.5094953128291788e-06,0.3501969040388218,1.7080791193596296e-06,0.4089920442835475,1.0,0.7538782724212473
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.4,15,249,0.00022073378116657476,0.3218411733286678,0.0002694648162060636,0.3639277519376895,1.0,0.721715912977772
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.6,23,378,0.003996963951003149,0.2939027915148311,0.004745541314712488,0.3738517790004994,0.9995058067402659,0.603658536585366
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.8,30,491,0.0045533660627416666,0.2881589230308319,0.005703986389633934,0.34675068822083266,0.9995549621497437,0.5653521556224601
grouped_cv,0,0,grouped_cv_repeat0_fold0,1.0,38,626,0.008061939836742386,0.30079314278622304,0.00994467918051627,0.3591892208915863,0.9985771116304815,0.5731707317073171
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.2,8,132,1.3173024519530507e-06,0.141088938916669,1.4914343220633886e-06,0.17143475235595682,1.0,0.8963414634146343
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.4,15,246,0.00031002721738616993,0.18748438614815233,0.0003854361010730319,0.2599500656357714,1.0,0.6990913752320743
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.6,23,378,0.004501120119085819,0.20360481726027987,0.005542287726236768,0.2900474465179486,0.9992586184573365,0.857146816588891
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.8,30,497,0.00868792498760959,0.16224657088402322,0.010176052561719646,0.23357915578960092,0.9984421198405143,0.8632258720256917
grouped_cv,0,1,grouped_cv_repeat0_fold1,1.0,38,626,0.014462233351504556,0.13629818380908995,0.01880644599193569,0.22520702197905274,0.998139283235598,0.8814630383360937
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.2,8,135,1.7634481816186653e-06,0.24994806315668713,2.1478659828485524e-06,0.3486510947982715,1.0,0.7575757575757575
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.4,15,240,0.001895795664831897,0.21769498510957197,0.0021645900675475636,0.29491638079498406,0.9982126884730385,0.6
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.6,23,378,0.0028628814894277477,0.22778260163118502,0.0036123447381336583,0.26018871694775414,0.9995058067402659,0.9030303030303028
grouped_cv,0,2,grouped_cv_repeat0_fold2,0.8,30,489,0.012121507792242548,0.2992150564019692,0.014768519369690133,0.34376730726479465,0.9942133190654432,0.8060606060606059
grouped_cv,0,2,grouped_cv_repeat0_fold2,1.0,38,627,0.011833333459137596,0.29301292576295385,0.01600350851714457,0.37230643843057903,0.9952933986688554,0.6848484848484848
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.2,8,131,1.2103355316872566e-06,0.25643041156586693,1.2907966962531272e-06,0.3079893344007996,1.0,0.725796546409961
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.4,16,261,0.0002716122281873068,0.15341936918746213,0.000351146116306503,0.17918885156606063,0.997791679306917,0.8117225864930513
grouped_cv,0,3,grouped_cv_repeat0_fold3,0.6,23,374,0.004231111822035003,0.1577673642333166,0.0050264711085357275,0.20260096324981713,0.99975293390605,0.9833333333333333
