split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,38,10,38,10,38,10,0.10337277924600878,0.24976791732665604,0.12994270112471926,0.3182733999163486,0.8587527954399883,0.5590295970053807,0.8992995230906539,0.7538028741632801
grouped_cv,0,1,grouped_cv_repeat0_fold1,38,10,38,10,38,10,0.13131810822142165,0.10682371153535719,0.17960499045376913,0.13643973528585376,0.7913327216351074,0.8156869598828342,0.851028942554751,0.8753839828992931
grouped_cv,0,2,grouped_cv_repeat0_fold2,38,10,38,10,38,10,0.1168944494826905,0.18940875448208885,0.1607829901732575,0.229704041168147,0.8127347989292879,0.6799877091418794,0.8572679971818403,0.8181818181818182
grouped_cv,0,3,grouped_cv_repeat0_fold3,39,9,39,9,39,9,0.1272940414252139,0.11282408092578027,0.17680120001314292,0.15430599766100775,0.7924262800352289,0.7846204616569279,0.8595727844107266,0.8333333333333333
grouped_cv,0,4,grouped_cv_repeat0_fold4,39,9,39,9,39,9,0.12277320431023735,0.20984760634855715,0.16716814435227614,0.24833746485474892,0.8194227609269825,0.3564133045828064,0.8757720359426131,0.6108840083916779
grouped_cv,1,0,grouped_cv_repeat1_fold0,38,10,38,10,38,10,0.13465542107747278,0.13787524157425737,0.18280937531197863,0.17933297139814983,0.7444474317256689,0.827406863781075,0.823600301263447,0.9636363636363635
grouped_cv,1,1,grouped_cv_repeat1_fold1,38,10,38,10,38,10,0.11875201341982633,0.2117569507775033,0.15453624682065287,0.2597293197731812,0.8428144316877885,0.3586541722140306,0.8971707225812425,0.2621999963272148
grouped_cv,1,2,grouped_cv_repeat1_fold2,38,10,38,10,38,10,0.11851429649605433,0.14636002977647367,0.1634224664563773,0.20302014531874216,0.8143083031791523,0.7050459106114656,0.8915399141019347,0.6606060606060605
grouped_cv,1,3,grouped_cv_repeat1_fold3,39,9,39,9,39,9,0.10614724884957404,0.195470602809397,0.1569402382372341,0.22743671854652547,0.829026933135825,0.6361207218314028,0.8692483194137144,0.8666666666666667
grouped_cv,1,4,grouped_cv_repeat1_fold4,39,9,39,9,39,9,0.12050827965147402,0.1658830898224754,0.17148832900141522,0.18192033174974495,0.7994865285878683,0.7350043915165166,0.8310045234052971,0.8499999999999999
