specimen_id,n_steel_mesh,ultimate_load_kn,HSV-only | CatBoost,RGB+HSV | CatBoost,RGB-only | CatBoost,metadata+HSV | Ridge,metadata+RGB | Ridge,metadata+RGB+HSV | CatBoost,metadata-only | Ridge
D01,4,1.89,0.0828005267489233,0.1110071901353004,0.3214303761486172,0.1216586174882896,0.1035546521274033,0.0484790360056879,0.1088156451799831
D02,4,1.8,0.0570165013235857,0.2047333507530859,0.3442808812361961,0.0104751443851587,0.0719039462357526,0.0073022239225046,0.0068625607149146
D03,4,1.64,0.5478097656671082,0.6776065004885596,0.8904693089991909,0.1852445039145376,0.2497527203021248,0.1910522776539622,0.1754350299138687
D04,4,1.87,0.0153676260197224,0.0908199885530489,0.0916454738430943,0.0071646443361546,0.0700502962515474,0.1195473823136297,0.0210488495741869
D05,4,2.05,0.1058070046377355,0.1045280284031704,0.14830306611044,0.2299098600674789,0.2984453859085105,0.2816318048158692,0.2863652766048894
D06,4,1.61,0.1893748342238481,0.2254745308924901,0.3352811059205678,0.2467110440960029,0.193231388705837,0.1566494742697048,0.1916870154974252
E01,4,1.7,0.2321728380276082,0.1868881800031132,0.25513003604237,0.0154382443120502,0.1463106033428809,0.0353357077335887,0.0743998807895194
E02,4,1.79,0.154675658140857,0.3155291215924123,0.2564961682628404,0.0217350881579925,0.0440209032835365,0.1018013684449568,0.0254366442751041
E03,4,1.91,0.0647524898576761,0.115991529138298,0.1713245141727599,0.0323143293461114,0.0174048236766564,0.0288433364679934,0.1092068634981042
E04,4,1.66,0.20409847049627,0.2266481050637487,0.2178456488462983,0.2226421570777936,0.1113138856244286,0.0679757925382407,0.1114719888239357
E05,4,1.64,0.2034122286613899,0.3041811608783471,0.2837675423610157,0.1725075629938601,0.2403872577425991,0.3031489775299327,0.1978333667718768
E06,4,1.87,0.0958987995331712,0.1469522764920432,0.004181696315294,0.1999235641413588,0.1789547603012768,0.1160834308605767,0.1835605166786533
F01,4,1.9,0.0561375647439863,0.0619532304253085,0.1310346217260281,0.0346474642720555,0.0621326484435678,0.0825308108729681,0.0268687208533404
F02,4,1.71,0.0027822778751787,0.0849249641679787,0.2131966957361875,0.1846827433847508,0.189792425774645,0.2227460928052229,0.111195141466418
F03,4,2.39,0.654010423097215,0.6163446581400209,0.5677529047888039,0.5286897557152856,0.5769812133915273,0.6255696266390536,0.6103363035538059
F04,4,2.01,0.1809362785349637,0.2413777546265465,0.25080795572532,0.0610795849617935,0.0723044522014739,0.3255905250597122,0.0967059789673738
F05,4,1.6,0.0930663215397293,0.2058098127119625,0.2735347582662899,0.3624922845818421,0.4335889488110687,0.2493682395168166,0.3534236988308734
F06,4,1.68,0.0178438552717088,0.0226376242471864,0.0437514983931479,0.1596880386024535,0.1210201004897426,0.0193397057919766,0.2469236681459889
G01,4,1.91,0.2139252178058559,0.1307809503356576,0.1174093074929072,0.0537265850979344,0.1073419661559997,0.014228296226209,0.1243323929161051
G02,4,2.25,0.2725013589670184,0.2776425125965245,0.1839520071172034,0.1027605105855054,0.2340762513352032,0.3069570679593689,0.2865159095872986
G03,4,1.6,0.3408200545741238,0.2813402547183103,0.3673221830793034,0.3879905827965548,0.2798939187333868,0.5780593367667177,0.4236890911539412
G04,4,2.21,0.3157459248205256,0.3159079498890675,0.259920644216757,0.2263459029239896,0.2104195327658784,0.1940869220930405,0.1565199626627511
G05,4,2.16,0.1555025042926856,0.0249241146587215,0.1389419057736196,0.1777755318879128,0.117087955758393,0.1190127900546507,0.1566529871441404
G06,4,1.97,0.2413476311643616,0.4220076464876603,0.479115306938177,0.1544591484070478,0.0693790543899675,0.1798368775403462,0.0297689879943587
S1MI01,7,2.38,0.3505083666215074,0.2744349801764505,0.1678008193284457,0.0052919302051921,0.0584209419080692,0.0757490170962302,0.0154449108427972
S1MI02,7,2.43,0.1055478874300974,0.0261840406756301,0.0408002859202323,0.1393343978772665,0.0521806047790343,0.0289820282235648,0.0843537412749317
S1MI03,7,2.54,0.1451155283509995,0.2474450070261751,0.2615724981040479,0.1633326800334931,0.1483834536260593,0.1718332727140676,0.2004935831143699
S1MI04,7,2.38,0.0794666466867455,0.1743399459166532,0.2038565778345713,0.0579546928775327,0.1346122218194745,0.0549195791034948,0.0256370334344642
S1MI05,7,2.35,0.0508677901233221,0.0212637981296679,0.0086893549779278,0.0706310762478432,0.0662979821043894,0.0424252483528095,0.0167337482544795
S1MI06,7,2.33,0.0532341792609178,0.054565952998018,0.0973121099531608,0.0967768696624773,0.1353426995182398,0.1370743834065573,0.0570598566217546
S1MI07,7,2.1,0.2319207939212018,0.3865343935969307,0.3653604961886443,0.279863063594691,0.331229240426631,0.2900557061560769,0.296076442719559
S2SA01,7,2.35,0.0848259512150826,0.2027385119978095,0.1152448044530607,0.2775688418169433,0.2925570803869584,0.222028044245206,0.1983470703978853
S2SA02,7,2.87,0.5381872521849562,0.4580284196339415,0.4180285749727814,0.4618757876707819,0.4566391588332834,0.5204750766948765,0.4770786594896004
S2SA03,7,2.25,0.0506499680397949,0.0263121650939206,0.0292419851267515,0.3789692533374067,0.3413353445335554,0.1982201280893605,0.355743221976887
S2SA04,7,2.39,0.0535034379084233,0.0352688956363782,0.0516290686632063,0.1549359580757685,0.0563589957724124,0.1538643824300032,0.1357231623103301
S2SA05,7,2.76,0.3966009756253035,0.3391052503518379,0.313406767500223,0.3693507911214166,0.4433458679511677,0.3552032848483129,0.3745640839241813
S2SA06,7,2.48,0.2030187171000133,0.1435251710067184,0.033144732882651,0.0488173086499039,0.0170249085071434,0.0463687697761732,0.0507747459617049
S2SA07,7,2.26,0.1132758297817302,0.1697092752230133,0.0222938543415898,0.4361572675351519,0.5208688485301414,0.3631513010336649,0.3360959386583864
S3PA01,7,2.79,0.3926145910033578,0.3606568901071898,0.4382332745527408,0.0746930167882382,0.0674957471124777,0.1652100453344092,0.1710763589606823
S3PA02,7,2.84,0.5223864122711777,0.4881774278898869,0.5184440961272099,0.0115512705628191,0.0849278549227996,0.2782572385291928,0.1846268951078258
S3PA03,7,2.66,0.4060133389816225,0.2589486313645541,0.2086500903208863,0.2243118552408547,0.256154199354536,0.0348735529361672,0.1836711194429519
S3PA04,7,2.85,0.3844202728905603,0.3806834570131268,0.4210693668179717,0.0110178978571666,0.1151823899733885,0.297515722432355,0.1834157861057095
S4SAVF01,7,2.4,0.0040158944211614,0.1301552478530223,0.1444146972605726,0.087784188141653,0.0996881036109704,0.1377393303967502,0.0584048888077646
S4SAVF02,7,2.46,0.3155296825105163,0.4923462580451239,0.5927935738228136,0.2080462174071202,0.2101635442982825,0.1042852845631419,0.1387736457134205
S4SAVF03,7,2.33,0.1977027484864719,0.1136802811444335,0.0113925168447543,0.2110489610540162,0.0205705829005244,0.1354829072666268,0.1389949254071005
S5VF01,7,2.75,0.5794588339613127,0.5477946495145822,0.6142949791260159,0.3898179546669413,0.4535784919368311,0.351461994088126,0.3864464890100239
S5VF02,7,2.45,0.1954105784534823,0.3299619746401223,0.4648437363095103,0.012506133019035,0.1577917012784864,0.0620760165800424,0.0350752201484279
S5VF03,7,2.42,0.063282631339729,0.158016944244641,0.1903517104158885,0.090834896043245,0.031642053258782,0.0752197246772907,0.0334942280383772
