split_name,repeat_id,fold_id,split_id,train_specimens,test_specimens,train_rows,test_rows,test_terminal_rows,train_mesh_counts,test_mesh_counts,train_campaign_counts,test_campaign_counts,leakage_safe
grouped_cv,0,0,grouped_cv_repeat0_fold0,38,10,626,165,10,"{""4"": 19, ""7"": 19}","{""4"": 5, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 19}","{""campaign_1"": 5, ""campaign_2"": 5}",True
grouped_cv,0,1,grouped_cv_repeat0_fold1,38,10,626,165,10,"{""4"": 19, ""7"": 19}","{""4"": 5, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 19}","{""campaign_1"": 5, ""campaign_2"": 5}",True
grouped_cv,0,2,grouped_cv_repeat0_fold2,38,10,627,164,10,"{""4"": 19, ""7"": 19}","{""4"": 5, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 19}","{""campaign_1"": 5, ""campaign_2"": 5}",True
grouped_cv,0,3,grouped_cv_repeat0_fold3,39,9,641,150,9,"{""4"": 19, ""7"": 20}","{""4"": 5, ""7"": 4}","{""campaign_1"": 20, ""campaign_2"": 19}","{""campaign_1"": 4, ""campaign_2"": 5}",True
grouped_cv,0,4,grouped_cv_repeat0_fold4,39,9,644,147,9,"{""4"": 20, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 20}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,1,0,grouped_cv_repeat1_fold0,38,10,626,165,10,"{""4"": 19, ""7"": 19}","{""4"": 5, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 19}","{""campaign_1"": 5, ""campaign_2"": 5}",True
grouped_cv,1,1,grouped_cv_repeat1_fold1,38,10,627,164,10,"{""4"": 19, ""7"": 19}","{""4"": 5, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 19}","{""campaign_1"": 5, ""campaign_2"": 5}",True
grouped_cv,1,2,grouped_cv_repeat1_fold2,38,10,626,165,10,"{""4"": 19, ""7"": 19}","{""4"": 5, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 19}","{""campaign_1"": 5, ""campaign_2"": 5}",True
grouped_cv,1,3,grouped_cv_repeat1_fold3,39,9,641,150,9,"{""4"": 19, ""7"": 20}","{""4"": 5, ""7"": 4}","{""campaign_1"": 20, ""campaign_2"": 19}","{""campaign_1"": 4, ""campaign_2"": 5}",True
grouped_cv,1,4,grouped_cv_repeat1_fold4,39,9,644,147,9,"{""4"": 20, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 20}","{""campaign_1"": 5, ""campaign_2"": 4}",True
