split_name,repeat_id,fold_id,split_id,membership,specimen_id,campaign_id,n_steel_mesh,series_id,split_group_treatment,sample_name,week,is_measured_ultimate_load
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240110-0W,0,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240124-2W,2,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240207-4W,4,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240221-6W,6,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240306-8W,8,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240320-10W,10,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240405-12W,12,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240417-14W,14,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240508-17W,17,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240522-19W,19,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240529-20W,20,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240619-23W,23,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240626-24W,24,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240710-26W,26,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240724-28W,28,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240807-30W,30,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240902-33W,33,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D03,campaign_2,4,D,D_NO,D03-20240918-36W,36,True
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240110-0W,0,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240124-2W,2,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240207-4W,4,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240221-6W,6,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240306-8W,8,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240320-10W,10,False
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E02,campaign_2,4,E,E_SA_SPRAY,E02-20240405-12W,12,False
