stage,target,model_name,target_transform,fraction,n_train_rows_mean,n_train_rows_std,n_train_groups_mean,n_train_groups_std,train_mae_mean,train_mae_std,test_mae_mean,test_mae_std,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std,train_spearman_mean,train_spearman_std,test_spearman_mean,test_spearman_std
surface,surface_total_rust_pct,GradientBoosting,none,0.2,133.0,1.4142135623730963,8.0,0.0,0.000501008217592088,0.00035443944981046634,0.3534266602606184,0.39418666462492535,0.0007270343293733661,0.0005091771241969746,1.1778947145188612,1.390058846291136,0.9999999914125247,4.964236425402193e-09,0.9612286499778024,0.04442034555008112,0.9984685321427061,0.0015826852916776784,0.9968851149435223,0.0016352593476719488
surface,surface_total_rust_pct,GradientBoosting,none,0.4,245.2,4.438468204234429,15.0,0.0,0.0011037472402609277,0.00042145036501634996,0.36404379964907313,0.4769020148647898,0.0016430203076962225,0.0006469221566610365,1.5464047004626722,1.9434598136424606,0.9999998397461971,1.1808639862231125e-07,0.9307857416220946,0.08919234416543159,0.9997063992191381,0.00037094701974010164,0.9986598932117126,0.000967663605942573
surface,surface_total_rust_pct,GradientBoosting,none,0.6,379.4,1.8165902124585,23.0,0.0,0.002259785965637454,0.0006267534526213773,0.20071237886769722,0.3061794041927073,0.003573718492665027,0.0010128439589293817,0.895049594806417,1.297759821749199,0.9999996608536476,8.005238813545102e-08,0.9774410383107035,0.037256136775617094,0.999463809299914,0.0003732700580414069,0.999022626281764,0.000624771971385035
surface,surface_total_rust_pct,GradientBoosting,none,0.8,493.6,4.505552130427523,30.0,0.0,0.0027586569707093267,0.0006176146519799005,0.18406877406235572,0.28684360673172643,0.004459242928997492,0.0010985952708592178,0.8235289005376213,1.2781991797605883,0.9999994943736821,1.3041865769118987e-07,0.9805674052856345,0.036048214060753196,0.9992891038386528,0.0003625920499984048,0.9990460929462394,0.0006520758732096672
surface,surface_total_rust_pct,GradientBoosting,none,1.0,628.0,3.082207001484488,38.0,0.0,0.0035790738824214713,0.0007513282642740664,0.1773456442476921,0.2829961570641715,0.0058786717607623995,0.001330063288498166,0.8209494117424665,1.2777917471434448,0.9999990467394901,1.360406473234803e-07,0.9804995403161998,0.03604900670943726,0.999195728165766,0.0002698347329995357,0.9987500717589806,0.0014467430165610695
surface,peak_rust_pct,RandomForest,none,0.2,133.0,1.4142135623730963,8.0,0.0,0.35931262588908586,0.10619605062979189,1.275896055081841,0.7906850063243749,0.8892426005344605,0.2596956552985295,3.121578947682476,2.6675528492111336,0.9946467553614682,0.003372241647849618,0.9232643205366429,0.06776460004009421,0.9975284649835252,0.0015586223578441876,0.9888370108257277,0.004484158034829835
surface,peak_rust_pct,RandomForest,none,0.4,245.2,4.438468204234429,15.0,0.0,0.2889857368399848,0.04171292331993377,1.3634773812685892,0.8251799669326872,0.8507358022294348,0.472283715323577,3.707391803347092,2.710175531538557,0.9857376630926552,0.018655273957998455,0.8913378377529515,0.07038175211300714,0.9983912406094623,0.0005392357695474134,0.9893135507956188,0.005351302248069606
surface,peak_rust_pct,RandomForest,none,0.6,379.4,1.8165902124585,23.0,0.0,0.3182047782358709,0.05875463083007424,1.2823582657164359,0.7887127556773167,0.7424169040313808,0.14282403318256892,3.3424030052167466,2.573448431094637,0.9951835791701777,0.0019240927916308376,0.9126325343681444,0.06387221642835052,0.9981432127365835,0.0006625813154888147,0.99154027897602,0.003166448140642701
surface,peak_rust_pct,RandomForest,none,0.8,493.6,4.505552130427523,30.0,0.0,0.3048045362721059,0.04495386230323406,1.1324815135476176,0.7225087511483711,0.7080737098679073,0.09677201724641421,2.911650325021548,2.4296882988120823,0.9959688166952503,0.0012318188696794619,0.9318792183623614,0.056049050128810354,0.9980807825766528,0.00047271725324495587,0.9919904406599228,0.0038677118299895296
surface,peak_rust_pct,RandomForest,none,1.0,628.0,3.082207001484488,38.0,0.0,0.29386250837683336,0.023204602658639988,1.0967787385310666,0.6852562533258951,0.6771151782764753,0.05003073508802866,2.8047785196891035,2.3634059642485923,0.9960686626325636,0.0007179608970780272,0.9366684861463547,0.05356370705346654,0.9981430745643607,0.00028320494227062894,0.9923466697528219,0.0034898065792541982
