split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.06432056497112926,0.3082903628790547,0.08227020833132988,0.3697688544285012,0.9433811198800641,0.4047911085628946,0.9749343783067738,0.7477238187264794
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.06330969583503322,0.21128017558795564,0.08909427348677602,0.23361700251465645,0.9486527565414407,0.4596399653079376,0.9792032051568876,0.6079055436800646
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.06504230561649549,0.22718316201085006,0.09204706076970032,0.2622198717430837,0.9386242617125564,0.5829764427862563,0.9753722067016573,0.7333333333333332
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.07411781966135136,0.1301026121736365,0.10026288198220051,0.1763365683035638,0.933245227599774,0.7187298806192045,0.9753974328637149,0.9166666666666666
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.0670100619358197,0.16094527908540107,0.08732574434368222,0.2265677726390386,0.9507234200750442,0.46430346008814716,0.9724613185235605,0.6778302010921357
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.07182781538835135,0.22577657331218806,0.09081538681701819,0.31603827164601683,0.9369329967810393,0.4639780335254512,0.9615237966903402,0.8181818181818182
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.06615092028940343,0.2471740073559468,0.0839952359459134,0.3258657210212007,0.9535633098103081,-0.009549628619057948,0.9840749013941625,0.22561395032806852
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.07403990776348036,0.13841702377243723,0.10210606523986308,0.19894297846056844,0.9275110107493352,0.7167738267311512,0.9706687328959068,0.8545454545454544
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.059399388879701434,0.23570734940621976,0.08296745327865913,0.2578171762969061,0.9522168687546473,0.5324157671225654,0.9729182797071739,0.6666666666666667
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.07455615015197749,0.2177574028646557,0.10120927755808969,0.2550955568330719,0.9301582571449047,0.47894689675820723,0.9640543520582227,0.7999999999999999
