target,feature_name,source_family,baseline_included,improved_included,change_type,improved_reason,improved_feature_set_name
wire_area_loss_frac,img_strip_rust_mean_pct,image_spatial,True,False,removed_in_improved,,metadata_only
wire_area_loss_frac,img_strip_rust_p90_pct,image_spatial,True,False,removed_in_improved,,metadata_only
wire_area_loss_frac,img_strip_rust_std_pct,image_spatial,True,False,removed_in_improved,,metadata_only
wire_area_loss_frac,n_steel_mesh,tabular_metadata,True,False,removed_in_improved,high absolute Spearman correlation >= 0.98,metadata_only
wire_area_loss_frac,nacl_pct,tabular_metadata,True,False,removed_in_improved,high absolute Spearman correlation >= 0.98,metadata_only
wire_area_loss_frac,series_id,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
wire_area_loss_frac,split_group_treatment,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
wire_area_loss_frac,treatment_coarse,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
wire_area_loss_frac,treatment_label_coarse,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
wire_area_loss_frac,treatment_protocol,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
wire_area_loss_frac,week,temporal,True,False,removed_in_improved,high absolute Spearman correlation >= 0.98,metadata_only
ultimate_load_kn,ageing_days,temporal,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,campaign_id,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,cover_mm,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,img_b_mean,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_b_std,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_black_mask_ratio_pct,image_mask,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_brightness_mean,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_brightness_p10,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_brightness_p90,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_brightness_std,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_g_mean,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_g_std,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_glcm_contrast,image_texture,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_glcm_energy,image_texture,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_glcm_homogeneity,image_texture,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_0,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_1,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_2,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_3,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_4,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_5,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_6,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_hist_bin_7,image_histogram,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_gray_mask_ratio_pct,image_mask,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_lbp_mean,image_texture,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_lbp_std,image_texture,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_r_mean,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_r_std,image_color,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_area_ratio_pct,image_mask,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_blob_count,image_morphology,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_blob_eccentricity_max,image_morphology,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_blob_eccentricity_mean,image_morphology,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_blob_largest_ratio_pct,image_morphology,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_blob_mean_ratio_pct,image_morphology,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_rust_center_of_mass_cm,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_strip_high_count,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_strip_peak_location_cm,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_strip_rust_max_pct,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_strip_rust_mean_pct,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_strip_rust_p90_pct,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,img_strip_rust_std_pct,image_spatial,True,False,removed_in_improved,,metadata_only
ultimate_load_kn,n_steel_mesh,tabular_metadata,True,False,removed_in_improved,high absolute Spearman correlation >= 0.98,metadata_only
ultimate_load_kn,nacl_pct,tabular_metadata,True,False,removed_in_improved,high absolute Spearman correlation >= 0.98,metadata_only
ultimate_load_kn,series_id,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,split_group_treatment,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,treatment_coarse,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,treatment_label_coarse,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,treatment_protocol,tabular_metadata,True,True,retained,retained after QC and collinearity cleanup,metadata_only
ultimate_load_kn,week,temporal,True,False,removed_in_improved,high absolute Spearman correlation >= 0.98,metadata_only
