target,strategy,baseline_relative_mae_vs_group_shuffle,improved_relative_mae_vs_group_shuffle,delta_relative_mae_vs_group_shuffle,baseline_spearman_mean,improved_spearman_mean,delta_spearman_mean
wire_area_loss_frac,group_shuffle,1.0,1.0,0.0,0.0569696969696969,0.2887911081296786,0.23182141115998173
wire_area_loss_frac,leave_one_treatment_out,1.2859093415063645,0.9375242798986057,-0.34838506160775884,0.0753968253968254,0.1856624538594292,0.11026562846260379
wire_area_loss_frac,leave_one_campaign_out,1.508829622843173,0.9760138252525753,-0.5328157975905977,-0.0934782608695651,-0.2657119514103714,-0.1722336905408063
ultimate_load_kn,group_shuffle,1.0,1.0,0.0,0.7378441974013203,0.7782648431785568,0.040420645777236475
ultimate_load_kn,leave_one_treatment_out,1.1640793009437802,1.166440137849724,0.0023608369059437972,-0.1324840262027013,0.1216990691439344,0.2541830953466357
ultimate_load_kn,leave_one_campaign_out,3.9287766850131103,3.2357266558567725,-0.6930500291563377,0.223029307030926,0.3531445425884874,0.13011523555756138
