feature_set_name,feature_set_label,model_name,mae_mean,rmse_mean,spearman_mean,delta_mae_vs_metadata_only,delta_rmse_vs_metadata_only,delta_spearman_vs_metadata_only,baseline_comparison_status,baseline_status_threshold_kN
metadata_only,metadata-only,GradientBoosting,0.46504508694025004,0.5031811793752232,0.21730344972346902,0.0,0.0,0.0,no_meaningful_change,0.04188148692468721
metadata_rgb,metadata+RGB,XGBoost,0.48125310550133393,0.5149483256405215,0.27848969935962475,0.016208018561083892,0.01176714626529829,0.06118624963615574,no_meaningful_change,0.04188148692468721
metadata_rgb_hsv,metadata+RGB+HSV,GradientBoosting,0.5078117509321904,0.537518509199399,0.4605711149601712,0.0427666639919404,0.03433732982417581,0.2432676652367022,worsened,0.04188148692468721
metadata_hsv,metadata+HSV,RandomForest,0.5124397282059675,0.552535241924933,0.2711594249877579,0.04739464126571746,0.049354062549709754,0.0538559752642889,worsened,0.04188148692468721
hsv_only,HSV-only,Ridge,0.6306879070727036,0.6914665796351742,0.0561416650107418,0.16564282013245357,0.188285400259951,-0.1611617847127272,worsened,0.04188148692468721
rgb_only,RGB-only,XGBoost,0.6358167653282484,0.6662688023482892,0.3787865344898469,0.17077167838799834,0.163087622973066,0.16148308476637788,worsened,0.04188148692468721
rgb_hsv,RGB+HSV,RandomForest,0.6423946969291514,0.6720938846150705,0.31611925181164846,0.17734960998890137,0.16891270523984725,0.09881580208817944,worsened,0.04188148692468721
