target,model_name,target_transform,split_id,mae,rmse,r2,spearman
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_0,0.057654329002147765,0.07088419031760695,-1.8493693630943642,0.3142857142857143
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_1,0.16755674964588627,0.19540391855209407,-0.7034367294576316,-0.5428571428571429
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_2,0.19984266143397003,0.2386907937265594,-1.3815436240570178,-0.20291986247835697
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_3,0.1481972219586035,0.1695053316821785,-0.33722049748139504,0.8857142857142858
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_4,0.08441998021392151,0.12124676744358513,-1.4907896223786086,0.1785714285714286
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_5,0.0814005575650774,0.10460278564487935,-0.1344603047179569,0.10714285714285716
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_6,0.07918333147958663,0.09407462120451497,-5.026457991851019,-0.7999999999999999
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_7,0.10049205143513827,0.10845113594430628,-2.0625022779951876,1.0
wire_area_loss_frac,RandomForest,sqrt,leave_one_treatment_out_8,0.16538084431858124,0.19101022882633384,0.023820915651673213,1.0
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_0,0.08892823836179163,0.1011519782326717,-4.80228084457244,0.3714285714285715
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_1,0.1765665241389548,0.22639519553869086,-1.286619392633518,-0.3142857142857143
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_2,0.19495289157751272,0.23510135413459865,-1.3104547375815825,-0.030358837035945815
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_3,0.1386888190607105,0.17513183796922743,-0.42746842180764055,0.030358837035945815
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_4,0.08281470678295899,0.11730462419533279,-1.3314546658901971,0.2882999880625789
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_5,0.10336169620667215,0.11929366524814623,-0.4754944098303393,-0.44474958999666075
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_6,0.13562563771676378,0.14764702787025621,-13.844534901513905,-0.316227766016838
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_7,0.13981230066847136,0.14035956750636763,-4.129703372248754,1.0
wire_area_loss_frac,GradientBoosting,sqrt,leave_one_treatment_out_8,0.20908699363957264,0.2141477529029122,-0.2269964090583232,0.5
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_0,0.05905009626566183,0.06881918900785078,-1.6857716503745368,0.5428571428571429
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_1,0.1810567129209638,0.21045401863968752,-0.9759407421792425,-0.8116794499134279
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_2,0.25140368861721063,0.2843463409565388,-2.379733775320697,-0.3530939318018998
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_3,0.14193008735921966,0.1641169054511166,-0.2535536836871646,0.7944613465542746
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_4,0.09435756303460506,0.12335419536840181,-1.5781284992454587,0.2882999880625789
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_5,0.10433314244467289,0.11405983121630088,-0.34886427679287757,-0.10714285714285716
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_6,0.11674947976984745,0.1338420477832268,-11.19838461237262,-0.7999999999999999
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_7,0.09858183769195063,0.10391720462658764,-1.811791548650819,1.0
wire_area_loss_frac,XGBoost,sqrt,leave_one_treatment_out_8,0.16184966028834227,0.184281126557673,0.09138905162410804,0.5
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_0,0.06161098546149179,0.07543221787330856,-2.226738260791933,0.028571428571428574
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_1,0.15193526627551437,0.19566375505228945,-0.7079699990351789,-0.14285714285714288
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_2,0.2213897840330502,0.2631372649254537,-1.894355793233402,-0.028988551782622423
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_3,0.13714901646156177,0.16364492052738014,-0.24635384451268516,-0.028988551782622423
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_4,0.09284041714512771,0.12354751923599276,-1.5862158502199857,0.396412483586046
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_5,0.08240242987990189,0.09807973425419445,0.002618370629541289,0.03603749850782236
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_6,0.10030164894910445,0.11262042853241722,-7.636773455649726,-0.10540925533894598
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_7,0.0842303170410238,0.09442229922500155,-1.321439409157101,1.0
wire_area_loss_frac,CatBoost,sqrt,leave_one_treatment_out_8,0.1582058683221464,0.18536478044247076,0.0806715701260382,1.0
