target,model_name,target_transform,split_id,mae,rmse,r2,spearman
wire_area_loss_frac,RandomForest,sqrt,gss_0,0.04120019380410435,0.06607156108287283,-0.20641894014290396,0.4424242424242424
wire_area_loss_frac,RandomForest,sqrt,gss_1,0.08085010619085878,0.12766955684857847,-1.0102987306420603,-0.17575757575757575
wire_area_loss_frac,RandomForest,sqrt,gss_2,0.08590063544967234,0.10183525042501412,-0.10143991998806046,0.11515151515151514
wire_area_loss_frac,RandomForest,sqrt,gss_3,0.14197433795175604,0.18210446762782817,-0.49753755689275847,0.1515151515151515
wire_area_loss_frac,RandomForest,sqrt,gss_4,0.13077011101273764,0.16329796800252175,-0.28406439217448587,0.04242424242424241
wire_area_loss_frac,GradientBoosting,sqrt,gss_0,0.0653628245904399,0.0749307666016983,-0.5516342671464458,0.5878787878787878
wire_area_loss_frac,GradientBoosting,sqrt,gss_1,0.09826400053900045,0.1387288214455553,-1.373664257120676,-0.0303030303030303
wire_area_loss_frac,GradientBoosting,sqrt,gss_2,0.07674429786052586,0.09851789622871933,-0.030848396810803536,0.18787878787878787
wire_area_loss_frac,GradientBoosting,sqrt,gss_3,0.12347212099806956,0.1821372495567308,-0.4980767703351858,0.09090909090909088
wire_area_loss_frac,GradientBoosting,sqrt,gss_4,0.13256673967488103,0.15855198690255703,-0.21051066261092477,-0.11515151515151514
wire_area_loss_frac,XGBoost,sqrt,gss_0,0.05872980469862019,0.07189162474409475,-0.42832029821963236,0.5515151515151515
wire_area_loss_frac,XGBoost,sqrt,gss_1,0.08578638471815389,0.13295498413040935,-1.1801940077307913,-0.10303030303030303
wire_area_loss_frac,XGBoost,sqrt,gss_2,0.07115019356379926,0.09210886964835246,0.09891150071581822,0.2606060606060606
wire_area_loss_frac,XGBoost,sqrt,gss_3,0.145805246089243,0.202724419099039,-0.8558746983723222,0.01818181818181818
wire_area_loss_frac,XGBoost,sqrt,gss_4,0.1105686152092649,0.1521824081993671,-0.11520355764768353,0.2727272727272727
wire_area_loss_frac,CatBoost,sqrt,gss_0,0.050100425477127494,0.06575635174904083,-0.19493540891028505,0.5393939393939393
wire_area_loss_frac,CatBoost,sqrt,gss_1,0.08446464938954837,0.12597301676655273,-0.9572259096504199,-0.16363636363636364
wire_area_loss_frac,CatBoost,sqrt,gss_2,0.08261105902086133,0.10357890123983406,-0.13948113842695453,0.05454545454545454
wire_area_loss_frac,CatBoost,sqrt,gss_3,0.10787127279914177,0.15189561045558675,-0.04190223326373177,0.24848484848484845
wire_area_loss_frac,CatBoost,sqrt,gss_4,0.13380169301094513,0.16566049999168025,-0.3214878583652636,-0.24848484848484845
