target,model_name,split_id,mae,rmse,r2,spearman
ultimate_load_kn,RandomForest,gss_0,0.11710503703703738,0.1390665934486876,0.5791090684580176,0.686933264358473
ultimate_load_kn,RandomForest,gss_1,0.1980915272967778,0.24806428792498164,0.7027251645230523,0.7538028741632801
ultimate_load_kn,RandomForest,gss_2,0.18016610149110127,0.20107620950819047,0.6513191035377064,0.7333333333333332
ultimate_load_kn,RandomForest,gss_3,0.16592924627224687,0.19570217981150478,0.724006491486034,0.9393939393939393
ultimate_load_kn,RandomForest,gss_4,0.22644921512746574,0.24531950325867946,0.3100411730686703,0.5757575757575757
ultimate_load_kn,GradientBoosting,gss_0,0.13448592544322824,0.153301055493712,0.48853699502739667,0.705170430668875
ultimate_load_kn,GradientBoosting,gss_1,0.17477416229311188,0.23659850567792196,0.7295707589902143,0.7294866524160775
ultimate_load_kn,GradientBoosting,gss_2,0.17721460621106871,0.2340338626131795,0.5276497218803289,0.6969696969696969
ultimate_load_kn,GradientBoosting,gss_3,0.1746152422779818,0.2109329687224331,0.6793756725633322,0.9272727272727272
ultimate_load_kn,GradientBoosting,gss_4,0.2587802308738355,0.2880904405666112,0.04848263747934489,0.6242424242424242
ultimate_load_kn,XGBoost,gss_0,0.15627499675750728,0.18398054704749953,0.2633388824153482,0.8024353176576853
ultimate_load_kn,XGBoost,gss_1,0.19251413059234623,0.2463981129523914,0.7067051687608723,0.6930123197952737
ultimate_load_kn,XGBoost,gss_2,0.19963269662857053,0.23106930818640964,0.5395406431254445,0.6484848484848483
ultimate_load_kn,XGBoost,gss_3,0.17325062608718872,0.22935862227257336,0.620914054214032,0.8909090909090909
ultimate_load_kn,XGBoost,gss_4,0.2157908868789673,0.23986139288798564,0.3404014009955334,0.6121212121212121
ultimate_load_kn,CatBoost,gss_0,0.11671714406327258,0.14011633073369392,0.5727309378164076,0.7416447632896789
ultimate_load_kn,CatBoost,gss_1,0.23187812841696376,0.2853544345875805,0.606632109474407,0.6930123197952737
ultimate_load_kn,CatBoost,gss_2,0.18120030032165776,0.2132703311822663,0.607745746985119,0.8787878787878788
ultimate_load_kn,CatBoost,gss_3,0.16573117543873234,0.18080880144743056,0.764415520174849,0.9030303030303028
ultimate_load_kn,CatBoost,gss_4,0.21266336140140624,0.24651261568473326,0.3033136177503125,0.5515151515151515
