index,fraction,n_train_specimens_mean,n_train_specimens_std,n_train_rows_mean,n_train_rows_std,train_mae_mean,train_mae_std,test_mae_mean,test_mae_std,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,train_spearman_mean,train_spearman_std,test_spearman_mean,test_spearman_std
0,0.2,8.0,0.0,132.2,3.0110906108363205,0.008687962702558902,0.0018255453564695674,0.29941978879832154,0.07111470002448043,0.010369281803048783,0.002326940666672079,0.3446311358153368,0.08114937079031807,0.9976190476190476,0.007529232524210402,0.5106646672551577,0.2524010664750337
1,0.4,15.4,0.5163977794943222,254.1,9.870832453918633,0.02134483289042257,0.005646573870809796,0.25066193150116195,0.06055321331269056,0.026168572941030022,0.006919843963360186,0.2946829554488768,0.07335099737610931,0.985878686987977,0.01302827357701853,0.6147156753493611,0.18536845203858507
2,0.6,23.0,0.0,377.7,4.1912607490666405,0.034140080059858566,0.008221081908642652,0.24093946987493875,0.05681787695221214,0.04097046794377836,0.009128917338970314,0.2856084423755863,0.06044196210226511,0.9881359875411734,0.00694173039385425,0.6188521226953669,0.1901343060066162
3,0.8,30.4,0.5163977794943224,500.4,9.845472732852064,0.04666792410775974,0.007422847865655783,0.23699836548363865,0.054955819692433065,0.0557663422736918,0.009550925301477331,0.2810448868209213,0.06689034212465994,0.9812582064763724,0.010156036039462473,0.6731798638827388,0.21211537910484796
4,1.0,38.4,0.5163977794943211,632.8,8.416914187779538,0.05579372461928052,0.007387409582397239,0.23385054514449471,0.0558546461560291,0.06776911162635338,0.0074852015901069845,0.2770882569577638,0.06666510859172241,0.9759200203282719,0.008779797952859814,0.6677403929039796,0.18719469379534895
