target,model_name,target_transform,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,strategy,feature_set_name,feature_set_description,n_features,selection_candidate
wire_area_loss_frac,CatBoost,none,0.0949872130150476,0.03008771898550584,0.1207576198134261,0.03169246727853194,-0.3708562780720926,0.45967548948089537,0.02303030303030303,0.16094304270011822,group_shuffle,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,RandomForest,none,0.09807287249860512,0.03718731401786736,0.12421076228906966,0.03789070730879702,-0.39440710674479923,0.362217028801633,0.12484848484848483,0.24876554729435735,group_shuffle,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,GradientBoosting,none,0.10324311797825883,0.02999412822292501,0.13284522632565957,0.036204373145804,-0.7719870631157794,1.0389331927501204,0.10787878787878787,0.2694891947350979,group_shuffle,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,XGBoost,none,0.10430559539942741,0.04024362646445428,0.13050526186610617,0.04549806552684438,-0.6329880389724479,0.8719301706794043,0.07636363636363636,0.24081282620231118,group_shuffle,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,GradientBoosting,none,0.12173862569710492,0.05459456715653517,0.14397084760573234,0.057814570807365746,-1.5562341023340307,2.186274671264909,0.08477584245550791,0.515959938939981,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,CatBoost,none,0.12183010880756484,0.04606450957785153,0.1451301753796539,0.05016136415349459,-2.879305983737991,5.417744396660037,0.17076821031058953,0.5235773789528891,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,XGBoost,none,0.12357130481404603,0.04600890964513795,0.14443310379354574,0.05055831174132902,-2.6220090125535425,4.471086802964618,0.15555555555555556,0.501449147138105,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,RandomForest,none,0.12532490809961222,0.054641402328129904,0.14810278871972785,0.05610737127271683,-3.198511583992925,6.326139499889877,0.1428571428571429,0.573111361476163,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,CatBoost,none,0.14206963749898704,0.024286059300223768,0.17587414652479003,0.034950491654811504,-0.7822130729018457,0.13805016342197435,-0.1552173913043478,0.07562968181386553,leave_one_campaign_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,RandomForest,none,0.14658513056051586,0.02041617429269279,0.18102303935511319,0.0253195248110728,-0.9052576467276571,0.07981281375133294,-0.18719088455140115,0.043939594189267746,leave_one_campaign_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
