target,feature_set_name,strategy,model_name,target_transform,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,feature_set_description,n_features,selection_candidate
ultimate_load_kn,all_cleaned,group_shuffle,CatBoost,none,0.17659557518025207,0.03893324761512547,0.20631583288137553,0.05473035150949397,0.6059264688359393,0.1268858459165973,0.7487200794332609,0.14311264457564565,All cleaned metadata and image features after QC and collinearity pruning.,42,True
ultimate_load_kn,all_cleaned,leave_one_campaign_out,XGBoost,none,0.648555966715018,0.038097905720105206,0.6954155435864936,0.029293328871126383,-9.500784271650916,0.33781194300826956,0.11599671367364466,0.17081217113185415,All cleaned metadata and image features after QC and collinearity pruning.,42,True
ultimate_load_kn,all_cleaned,leave_one_treatment_out,XGBoost,none,0.2049283352352324,0.06795292323962564,0.24752166666311856,0.0645972105912375,-4.529577107575925,7.206222812778035,0.011039286045880756,0.5503727925389036,All cleaned metadata and image features after QC and collinearity pruning.,42,True
ultimate_load_kn,image_only,group_shuffle,XGBoost,none,0.18662287893295287,0.03650299079086817,0.2424804211097372,0.05781206635816563,0.4036062182745529,0.32206832317583783,0.7136165326598516,0.15651213366823272,Image features only; diagnostic ablation for shortcut dependence.,34,False
ultimate_load_kn,image_only,leave_one_campaign_out,CatBoost,none,0.6892428166762079,0.036947710186555884,0.7204109746931552,0.03750347247185683,-10.26865458023012,0.5864686001695857,0.20428453520956608,0.018121193039433017,Image features only; diagnostic ablation for shortcut dependence.,34,False
ultimate_load_kn,image_only,leave_one_treatment_out,CatBoost,none,0.24598690487174021,0.1510319947412659,0.2932911956642115,0.14106591205538768,-10.446322047431758,21.0256730274458,0.03876140748667737,0.5340437440408683,Image features only; diagnostic ablation for shortcut dependence.,34,False
ultimate_load_kn,image_time_only,group_shuffle,RandomForest,none,0.17578331697931754,0.041716005903461514,0.2047690578698813,0.047697395322042875,0.5977010877677695,0.17436633365620338,0.7366431458149159,0.13444898180036616,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
ultimate_load_kn,image_time_only,leave_one_campaign_out,CatBoost,none,0.6892428166762079,0.036947710186555884,0.7204109746931552,0.03750347247185683,-10.26865458023012,0.5864686001695857,0.20428453520956608,0.018121193039433017,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
ultimate_load_kn,image_time_only,leave_one_treatment_out,GradientBoosting,none,0.2049301188704122,0.06759459759903423,0.2535149475571076,0.06599500136082902,-5.586972073046187,7.947042906688808,0.01037311665444148,0.6473025456063901,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
ultimate_load_kn,metadata_only,group_shuffle,RandomForest,none,0.17438016594516573,0.02012648600672804,0.2141637471125662,0.01856863064421407,0.5118597368069626,0.2934811915848138,0.7782648431785568,0.11198553027650138,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,8,True
ultimate_load_kn,metadata_only,leave_one_campaign_out,GradientBoosting,none,0.482913496049189,0.044313114105743116,0.5198541490247499,0.051006838546363696,-4.934058559457349,1.4604686851300757,0.26787758172941084,0.212655987542929,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,8,True
ultimate_load_kn,metadata_only,leave_one_treatment_out,RandomForest,none,0.2034040248033369,0.07599683394309326,0.2433498124477239,0.07425776706504505,-4.079093707464983,6.722426846700773,0.12169906914393443,0.593321268974736,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,8,True
wire_area_loss_frac,all_cleaned,group_shuffle,XGBoost,sqrt,0.09044145804281785,0.03166682358773088,0.12113796032381438,0.047401452101616254,-0.3566143753554941,0.5666625389029237,0.28727272727272724,0.24950271938173277,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,all_cleaned,leave_one_campaign_out,CatBoost,none,0.14206963749898704,0.024286059300223768,0.17587414652479003,0.034950491654811504,-0.7822130729018457,0.13805016342197435,-0.1552173913043478,0.07562968181386553,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,all_cleaned,leave_one_treatment_out,XGBoost,sqrt,0.11935941334183757,0.04198208420852446,0.14142078096904895,0.04414432012310263,-1.8212340958325228,2.3428442754988485,0.21031746031746035,0.5131573821608856,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,image_only,group_shuffle,CatBoost,sqrt,0.09192592395350262,0.03264118296651841,0.12094402855836836,0.04077717003714011,-0.27916407659251685,0.3400665865985364,0.05939393939393939,0.27913022458579906,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,image_only,leave_one_campaign_out,CatBoost,none,0.14418621735253206,0.023722530313047996,0.1799139885979536,0.03240632009647133,-0.8696579583299117,0.07411391906457843,-0.19804796932842575,0.22165625268678757,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,image_only,leave_one_treatment_out,CatBoost,none,0.121632929236208,0.04345860245130556,0.1489325220951452,0.04957993026404214,-2.907168640150066,5.009988623145962,-0.12857142857142856,0.5791993946608631,Image features only; diagnostic ablation for shortcut dependence.,34,False
